gene_id	TCGA-E2-A158-01A-11R-A12D-07	gene_id	TCGA-E2-A158-11A-22R-A12D-07
AGTPBP1|23287	1088.8527	AGTPBP1|23287	569.1057
lowly_expressed	lowly_expressed	AGTR1|185	887.4296
AGTRAP|57085	503.1274	AGTRAP|57085	436.5228
lowly_expressed	lowly_expressed	AGT|183	489.6811
AGXT2L2|85007	144.7622	AGXT2L2|85007	697.8424
lowly_expressed	lowly_expressed	AGXT|189	16.2602
AHCTF1|25909	2580.0703	AHCTF1|25909	1524.0775
AHCYL1|10768	4857.8528	AHCYL1|10768	4590.9944
AHCYL2|23382	1001.1139	AHCYL2|23382	622.8893
AHCY|191	3509.5536	AHCY|191	1672.2952
AHDC1|27245	1988.8613	AHDC1|27245	1150.7192
AHI1|54806	538.7713	AHI1|54806	360.2251
AHNAK2|113146	1406.906	AHNAK2|113146	3238.2739
AHNAK|79026	11787.5075	AHNAK|79026	151849.9062
AHRR|57491	198.4406	AHRR|57491	39.3996
AHR|196	354.7254	AHR|196	2429.0181
AHSA1|10598	2474.8522	AHSA1|10598	1430.8943
AHSA2|130872	292.0058	AHSA2|130872	255.7849
AIDA|64853	768.8219	AIDA|64853	1776.773
AIF1L|83543	2197.241	AIF1L|83543	2992.4953
AIF1|199	64.7759	AIF1|199	427.142
AIFM1|9131	589.8381	AIFM1|9131	977.4859
AIFM2|84883	254.6483	AIFM2|84883	2769.8562
AIFM3|150209	9.6136	AIFM3|150209	5.6285
AIG1|51390	612.1155	AIG1|51390	949.9687
AIM1L|55057	49.6958	lowly_expressed	lowly_expressed
AIM1|202	1005.2266	AIM1|202	1465.9162
AIM2|9447	8.2255	lowly_expressed	lowly_expressed
AIMP1|9255	1707.8845	AIMP1|9255	807.6423
AIMP2|7965	179.2648	AIMP2|7965	252.7205
AIPL1|23746	17.4792	lowly_expressed	lowly_expressed
AIP|9049	803.3588	AIP|9049	1070.0438
lowly_expressed	lowly_expressed	AJAP1|55966	10.6316
AK1|203	201.1824	AK1|203	964.3527
AK2|204	4078.1424	AK2|204	2075.0469
AK3L1|205	758.8039	AK3L1|205	712.3202
AK3|50808	2822.0375	AK3|50808	2934.334
lowly_expressed	lowly_expressed	AK5|26289	313.9462
AK7|122481	6.8546	AK7|122481	12.5078
AKAP10|11216	244.7091	AKAP10|11216	560.3502
AKAP11|11215	777.9967	AKAP11|11215	2333.9587
AKAP12|9590	81.227	AKAP12|9590	11372.733
AKAP13|11214	5508.354	AKAP13|11214	3694.8093
AKAP1|8165	1332.5336	AKAP1|8165	3055.0344
AKAP2|11217	399.3522	AKAP2|11217	2750.2814
AKAP3|10566	79.1706	AKAP3|10566	24.3902
AKAP5|9495	40.0994	AKAP5|9495	28.1426
AKAP6|9472	124.4109	AKAP6|9472	721.7011
AKAP7|9465	152.5148	AKAP7|9465	240.7755
AKAP8L|26993	698.4834	AKAP8L|26993	563.4772
AKAP8|10270	584.3544	AKAP8|10270	479.0494
AKAP9|10142	2742.1815	AKAP9|10142	2013.7586
AKD1|221264	305.3723	AKD1|221264	148.2176
AKIRIN1|79647	2652.0435	AKIRIN1|79647	1390.8693
AKIRIN2|55122	1351.3838	AKIRIN2|55122	801.1257
AKNAD1|254268	25.7082	lowly_expressed	lowly_expressed
AKNA|80709	171.7077	AKNA|80709	814.8843
AKR1A1|10327	1411.3615	AKR1A1|10327	1457.1607
lowly_expressed	lowly_expressed	AKR1B10|57016	6.2539
AKR1B1|231	1557.3644	AKR1B1|231	1110.0688
AKR1C1|1645	502.8258	AKR1C1|1645	10644.778
AKR1C2|1646	235.1127	AKR1C2|1646	7947.4672
AKR1C3|8644	839.3454	AKR1C3|8644	4177.611
lowly_expressed	lowly_expressed	AKR1C4|1109	5.6285
AKR1E2|83592	101.0642	AKR1E2|83592	28.768
AKR7A2|8574	469.8826	AKR7A2|8574	1023.1395
AKR7A3|22977	14.3947	AKR7A3|22977	16.2602
AKR7L|246181	13.0237	lowly_expressed	lowly_expressed
AKT1S1|84335	982.2637	AKT1S1|84335	1009.3809
AKT1|207	4232.7136	AKT1|207	3463.4146
AKT2|208	2580.7557	AKT2|208	4675.4221
AKT3|10000	1932.6536	AKT3|10000	1661.6635
AKTIP|64400	1281.556	lowly_expressed	lowly_expressed
ALAD|210	1185.8453	ALAD|210	2288.9306
ALAS1|211	827.0071	ALAS1|211	809.8812
ALAS2|212	30.8457	ALAS2|212	87.5547
ALB|213	8.2255	ALB|213	41.9012
ALCAM|214	44.5549	ALCAM|214	796.748
ALDH16A1|126133	359.1809	ALDH16A1|126133	517.8236
ALDH18A1|5832	5437.7517	ALDH18A1|5832	1241.4009
ALDH1A1|216	379.0592	ALDH1A1|216	3636.0225
lowly_expressed	lowly_expressed	ALDH1A2|8854	1118.1989
ALDH1A3|220	209.6273	ALDH1A3|220	779.3746
ALDH1B1|219	164.1676	ALDH1B1|219	2838.6492
lowly_expressed	lowly_expressed	ALDH1L1|10840	2363.9775
ALDH1L2|160428	979.5219	ALDH1L2|160428	673.546
ALDH2|217	658.7268	ALDH2|217	25077.5485
lowly_expressed	lowly_expressed	ALDH3A1|218	37.5235
ALDH3A2|224	127.4955	ALDH3A2|224	4140.7129
ALDH3B1|221	167.5949	ALDH3B1|221	277.0482
ALDH3B2|222	554.5369	ALDH3B2|222	193.2458
ALDH4A1|8659	90.8234	ALDH4A1|8659	2136.9606
ALDH5A1|7915	1610.8303	ALDH5A1|7915	784.2402
ALDH6A1|4329	312.9021	ALDH6A1|4329	1267.6986
ALDH7A1|501	1145.7459	ALDH7A1|501	1451.5322
ALDH8A1|64577	72.316	ALDH8A1|64577	21.2633
ALDH9A1|223	3702.5105	ALDH9A1|223	5641.651
ALDOA|226	17863.7649	ALDOA|226	18691.0569
lowly_expressed	lowly_expressed	ALDOB|229	5.0031
ALDOC|230	354.3827	ALDOC|230	1564.7279999999998
ALG10B|144245	406.8203	ALG10B|144245	252.0325
ALG10|84920	92.8798	ALG10|84920	88.8055
ALG11|440138	37.7003	ALG11|440138	15.6348
ALG12|79087	202.2106	ALG12|79087	432.1451
ALG13|79868	326.9643	ALG13|79868	422.7642
ALG14|199857	166.9094	ALG14|199857	253.9087
ALG1L|200810	30.6298	lowly_expressed	lowly_expressed
ALG1|56052	225.3209	ALG1|56052	375.9975
ALG2|85365	916.4596	ALG2|85365	530.3315
ALG3|10195	1481.2784	ALG3|10195	486.5541
ALG5|29880	342.7298	ALG5|29880	514.0713
ALG6|29929	618.9701	ALG6|29929	207.6298
ALG8|79053	1042.2415	ALG8|79053	609.1307
ALG9|79796	333.8189	ALG9|79796	846.7792
ALKBH1|8846	201.5251	ALKBH1|8846	186.3665
