gene_id	TCGA-BH-A18J-01A-11R-A12D-07	gene_id	TCGA-BH-A18J-11A-31R-A12D-07
AFF2|2334	12.5807	AFF2|2334	15.1515
AFF3|3899	1509.6832	AFF3|3899	2558.3779
AFF4|27125	3428.5884	AFF4|27125	3592.6916
AFG3L1|172	148.5221	AFG3L1|172	246.8806
AFG3L2|10939	1909.3928	AFG3L2|10939	1073.6319
AFMID|125061	620.2981	AFMID|125061	462.1212
AFP|174	13.6291	AFP|174	458.5561
AFTPH|54812	2065.3305	AFTPH|54812	1632.7986
AG2|387763	207.232	AG2|387763	823.975
AGAP11|119385	20.6184	AGAP11|119385	178.2709
AGAP1|116987	698.5779	AGAP1|116987	786.9875
AGAP2|116986	26.9437	AGAP2|116986	45.6194
AGAP3|116988	1335.6503	AGAP3|116988	1594.4742
AGAP4|119016	125.108	AGAP4|119016	239.7504
AGAP5|729092	30.6445	AGAP5|729092	77.4153
AGAP6|414189	68.8443	AGAP6|414189	167.5579
lowly_expressed	lowly_expressed	AGAP7|653268	7.5758
AGAP8|728404	16.4248	AGAP8|728404	22.7273
AGA|175	332.34	AGA|175	385.4724
lowly_expressed	lowly_expressed	AGBL2|79841	6.6845
lowly_expressed	lowly_expressed	AGBL3|340351	8.467
AGBL4|84871	5.242	AGBL4|84871	6.2389
AGBL5|60509	914.204	AGBL5|60509	586.4884
AGER|177	25.1614	AGER|177	35.205
AGFG1|3267	1536.2424	AGFG1|3267	1908.6453
AGFG2|3268	435.0823	AGFG2|3268	394.8307
AGGF1|55109	1035.8104	AGGF1|55109	753.1194
AGK|55750	490.2976	AGK|55750	483.066
AGL|178	1592.1566	AGL|178	981.7291
AGMAT|79814	22.0162	AGMAT|79814	23.6185
AGPAT1|10554	2739.5893	AGPAT1|10554	1667.0588
AGPAT2|10555	2201.6213	AGPAT2|10555	2909.5365
AGPAT3|56894	3197.9424	AGPAT3|56894	1673.3512
AGPAT4|56895	243.2267	AGPAT4|56895	292.3351
AGPAT5|55326	415.5123	AGPAT5|55326	526.738
AGPAT6|137964	1178.3916	AGPAT6|137964	2145.7219
AGPAT9|84803	16.7743	AGPAT9|84803	222.3708
AGPHD1|123688	28.656	AGPHD1|123688	53.4759
AGPS|8540	2327.0788	AGPS|8540	1099.8217
AGR2|10551	17798.5359	AGR2|10551	1552.5847
AGR3|155465	4416.8718	AGR3|155465	466.1319
AGRN|375790	8878.4749	AGRN|375790	3747.3262
AGTPBP1|23287	386.1574	AGTPBP1|23287	423.3512
AGTR1|185	138.0382	AGTR1|185	392.1569
AGTRAP|57085	955.7832	AGTRAP|57085	483.5116
AGT|183	1341.9406	AGT|183	36.9875
AGXT2L2|85007	212.6871	AGXT2L2|85007	646.7558
AHCTF1|25909	1761.2971	AHCTF1|25909	1284.3137
AHCYL1|10768	4017.4347	AHCYL1|10768	3864.9733
AHCYL2|23382	432.9855	AHCYL2|23382	537.8788
AHCY|191	3604.7181	AHCY|191	2565.508
AHDC1|27245	1187.1282	AHDC1|27245	967.9144
AHI1|54806	420.0554	AHI1|54806	407.3084
AHNAK2|113146	8378.7418	AHNAK2|113146	1191.6221
AHNAK|79026	44171.1638	AHNAK|79026	99115.4189
AHRR|57491	54.8658	AHRR|57491	21.3904
AHR|196	2230.9763	AHR|196	3558.3779
AHSA1|10598	2136.9706	AHSA1|10598	1730.8378
AHSA2|130872	116.0219	AHSA2|130872	557.041
AIDA|64853	2245.1366	AIDA|64853	1072.8922
AIF1L|83543	1046.6438	AIF1L|83543	2140.82
AIF1|199	359.9476	AIF1|199	299.4652
AIFM1|9131	1079.1439	AIFM1|9131	691.6221
