gene_id	TCGA-E9-A1RC-01A-11R-A157-07	gene_id	TCGA-E9-A1RC-11A-33R-A157-07
ADCY1|107	1829.1171	ADCY1|107	229.3105
ADCY2|108	15.129	ADCY2|108	57.6772
ADCY3|109	725.9102	ADCY3|109	1338.9775
ADCY4|196883	34.2262	ADCY4|196883	828.4541
ADCY5|111	9.4246	ADCY5|111	1297.5618
ADCY6|112	3238.3433	ADCY6|112	5789.3909
ADCY7|113	789.1865	ADCY7|113	1053.2203
ADCY9|115	1701.8849	ADCY9|115	678.843
lowly_expressed	lowly_expressed	ADCYAP1R1|117	85.2923
lowly_expressed	lowly_expressed	ADCYAP1|116	24.4691
ADC|113451	150.7937	ADC|113451	42.9957
ADD1|118	6246.2798	ADD1|118	9301.7565
ADD2|119	17.8571	ADD2|119	44.394
ADD3|120	342.5099	ADD3|120	3909.8139
lowly_expressed	lowly_expressed	ADH1A|124	1176.9676
ADH1B|125	212.5496	ADH1B|125	96290.1302
lowly_expressed	lowly_expressed	ADH1C|126	415.6253
ADH5|128	1840.5258	ADH5|128	6309.1847
ADH6|130	9.9206	ADH6|130	6.2921
ADHFE1|137872	145.5853	ADHFE1|137872	764.1353
ADI1|55256	607.8869	ADI1|55256	2856.244
ADIPOQ|9370	251.2401	ADIPOQ|9370	154007.8651
ADIPOR1|51094	5598.7103	ADIPOR1|51094	2489.5569
ADIPOR2|79602	13683.7798	ADIPOR2|79602	7251.9444
ADK|132	482.3909	ADK|132	654.3739
ADM2|79924	141.121	ADM2|79924	6.6416
ADM|133	913.6905	ADM|133	1311.1946
ADNP2|22850	853.1746	ADNP2|22850	648.7809
ADNP|23394	5208.0853	ADNP|23394	2112.7327
ADORA1|134	149.5536	ADORA1|134	192.2573
ADORA2A|135	97.9638	ADORA2A|135	41.5975
ADORA2B|136	69.9405	ADORA2B|136	6.2921
ADORA3|140	110.3671	ADORA3|140	63.9692
ADO|84890	544.8909	ADO|84890	537.9708
ADPGK|83440	976.0466	ADPGK|83440	688.8159
ADPRHL1|113622	314.4841	ADPRHL1|113622	108.0136
ADPRHL2|54936	498.0159	ADPRHL2|54936	432.0545
ADPRH|141	106.6468	ADPRH|141	800.4894
lowly_expressed	lowly_expressed	ADRA1A|148	306.9125
ADRA1B|147	12.8968	ADRA1B|147	84.2436
lowly_expressed	lowly_expressed	ADRA1D|146	22.0222
ADRA2A|150	252.2321	ADRA2A|150	2441.6674
ADRA2B|151	24.3056	ADRA2B|151	15.031
ADRA2C|152	12.8968	ADRA2C|152	85.9914
lowly_expressed	lowly_expressed	ADRB1|153	308.3108
ADRB2|154	6.9444	ADRB2|154	552.6523
ADRBK1|156	992.8075	ADRBK1|156	1208.4244
ADRBK2|157	420.8829	ADRBK2|157	4763.4362
ADRM1|11047	1145.8333	ADRM1|11047	1213.3182
ADSL|158	453.125	ADSL|158	658.219
ADSSL1|122622	180.0595	ADSSL1|122622	288.7355
ADSS|159	3202.381	ADSS|159	709.2546
AEBP1|165	10692.7083	AEBP1|165	6627.2831
AEBP2|121536	869.0476	AEBP2|121536	499.1698
AEN|64782	582.8373	AEN|64782	218.1246
AES|166	2281.002	AES|166	6565.7607
AFAP1L1|134265	99.2063	AFAP1L1|134265	1711.4393
AFAP1L2|84632	213.0456	AFAP1L2|84632	410.3819
AFAP1|60312	819.4271	AFAP1|60312	1499.5963
AFF1|4299	3175.3472	AFF1|4299	4531.6788
AFF2|2334	23.5615	AFF2|2334	60.1241
AFF3|3899	21.5774	AFF3|3899	743.5113
AFF4|27125	9770.0893	AFF4|27125	2889.1025
AFG3L1|172	262.6488	AFG3L1|172	162.1952
AFG3L2|10939	1420.9598	AFG3L2|10939	1307.3495
AFMID|125061	728.1746	AFMID|125061	270.5584
AFTPH|54812	2884.4246	AFTPH|54812	966.5298
AG2|387763	76.8849	AG2|387763	277.5496
AGAP11|119385	18.6161	AGAP11|119385	402.6986
AGAP1|116987	2208.5813	AGAP1|116987	403.7403
AGAP2|116986	15.4514	AGAP2|116986	115.6305
AGAP3|116988	466.2698	AGAP3|116988	928.0783
AGAP4|119016	94.246	AGAP4|119016	104.518
AGAP5|729092	41.2054	AGAP5|729092	44.8239
AGAP6|414189	71.1806	AGAP6|414189	85.2923
AGAP7|653268	12.1528	AGAP7|653268	23.0709
AGAP8|728404	15.625	AGAP8|728404	32.8585
AGA|175	787.6984	AGA|175	506.8601
AGBL2|79841	33.2341	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL3|340351	9.7876
AGBL4|84871	29.5139	AGBL4|84871	10.1372
AGBL5|60509	652.0461	AGBL5|60509	654.3808
AGER|177	14.6329	AGER|177	23.77
AGFG1|3267	1526.0417	AGFG1|3267	2926.1557
AGFG2|3268	429.0675	AGFG2|3268	360.0454
AGGF1|55109	2084.3254	AGGF1|55109	949.4014
AGK|55750	752.4802	AGK|55750	479.5945
AGL|178	414.4345	AGL|178	1959.626
AGMAT|79814	13.6409	lowly_expressed	lowly_expressed
AGPAT1|10554	1384.2014	AGPAT1|10554	1808.1342
AGPAT2|10555	671.627	AGPAT2|10555	9866.2938
AGPAT3|56894	2225.9425	AGPAT3|56894	2718.1683
AGPAT4|56895	121.2798	AGPAT4|56895	256.9256
AGPAT5|55326	1232.6389	AGPAT5|55326	300.6205
AGPAT6|137964	4525.2976	AGPAT6|137964	1691.864
AGPAT9|84803	24.8016	AGPAT9|84803	368.4349
AGPHD1|123688	17.1131	AGPHD1|123688	74.456
AGPS|8540	260.1687	AGPS|8540	1948.4401
AGR2|10551	3396.0813	AGR2|10551	5.2434
AGR3|155465	4763.1448	lowly_expressed	lowly_expressed
AGRN|375790	2589.7817	AGRN|375790	1473.7394
AGTPBP1|23287	217.0139	AGTPBP1|23287	635.4977
AGTR1|185	25.5456	AGTR1|185	1021.76
AGTRAP|57085	689.4841	AGTRAP|57085	413.8775
AGT|183	294.1468	AGT|183	160.0979
AGXT2L2|85007	578.4871	AGXT2L2|85007	1017.8555
