gene_id	TCGA-E9-A1N4-01A-11R-A14M-07	gene_id	TCGA-E9-A1N4-11A-33R-A14M-07
ALKBH1|8846	289.8996	ALKBH1|8846	361.1792
ALKBH2|121642	271.1486	ALKBH2|121642	371.2779
ALKBH3|221120	297.548	ALKBH3|221120	385.535
ALKBH4|54784	168.7462	ALKBH4|54784	203.9385
ALKBH5|54890	2120.1381	ALKBH5|54890	1767.4523
ALKBH6|84964	61.6808	ALKBH6|84964	59.1074
ALKBH7|84266	410.3004	ALKBH7|84266	356.1298
ALKBH8|91801	353.5541	ALKBH8|91801	445.5335
ALK|238	5.1812	ALK|238	28.8112
lowly_expressed	lowly_expressed	ALMS1P|200420	13.663
ALMS1|7840	675.2810000000001	ALMS1|7840	1130.4671
lowly_expressed	lowly_expressed	ALOX12P2|245	19.3065
lowly_expressed	lowly_expressed	ALOX12|239	6.5345
ALOX15B|247	14.5567	ALOX15B|247	215.6382
lowly_expressed	lowly_expressed	ALOX15|246	6.8315
ALOX5AP|241	380.44699999999995	ALOX5AP|241	242.0732
ALOX5|240	945.6895	ALOX5|240	405.4355
lowly_expressed	lowly_expressed	ALOXE3|59344	9.8017
ALPK1|80216	699.7066	ALPK1|80216	953.4417
ALPK2|115701	59.707	lowly_expressed	lowly_expressed
ALPK3|57538	178.13400000000001	ALPK3|57538	140.7886
ALPL|249	176.9004	ALPL|249	893.4432
