gene_id	TCGA-BH-A1EW-01A-11R-A137-07	gene_id	TCGA-BH-A1EW-11B-33R-A137-07
AFAP1|60312	1699.8454	AFAP1|60312	1497.3372
lowly_expressed	lowly_expressed	AFARP1|246182	5.941
AFF1|4299	5139.1086	AFF1|4299	4040.5262
AFF2|2334	8.2674	AFF2|2334	80.2037
AFF3|3899	2218.1884	AFF3|3899	3484.8292
AFF4|27125	8479.5111	AFF4|27125	9026.9467
AFG3L1|172	162.8325	AFG3L1|172	223.6367
AFG3L2|10939	1098.2351	AFG3L2|10939	1455.9028
AFMID|125061	388.2099	AFMID|125061	382.1345
lowly_expressed	lowly_expressed	AFP|174	13.5795
AFTPH|54812	2484.184	AFTPH|54812	2313.6007
AG2|387763	367.7211	AG2|387763	249.7348
AGAP11|119385	39.8994	AGAP11|119385	203.6474
AGAP1|116987	441.4091	AGAP1|116987	430.5114
AGAP2|116986	95.5392	AGAP2|116986	68.903
AGAP3|116988	741.9123	AGAP3|116988	719.2871
AGAP4|119016	148.8138	AGAP4|119016	264.163
AGAP5|729092	54.3386	AGAP5|729092	110.3501
AGAP6|414189	101.7254	AGAP6|414189	153.1933
AGAP7|653268	6.1107	AGAP7|653268	8.275
AGAP8|728404	20.1294	AGAP8|728404	25.6737
AGA|175	506.4702	AGA|175	653.7237
AGBL2|79841	9.7052	AGBL2|79841	30.3416
lowly_expressed	lowly_expressed	AGBL3|340351	16.7621
lowly_expressed	lowly_expressed	AGBL4|84871	20.157
AGBL5|60509	404.7484	AGBL5|60509	569.0855
AGER|177	27.6779	AGER|177	71.2922
AGFG1|3267	2128.3249	AGFG1|3267	2309.1449
AGFG2|3268	215.6722	AGFG2|3268	266.4969
AGGF1|55109	1195.5428	AGGF1|55109	1329.3019
AGK|55750	400.0719	AGK|55750	537.6618
AGL|178	1124.371	AGL|178	1576.2784
AGMAT|79814	48.5262	AGMAT|79814	26.098
AGPAT1|10554	1692.6743	AGPAT1|10554	1378.0607
AGPAT2|10555	448.2387	AGPAT2|10555	674.9417
AGPAT3|56894	2038.1021	AGPAT3|56894	1732.8665
AGPAT4|56895	200.5751	AGPAT4|56895	205.1772
AGPAT5|55326	529.8347	AGPAT5|55326	1107.3626
AGPAT6|137964	2536.6643	AGPAT6|137964	1720.9845
AGPAT9|84803	185.8375	AGPAT9|84803	109.06
AGPHD1|123688	24.8023	AGPHD1|123688	66.8364
AGPS|8540	1936.7362	AGPS|8540	1753.0236
AGR2|10551	11326.0244	AGR2|10551	8740.2928
AGR3|155465	2149.1733	AGR3|155465	1360.7044
AGRN|375790	5474.4788	AGRN|375790	2440.0594
AGTPBP1|23287	348.67	AGTPBP1|23287	484.617
AGTR1|185	33.0697	AGTR1|185	165.0753
AGTRAP|57085	977.3544	AGTRAP|57085	577.3393
AGT|183	227.1747	AGT|183	49.8621
AGXT2L1|64850	7.5485	AGXT2L1|64850	15.4891
AGXT2L2|85007	236.4522	AGXT2L2|85007	429.0494
AHCTF1|25909	3702.7318	AHCTF1|25909	2692.7647
AHCYL1|10768	3970.8843	AHCYL1|10768	4373.4352
AHCYL2|23382	469.087	AHCYL2|23382	910.8848
AHCY|191	2955.4277	AHCY|191	2597.2841
AHDC1|27245	729.6909	AHDC1|27245	804.5831
AHI1|54806	488.138	AHI1|54806	603.4373
AHNAK2|113146	712.0776	AHNAK2|113146	584.9777
AHNAK|79026	45990.6542	AHNAK|79026	77005.0923
AHRR|57491	29.8347	AHRR|57491	46.8916
AHR|196	4292.2358	AHR|196	3709.5268
AHSA1|10598	1469.4464	AHSA1|10598	1122.003
AHSA2|130872	218.1884	AHSA2|130872	736.2614
AIDA|64853	1414.601	AIDA|64853	1013.4246
AIF1L|83543	1284.3278	AIF1L|83543	1930.1931
AIF1|199	314.8814	AIF1|199	304.477
AIFM1|9131	1163.1919	AIFM1|9131	809.4632
AIFM2|84883	341.8404	AIFM2|84883	617.2289
AIFM3|150209	39.6441	AIFM3|150209	10.3968
AIG1|51390	960.4601	AIG1|51390	823.467
AIM1L|55057	9.7052	lowly_expressed	lowly_expressed
AIM1|202	1827.8217	AIM1|202	2154.042
AIM2|9447	31.9914	AIM2|9447	11.4577
AIMP1|9255	1619.9281	AIMP1|9255	1617.1526
AIMP2|7965	388.2602	AIMP2|7965	282.1112
AIP|9049	351.9051	AIP|9049	330.575
AJAP1|55966	28.3968	AJAP1|55966	22.2788
AK1|203	482.7462	AK1|203	242.3085
AK2|204	2523.005	AK2|204	2276.255
AK3L1|205	135.1546	AK3L1|205	487.3753
AK3|50808	1239.3961	AK3|50808	2132.3997
AK5|26289	216.7505	AK5|26289	580.9463
AK7|122481	20.4889	AK7|122481	41.5871
AKAP10|11216	609.2739	AKAP10|11216	868.8733
AKAP11|11215	1072.2502	AKAP11|11215	2359.2192
AKAP12|9590	1622.5737	AKAP12|9590	2711.0121
AKAP13|11214	3443.5658	AKAP13|11214	4305.5379
AKAP1|8165	2718.9073	AKAP1|8165	1710.1634
AKAP2|11217	1269.9281	AKAP2|11217	1033.0554
AKAP3|10566	6.8296	AKAP3|10566	22.2788
AKAP5|9495	135.1546	AKAP5|9495	356.0365
AKAP6|9472	66.4989	AKAP6|9472	311.6911
AKAP7|9465	130.1222	AKAP7|9465	199.2362
AKAP8L|26993	636.2329	AKAP8L|26993	710.5877
AKAP8|10270	667.5054	AKAP8|10270	747.2947
