gene_id	TCGA-BH-A1F6-01A-11R-A13Q-07	gene_id	TCGA-BH-A1F6-11B-94R-A13Q-07
ALDH1B1|219	700.6129	ALDH1B1|219	810.3751
ALDH1L1|10840	8.958	ALDH1L1|10840	603.7515
ALDH1L2|160428	647.3362	ALDH1L2|160428	635.4045
ALDH2|217	1718.529	ALDH2|217	10439.6249
ALDH3A1|218	5.6577	ALDH3A1|218	21.9812
ALDH3A2|224	798.6799	ALDH3A2|224	3658.558
ALDH3B1|221	217.8218	ALDH3B1|221	213.3646
ALDH3B2|222	487.5059	ALDH3B2|222	695.1934
ALDH4A1|8659	493.1636	ALDH4A1|8659	1157.6788
ALDH5A1|7915	256.9543	ALDH5A1|7915	728.898
ALDH6A1|4329	235.2711	ALDH6A1|4329	803.5404
ALDH7A1|501	876.4734	ALDH7A1|501	1686.694
ALDH8A1|64577	12.7298	ALDH8A1|64577	10.2579
ALDH9A1|223	1303.1589	ALDH9A1|223	4742.0868
ALDOA|226	23518.1518	ALDOA|226	9381.0082
ALDOC|230	204.6205	ALDOC|230	2466.2954
ALG10B|144245	120.2263	ALG10B|144245	466.8816
ALG10|84920	82.5083	ALG10|84920	173.2122
ALG11|440138	9.4295	ALG11|440138	13.1887
ALG12|79087	479.0193	ALG12|79087	280.1876
ALG13|79868	242.3385	ALG13|79868	651.8171
ALG14|199857	123.5266	ALG14|199857	261.7233
ALG1L|200810	24.8703	lowly_expressed	lowly_expressed
ALG1|56052	995.0259	ALG1|56052	349.6102
ALG2|85365	696.8411	ALG2|85365	993.2591
ALG3|10195	1968.4111	ALG3|10195	582.9426
ALG5|29880	650.165	ALG5|29880	599.3552
ALG6|29929	551.1551	ALG6|29929	346.1313
ALG8|79053	948.1377	ALG8|79053	878.0774
ALG9|79796	586.9873	ALG9|79796	923.5053
ALKBH1|8846	182.9326	ALKBH1|8846	231.2427
ALKBH2|121642	233.3805	ALKBH2|121642	106.6823
ALKBH3|221120	53.2768	ALKBH3|221120	323.2708
ALKBH4|54784	327.586	ALKBH4|54784	91.7644
ALKBH5|54890	2033.9463	ALKBH5|54890	2258.0891
ALKBH6|84964	77.7935	ALKBH6|84964	48.3587
