gene_id	TCGA-BH-A0E0-01A-11R-A056-07	gene_id	TCGA-BH-A0E0-11A-13R-A089-07
AK3L1|205	652.6508	AK3L1|205	662.5277
AK3|50808	2449.7258	AK3|50808	1700.2217
AK5|26289	7.922	AK5|26289	2442.1286
AK7|122481	5.4845	AK7|122481	15.0776
AKAP10|11216	234.613	AKAP10|11216	429.2683
AKAP11|11215	591.7124	AKAP11|11215	723.7251
AKAP12|9590	145.6429	AKAP12|9590	628.8248
AKAP13|11214	1210.2377	AKAP13|11214	2324.1685
AKAP1|8165	1257.7697	AKAP1|8165	2677.6053
AKAP2|11217	589.5491	AKAP2|11217	931.0909
AKAP3|10566	20.1097	AKAP3|10566	24.3902
AKAP5|9495	53.0165	AKAP5|9495	67.4058
AKAP6|9472	10.9689	AKAP6|9472	63.8581
AKAP7|9465	63.9854	AKAP7|9465	147.2284
AKAP8L|26993	1076.7824	AKAP8L|26993	929.49
AKAP8|10270	380.8653	AKAP8|10270	471.3969
AKAP9|10142	1669.7136	AKAP9|10142	1756.9845
AKD1|221264	140.1584	AKD1|221264	123.2816
AKIRIN1|79647	1190.128	AKIRIN1|79647	1186.6962
AKIRIN2|55122	853.7477	AKIRIN2|55122	882.0399
lowly_expressed	lowly_expressed	AKNAD1|254268	7.9911
AKNA|80709	550.8836	AKNA|80709	521.0643
AKR1A1|10327	3971.3589	AKR1A1|10327	2101.1086
AKR1B10|57016	5.4845	AKR1B10|57016	857.6497
AKR1B15|441282	85.3138	lowly_expressed	lowly_expressed
AKR1B1|231	1513.1018	AKR1B1|231	679.8226
AKR1C1|1645	12.7971	AKR1C1|1645	2733.9246
lowly_expressed	lowly_expressed	AKR1C2|1646	1027.4945
AKR1C3|8644	168.7995	AKR1C3|8644	1136.5854
lowly_expressed	lowly_expressed	AKR1E2|83592	38.5809
AKR7A2|8574	1337.599	AKR7A2|8574	1487.3614
AKR7A3|22977	56.0634	AKR7A3|22977	230.1552
AKR7L|246181	9.7502	AKR7L|246181	11.5299
AKT1S1|84335	2204.7532	AKT1S1|84335	1392.9047
AKT1|207	2904.3266	AKT1|207	4814.6341
AKT2|208	4301.036	AKT2|208	2472.2838
AKT3|10000	1746.496	AKT3|10000	287.3614
AKTIP|64400	538.5253	AKTIP|64400	530.6652
ALAD|210	562.4619	ALAD|210	2072.2838
ALAS1|211	3498.4765	ALAS1|211	852.7716
lowly_expressed	lowly_expressed	ALB|213	2562.7494
ALCAM|214	2397.3187	ALCAM|214	5501.9956
ALDH16A1|126133	1123.0957	ALDH16A1|126133	910.8647
ALDH18A1|5832	3583.7904	ALDH18A1|5832	2011.5299
ALDH1A1|216	243.1444	ALDH1A1|216	1343.2373
ALDH1A2|8854	9.7502	ALDH1A2|8854	354.7672
ALDH1A3|220	226.1913	ALDH1A3|220	577.122
ALDH1B1|219	288.2389	ALDH1B1|219	542.7938
lowly_expressed	lowly_expressed	ALDH1L1|10840	643.4590000000001
ALDH1L2|160428	51.7977	ALDH1L2|160428	315.7428
ALDH2|217	17839.1225	ALDH2|217	4201.7738
lowly_expressed	lowly_expressed	ALDH3A1|218	955.2106
ALDH3A2|224	3388.7873	ALDH3A2|224	2200.0
ALDH3B1|221	84.7044	ALDH3B1|221	135.255
ALDH3B2|222	4833.638	ALDH3B2|222	4042.1286
ALDH4A1|8659	422.9129	ALDH4A1|8659	2458.5366
ALDH5A1|7915	1156.0024	ALDH5A1|7915	462.0843
ALDH6A1|4329	444.0524	ALDH6A1|4329	431.2106
ALDH7A1|501	2493.6015	ALDH7A1|501	5847.4501
lowly_expressed	lowly_expressed	ALDH8A1|64577	17.2949
ALDH9A1|223	9354.6618	ALDH9A1|223	3795.5654
ALDOA|226	21366.2401	ALDOA|226	24514.4124
ALDOC|230	268.1292	ALDOC|230	1081.5965
ALG10B|144245	393.05300000000005	ALG10B|144245	182.7051
ALG10|84920	133.4552	ALG10|84920	78.0488
ALG11|440138	6.7032	ALG11|440138	5.765
ALG12|79087	577.6965	ALG12|79087	712.6386
ALG13|79868	369.8964	ALG13|79868	384.4789
ALG14|199857	301.036	ALG14|199857	281.153
ALG1L|200810	9.9634	lowly_expressed	lowly_expressed
ALG1|56052	336.0268	ALG1|56052	754.0665
ALG2|85365	583.7904	ALG2|85365	865.6319
ALG3|10195	1817.7939999999999	ALG3|10195	932.1508
ALG5|29880	400.3656	ALG5|29880	772.5055
ALG6|29929	655.6977	ALG6|29929	150.3326
ALG8|79053	3794.028	ALG8|79053	1107.3171
ALG9|79796	1400.975	ALG9|79796	514.4124
ALKBH1|8846	202.3157	ALKBH1|8846	281.5965
ALKBH2|121642	287.0201	ALKBH2|121642	497.1175
ALKBH3|221120	360.7556	ALKBH3|221120	513.5255
ALKBH4|54784	396.0512	ALKBH4|54784	345.4812
ALKBH5|54890	1813.3821	ALKBH5|54890	2315.1707
ALKBH6|84964	225.4723	ALKBH6|84964	94.4568
ALKBH7|84266	652.6508	ALKBH7|84266	1092.6829
ALKBH8|91801	235.2224	ALKBH8|91801	179.1574
ALK|238	9.7502	lowly_expressed	lowly_expressed
ALMS1|7840	800.1219	ALMS1|7840	566.2971
lowly_expressed	lowly_expressed	ALOX12P2|245	5.765
ALOX12|239	5.4845	ALOX12|239	16.408
ALOX15B|247	32.9068	ALOX15B|247	6671.8404
