gene_id	TCGA-BH-A1EU-01A-11R-A137-07	gene_id	TCGA-BH-A1EU-11A-23R-A137-07
AKR7A3|22977	33.8598	AKR7A3|22977	84.8708
AKR7L|246181	22.0915	AKR7L|246181	13.5301
AKT1S1|84335	487.4574	AKT1S1|84335	581.7958
AKT1|207	2220.9146	AKT1|207	2253.9975
AKT2|208	1897.5947	AKT2|208	1887.4539
AKT3|10000	978.0118	AKT3|10000	1987.6999
AKTIP|64400	735.4702	AKTIP|64400	750.2214
ALAD|210	1698.1522	ALAD|210	1682.0418
ALAS1|211	929.6996	ALAS1|211	816.7282
ALAS2|212	12.3877	lowly_expressed	lowly_expressed
ALB|213	7.8456	ALB|213	201.107
ALCAM|214	7199.5458	ALCAM|214	5188.8069
ALDH16A1|126133	252.0904	ALDH16A1|126133	265.6827
ALDH18A1|5832	1934.345	ALDH18A1|5832	1486.4699
ALDH1A1|216	1371.5289	ALDH1A1|216	2105.1661
ALDH1A2|8854	337.9787	ALDH1A2|8854	394.2189
ALDH1A3|220	669.074	ALDH1A3|220	4264.6002
ALDH1B1|219	491.5867	ALDH1B1|219	404.059
ALDH1L1|10840	103.0247	ALDH1L1|10840	207.8721
ALDH1L2|160428	701.3523	ALDH1L2|160428	308.1181
ALDH2|217	2967.4822	ALDH2|217	3417.5892
lowly_expressed	lowly_expressed	ALDH3A1|218	38.7454
ALDH3A2|224	1613.5026	ALDH3A2|224	2742.9274
ALDH3B1|221	231.2377	ALDH3B1|221	177.1218
ALDH3B2|222	250.8517	ALDH3B2|222	2327.7983
ALDH4A1|8659	439.9711	ALDH4A1|8659	648.8315
ALDH5A1|7915	361.309	ALDH5A1|7915	694.3419
ALDH6A1|4329	586.3301	ALDH6A1|4329	573.8991
ALDH7A1|501	1392.1751	ALDH7A1|501	2020.9102
lowly_expressed	lowly_expressed	ALDH8A1|64577	15.9902
ALDH9A1|223	3305.6674	ALDH9A1|223	2884.3788
ALDOA|226	15034.7889	ALDOA|226	14226.3223
ALDOC|230	173.8412	ALDOC|230	677.7368
ALG10B|144245	676.3704	ALG10B|144245	649.4465
ALG10|84920	235.1605	ALG10|84920	175.8918
ALG11|440138	20.6462	ALG11|440138	13.5301
ALG12|79087	283.2662	ALG12|79087	392.3739
ALG13|79868	588.211	ALG13|79868	614.3911
ALG14|199857	147.0011	ALG14|199857	171.5867
lowly_expressed	lowly_expressed	ALG1L|200810	10.4182
ALG1|56052	602.5808	ALG1|56052	351.8143
ALG2|85365	1072.365	ALG2|85365	939.1144
ALG3|10195	714.7724	ALG3|10195	462.4846
