gene_id	TCGA-E2-A15K-06A-11R-A12P-07	gene_id	TCGA-E2-A15K-11A-13R-A12P-07
AGGF1|55109	1017.1775	AGGF1|55109	602.7925
AGK|55750	474.2337	AGK|55750	462.6866
AGL|178	1370.1583	AGL|178	624.4584
AGMAT|79814	23.2401	AGMAT|79814	8.1849
AGPAT1|10554	1693.5466	AGPAT1|10554	2336.7838
AGPAT2|10555	1080.1617	AGPAT2|10555	4400.5778
AGPAT3|56894	2170.0909	AGPAT3|56894	1764.5643
AGPAT4|56895	15.1566	AGPAT4|56895	413.0958
AGPAT5|55326	121.9266	AGPAT5|55326	349.0611
AGPAT6|137964	857.8646	AGPAT6|137964	2148.2908
AGPAT9|84803	58.2688	AGPAT9|84803	119.8844
AGPHD1|123688	14.483	AGPHD1|123688	38.0356
AGPS|8540	2582.0141	AGPS|8540	898.4112
AGR2|10551	24151.5662	AGR2|10551	530.5729
AGR3|155465	6618.39	AGR3|155465	258.0645
AGRN|375790	2019.5352	AGRN|375790	7033.221
AGTPBP1|23287	59.2792	AGTPBP1|23287	237.3616
lowly_expressed	lowly_expressed	AGTR1|185	388.5412
AGTRAP|57085	1918.8279	AGTRAP|57085	1459.7978
AGT|183	706.972	AGT|183	84.2561
AGXT2L2|85007	485.645	AGXT2L2|85007	605.8113
AGXT2|64902	15.1566	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGXT|189	5.2961
AHCTF1|25909	2272.8191	AHCTF1|25909	643.2354
AHCYL1|10768	6216.908	AHCYL1|10768	2473.7602
AHCYL2|23382	1054.227	AHCYL2|23382	336.0616
AHCY|191	2947.4571	AHCY|191	2450.65
AHDC1|27245	415.6282	AHDC1|27245	1401.5407
AHI1|54806	385.9885	AHI1|54806	186.8079
AHNAK2|113146	867.969	AHNAK2|113146	1683.6784
AHNAK|79026	17257.9993	AHNAK|79026	52783.8228
AHRR|57491	131.6942	AHRR|57491	52.4795
AHR|196	1676.9956	AHR|196	2157.9201
AHSA1|10598	1827.8882	AHSA1|10598	1853.1536
AHSA2|130872	729.5386	AHSA2|130872	458.8349
lowly_expressed	lowly_expressed	AHSP|51327	6.259
AIDA|64853	1188.2856	AIDA|64853	1822.8214
AIF1L|83543	450.9936	AIF1L|83543	2821.377
AIF1|199	250.2526	AIF1|199	996.1483
AIFM1|9131	1501.1788	AIFM1|9131	706.7886
AIFM2|84883	476.2546	AIFM2|84883	1509.3885
AIFM3|150209	37.4604	AIFM3|150209	17.8142
AIG1|51390	683.0583	AIG1|51390	849.7833
AIM1L|55057	204.7828	AIM1L|55057	9.6293
AIM1|202	556.0795	AIM1|202	1603.274
lowly_expressed	lowly_expressed	AIM2|9447	9.6293
AIMP1|9255	1136.2075	AIMP1|9255	849.6726
AIMP2|7965	267.6423	AIMP2|7965	349.3597
AIP|9049	1347.9286	AIP|9049	2132.884
lowly_expressed	lowly_expressed	AJAP1|55966	24.0732
AK1|203	771.6403	AK1|203	1360.1348
AK2|204	1644.3247	AK2|204	2181.0303
lowly_expressed	lowly_expressed	AK3L1|205	241.2133
AK3|50808	604.2439	AK3|50808	1587.8671
AK5|26289	41.0913	AK5|26289	1909.0034
AK7|122481	6.7363	AK7|122481	24.5546
AKAP10|11216	465.1398	AKAP10|11216	254.6943
AKAP11|11215	1135.3991	AKAP11|11215	674.5306
AKAP12|9590	51.8693	AKAP12|9590	1922.9658
AKAP13|11214	2065.3419	AKAP13|11214	2612.9032
AKAP1|8165	1775.682	AKAP1|8165	1996.1483
AKAP2|11217	180.1987	AKAP2|11217	1138.2619
AKAP3|10566	10.1044	AKAP3|10566	30.3322
AKAP5|9495	641.6302	AKAP5|9495	28.4064
AKAP6|9472	40.0808	AKAP6|9472	76.5527
AKAP7|9465	36.3759	AKAP7|9465	156.4757
AKAP8L|26993	972.7181	AKAP8L|26993	998.0741
AKAP8|10270	730.549	AKAP8|10270	625.9027
AKAP9|10142	4282.5867	AKAP9|10142	758.7867
AKD1|221264	251.9367	AKD1|221264	63.0717
AKIRIN1|79647	998.6527	AKIRIN1|79647	814.155
AKIRIN2|55122	377.905	AKIRIN2|55122	1060.183
lowly_expressed	lowly_expressed	AKNAD1|254268	6.7501
AKNA|80709	509.2624	AKNA|80709	1265.2865
AKR1A1|10327	3375.2105	AKR1A1|10327	2480.9822
lowly_expressed	lowly_expressed	AKR1B10|57016	6.7405
lowly_expressed	lowly_expressed	AKR1B15|441282	9.1478
AKR1B1|231	249.2422	AKR1B1|231	1663.9384
AKR1C1|1645	40.7545	AKR1C1|1645	3303.8036
AKR1C2|1646	22.2297	AKR1C2|1646	4093.8854
AKR1C3|8644	83.193	AKR1C3|8644	3556.0905
AKR1D1|6718	6.0626	lowly_expressed	lowly_expressed
AKR1E2|83592	13.4725	AKR1E2|83592	30.8137
AKR7A2|8574	1800.9431	AKR7A2|8574	1362.0607
AKR7A3|22977	1298.7538	AKR7A3|22977	53.4425
AKR7L|246181	102.7282	AKR7L|246181	11.0737
AKT1S1|84335	1125.2947	AKT1S1|84335	1591.7188
AKT1|207	4683.3951	AKT1|207	4181.9933
AKT2|208	3645.3351	AKT2|208	2975.4454
AKT3|10000	76.7935	AKT3|10000	994.2224
AKTIP|64400	288.3631	AKTIP|64400	620.2744
ALAD|210	1449.6463	ALAD|210	1839.6726
ALAS1|211	1158.9761	ALAS1|211	1088.5893
lowly_expressed	lowly_expressed	ALAS2|212	44.2947
ALB|213	84.2034	ALB|213	78.4786
ALCAM|214	2676.322	ALCAM|214	1009.6293
ALDH16A1|126133	532.8393	ALDH16A1|126133	1206.0664
ALDH18A1|5832	4101.0441	ALDH18A1|5832	1122.2918
ALDH1A1|216	40.4176	ALDH1A1|216	2194.5113
lowly_expressed	lowly_expressed	ALDH1A2|8854	570.053
ALDH1A3|220	7.0697	ALDH1A3|220	2409.0515
ALDH1B1|219	520.3772	ALDH1B1|219	546.4612
lowly_expressed	lowly_expressed	ALDH1L1|10840	572.9417
ALDH1L2|160428	16.8407	ALDH1L2|160428	162.2532
ALDH2|217	976.423	ALDH2|217	8231.584
lowly_expressed	lowly_expressed	ALDH3A1|218	156.4757
ALDH3A2|224	2876.3894	ALDH3A2|224	2310.0626
ALDH3B1|221	856.1805	ALDH3B1|221	422.2436
ALDH3B2|222	6705.6248	ALDH3B2|222	640.8281
ALDH4A1|8659	1458.7403	ALDH4A1|8659	1891.1892
ALDH5A1|7915	494.1058	ALDH5A1|7915	280.2118
ALDH6A1|4329	858.3766	ALDH6A1|4329	181.71400000000003
ALDH7A1|501	1656.7868	ALDH7A1|501	1390.467
lowly_expressed	lowly_expressed	ALDH8A1|64577	12.5181
ALDH9A1|223	3249.9158	ALDH9A1|223	2792.0077
ALDOA|226	34896.5982	ALDOA|226	18690.4189
ALDOC|230	8.4203	ALDOC|230	1100.1444
ALG10B|144245	568.2048	ALG10B|144245	136.7357
ALG10|84920	178.1745	ALG10|84920	51.5166
ALG11|440138	24.9242	ALG11|440138	9.1478
ALG12|79087	850.7915	ALG12|79087	769.3789
ALG13|79868	481.9805	ALG13|79868	302.3592
ALG14|199857	237.1169	ALG14|199857	202.2147
ALG1L|200810	7.7501	ALG1L|200810	20.8474
ALG1|56052	1125.0286	ALG1|56052	482.8021
ALG2|85365	944.7625	ALG2|85365	685.6042
ALG3|10195	781.0711	ALG3|10195	840.6355
ALG5|29880	850.7915	ALG5|29880	632.1618
ALG6|29929	469.8552	ALG6|29929	211.84400000000002
ALG8|79053	1460.4244	ALG8|79053	677.4194
ALG9|79796	311.2159	ALG9|79796	534.9061
ALKBH1|8846	396.093	ALKBH1|8846	221.4733
ALKBH2|121642	119.2321	ALKBH2|121642	441.5022
ALKBH3|221120	313.5736	ALKBH3|221120	402.0221
ALKBH4|54784	227.5143	ALKBH4|54784	419.1237
ALKBH5|54890	3172.3072	ALKBH5|54890	2951.8055
ALKBH6|84964	138.4304	ALKBH6|84964	135.7727
ALKBH7|84266	391.7144	ALKBH7|84266	1097.7371
ALKBH8|91801	116.8744	ALKBH8|91801	164.6606
