gene_id	TCGA-E9-A1NA-01A-11R-A144-07	gene_id	TCGA-E9-A1NA-11A-33R-A144-07
ALDH1A1|216	747.0625	ALDH1A1|216	4080.9437
ALDH1A2|8854	20.0989	ALDH1A2|8854	268.5336
ALDH1A3|220	1091.4997	ALDH1A3|220	3207.2466
ALDH1B1|219	1023.5003	ALDH1B1|219	630.2868
lowly_expressed	lowly_expressed	ALDH1L1|10840	1314.6639
ALDH1L2|160428	669.4496	ALDH1L2|160428	420.0633
ALDH2|217	1853.4323	ALDH2|217	14074.614
lowly_expressed	lowly_expressed	ALDH3A1|218	44.1162
ALDH3A2|224	1868.2746	ALDH3A2|224	3470.9888
ALDH3B1|221	302.1027	ALDH3B1|221	300.374
ALDH3B2|222	631.7254	ALDH3B2|222	828.618
ALDH4A1|8659	494.1249	ALDH4A1|8659	2032.0322
ALDH5A1|7915	526.5925	ALDH5A1|7915	550.8775
ALDH6A1|4329	298.3766	ALDH6A1|4329	516.3441
ALDH7A1|501	1052.5665	ALDH7A1|501	1377.5774
lowly_expressed	lowly_expressed	ALDH8A1|64577	8.8232
ALDH9A1|223	1731.9109	ALDH9A1|223	3533.1351
ALDOA|226	20472.1707	ALDOA|226	14259.9022
lowly_expressed	lowly_expressed	ALDOB|229	5.7543
ALDOC|230	74.5207	ALDOC|230	1701.3523
ALG10B|144245	152.1336	ALG10B|144245	224.801
ALG10|84920	121.8306	ALG10|84920	93.9868
ALG11|440138	13.6054	ALG11|440138	14.5775
ALG12|79087	509.5857	ALG12|79087	550.8775
ALG13|79868	501.2369	ALG13|79868	377.8652
ALG14|199857	158.9363	ALG14|199857	196.4132
ALG1L|200810	177.1398	lowly_expressed	lowly_expressed
ALG1|56052	630.1824	ALG1|56052	453.63
ALG2|85365	915.5844	ALG2|85365	764.1699
ALG3|10195	1556.5863	ALG3|10195	624.5325
ALG5|29880	403.2158	ALG5|29880	537.0672
ALG6|29929	308.9054	ALG6|29929	181.8356
ALG8|79053	880.0247	ALG8|79053	708.5451
ALG9|79796	365.1824	ALG9|79796	645.6315
ALKBH1|8846	241.8058	ALKBH1|8846	177.2322
ALKBH2|121642	679.9629	ALKBH2|121642	234.0079
ALKBH3|221120	74.5207	ALKBH3|221120	305.7447
ALKBH4|54784	314.4001	ALKBH4|54784	208.0944
ALKBH5|54890	1464.9134	ALKBH5|54890	2295.4982
ALKBH6|84964	60.2968	ALKBH6|84964	74.8058
ALKBH7|84266	1029.6846	ALKBH7|84266	383.6194
ALKBH8|91801	172.2325	ALKBH8|91801	237.8441
ALK|238	61.8429	ALK|238	19.180999999999997
ALMS1|7840	898.8868	ALMS1|7840	705.0925
ALOX12P2|245	34.632	ALOX12P2|245	20.3318
ALOX15B|247	120.9029	ALOX15B|247	19.9482
