gene_id	TCGA-A7-A13E-01A-11R-A12P-07	gene_id	TCGA-A7-A13E-11A-61R-A12P-07
lowly_expressed	lowly_expressed	AGR3|155465	328.8434
AGRN|375790	5120.5295	AGRN|375790	1945.2505
AGTPBP1|23287	562.8269	AGTPBP1|23287	463.0155
lowly_expressed	lowly_expressed	AGTR1|185	672.3238
AGTRAP|57085	1665.8482	AGTRAP|57085	711.8436
AGT|183	174.2287	AGT|183	162.958
lowly_expressed	lowly_expressed	AGXT2L1|64850	5.8548
AGXT2L2|85007	175.9283	AGXT2L2|85007	824.7189
lowly_expressed	lowly_expressed	AGXT|189	17.5643
AHCTF1|25909	2554.4998	AHCTF1|25909	1175.347
AHCYL1|10768	2220.1345	AHCYL1|10768	4840.439
AHCYL2|23382	614.9247	AHCYL2|23382	703.5493
AHCY|191	4147.3257	AHCY|191	1686.6644
AHDC1|27245	1626.5613	AHDC1|27245	693.7914
AHI1|54806	498.7723	AHI1|54806	393.246
AHNAK2|113146	6621.1167	AHNAK2|113146	1175.347
AHNAK|79026	28032.8814	AHNAK|79026	142350.1817
AHRR|57491	14.5191	AHRR|57491	16.5885
AHR|196	2631.3654	AHR|196	2373.6252
AHSA1|10598	1571.9014	AHSA1|10598	1258.7776
AHSA2|130872	713.5689	AHSA2|130872	284.9326
AIDA|64853	745.3486	AIDA|64853	1735.0542
AIF1L|83543	4699.4769	AIF1L|83543	2111.6238
AIF1|199	114.4443	AIF1|199	867.9711
AIFM1|9131	634.9952	AIFM1|9131	940.6679
AIFM2|84883	274.581	AIFM2|84883	2772.2381
AIFM3|150209	26.587	AIFM3|150209	8.87
AIG1|51390	417.2094	AIG1|51390	1233.8948
AIM1L|55057	78.5737	lowly_expressed	lowly_expressed
AIM1|202	2439.6285	AIM1|202	2918.1197
AIM2|9447	6.8325	AIM2|9447	7.3185
AIMP1|9255	1200.743	AIMP1|9255	839.2826
AIMP2|7965	801.9772	AIMP2|7965	359.1761
AIP|9049	669.5847	AIP|9049	626.9493
lowly_expressed	lowly_expressed	AJAP1|55966	20.9796
AK1|203	448.3826	AK1|203	888.4628
AK2|204	3538.8064	AK2|204	2085.7652
AK3L1|205	412.085	AK3L1|205	746.9723
AK3|50808	1191.8437	AK3|50808	2840.056
lowly_expressed	lowly_expressed	AK5|26289	545.9582
AK7|122481	17.9353	AK7|122481	15.1248
AKAP10|11216	345.0411	AKAP10|11216	614.264
AKAP11|11215	1029.5719	AKAP11|11215	2249.699
AKAP12|9590	175.9368	AKAP12|9590	10309.2909
AKAP13|11214	3208.7114	AKAP13|11214	3374.3046
AKAP1|8165	3755.3112	AKAP1|8165	1908.1702
AKAP2|11217	190.8615	AKAP2|11217	2922.8816
AKAP3|10566	108.4659	AKAP3|10566	17.0764
AKAP5|9495	23.0597	AKAP5|9495	75.6242
AKAP6|9472	114.4443	AKAP6|9472	141.4905
AKAP7|9465	144.7635	AKAP7|9465	216.1389
AKAP8L|26993	843.8134	AKAP8L|26993	358.6052
AKAP8|10270	758.4072	AKAP8|10270	391.2944
AKAP9|10142	3104.9429	AKAP9|10142	1811.5664
AKD1|221264	149.4609	AKD1|221264	134.172
AKIRIN1|79647	978.7552	AKIRIN1|79647	1267.0719
AKIRIN2|55122	674.7091	AKIRIN2|55122	1025.5622
AKNA|80709	360.8413	AKNA|80709	713.3073
AKR1A1|10327	1694.0322	AKR1A1|10327	1511.021
lowly_expressed	lowly_expressed	AKR1B10|57016	7.8064
lowly_expressed	lowly_expressed	AKR1B15|441282	19.5159
AKR1B1|231	178.072	AKR1B1|231	1235.3585
AKR1C1|1645	232.8942	AKR1C1|1645	8099.1117
AKR1C2|1646	60.2114	AKR1C2|1646	5651.8138
AKR1C3|8644	174.2287	AKR1C3|8644	7153.0769
AKR1E2|83592	177.4827	AKR1E2|83592	40.4956
AKR7A2|8574	897.1923	AKR7A2|8574	1075.8157
AKR7A3|22977	40.568000000000005	AKR7A3|22977	55.6204
lowly_expressed	lowly_expressed	AKR7L|246181	8.7822
AKT1S1|84335	1000.1068	AKT1S1|84335	912.8577
AKT1|207	1972.8835	AKT1|207	2920.0713
AKT2|208	2071.9547	AKT2|208	4372.0566
AKT3|10000	2194.0856	AKT3|10000	1275.3661
AKTIP|64400	807.8019	AKTIP|64400	778.0269999999999
ALAD|210	842.9593	ALAD|210	3296.7288
ALAS1|211	895.0571	ALAS1|211	1424.6629999999998
lowly_expressed	lowly_expressed	ALAS2|212	70.7453
ALB|213	12.8109	ALB|213	966.5265
ALCAM|214	1829.4011	ALCAM|214	1235.8464
ALDH16A1|126133	291.2352	ALDH16A1|126133	298.1059
ALDH18A1|5832	2529.732	ALDH18A1|5832	1415.3929
ALDH1A1|216	111.4551	ALDH1A1|216	4175.9215
ALDH1A2|8854	11.5298	ALDH1A2|8854	370.3148
ALDH1A3|220	519.8463	ALDH1A3|220	1312.4025
ALDH1B1|219	1023.5935	ALDH1B1|219	684.0334
ALDH1L1|10840	10.2487	ALDH1L1|10840	1800.3447
ALDH1L2|160428	1137.6108	ALDH1L2|160428	549.3735
ALDH2|217	1175.1895	ALDH2|217	18300.5771
ALDH3A1|218	23.4867	ALDH3A1|218	6.3427
ALDH3A2|224	1549.6957	ALDH3A2|224	4463.2936
ALDH3B1|221	234.8671	ALDH3B1|221	259.5619
ALDH3B2|222	78.5737	ALDH3B2|222	1250.4833
ALDH4A1|8659	349.3114	lowly_expressed	lowly_expressed
ALDH5A1|7915	441.1231	ALDH5A1|7915	1104.1138
ALDH6A1|4329	222.6583	ALDH6A1|4329	953.0166
ALDH7A1|501	1568.9121	ALDH7A1|501	1679.3459
lowly_expressed	lowly_expressed	ALDH8A1|64577	8.7822
ALDH9A1|223	2205.1884	ALDH9A1|223	7216.0157
ALDOA|226	21563.7878	ALDOA|226	17994.1769
lowly_expressed	lowly_expressed	ALDOB|229	18.5401
ALDOC|230	847.6567	ALDOC|230	6153.8612
ALG10B|144245	18.7894	ALG10B|144245	267.3683
ALG10|84920	137.077	ALG10|84920	113.1924
ALG11|440138	18.3623	ALG11|440138	12.1975
ALG12|79087	360.8413	ALG12|79087	489.36199999999997
ALG13|79868	184.4774	ALG13|79868	443.9874
ALG14|199857	118.7146	ALG14|199857	298.1059
ALG1L|200810	11.0857	lowly_expressed	lowly_expressed
ALG1|56052	583.696	ALG1|56052	487.6153
ALG2|85365	646.9521	ALG2|85365	780.6373
ALG3|10195	1629.5505	ALG3|10195	575.2321
ALG5|29880	537.2051	ALG5|29880	642.5621
ALG6|29929	301.0569	ALG6|29929	242.9733
ALG8|79053	2259.8484	ALG8|79053	915.2972
