gene_id	TCGA-BH-A0C3-01A-21R-A12P-07	gene_id	TCGA-BH-A0C3-11A-23R-A12P-07
AHCYL2|23382	629.0186	AHCYL2|23382	634.4521
AHCY|191	2873.5195	AHCY|191	3640.5176
AHDC1|27245	700.0846	AHDC1|27245	1581.8844
AHI1|54806	286.379	AHI1|54806	586.7368
AHNAK2|113146	1288.9171	AHNAK2|113146	1254.3469
AHNAK|79026	51612.0981	AHNAK|79026	81711.2818
AHRR|57491	72.758	AHRR|57491	103.9224
AHR|196	2217.4281	AHR|196	3077.2341
AHSA1|10598	1500.423	AHSA1|10598	1357.0562
AHSA2|130872	446.2775	AHSA2|130872	1116.4577
AIDA|64853	1289.9069	AIDA|64853	790.9867
AIF1L|83543	993.2318	AIF1L|83543	2307.319
AIF1|199	450.9306	AIF1|199	310.554
AIFM1|9131	1185.7022	AIFM1|9131	539.8302
AIFM2|84883	751.269	AIFM2|84883	403.5584
lowly_expressed	lowly_expressed	AIFM3|150209	7.0481
AIG1|51390	343.0626	AIG1|51390	685.4023
AIM1L|55057	30.8799	lowly_expressed	lowly_expressed
AIM1|202	1520.7276	AIM1|202	3119.2883
AIM2|9447	20.7276	AIM2|9447	9.3004
AIMP1|9255	880.8926	AIMP1|9255	1114.0315
AIMP2|7965	312.978	AIMP2|7965	235.5762
AIP|9049	712.3519	AIP|9049	678.5281
AJAP1|55966	21.9966	AJAP1|55966	21.0271
AK1|203	505.0761	AK1|203	295.188
AK2|204	2038.4941	AK2|204	2448.8476
AK3L1|205	240.2707	AK3L1|205	372.4222
AK3|50808	1668.3587	AK3|50808	1598.059
AK5|26289	19.8816	AK5|26289	905.7825
AK7|122481	8.8832	AK7|122481	45.6935
AKAP10|11216	906.9374	AKAP10|11216	539.0214
AKAP11|11215	2148.9002	AKAP11|11215	2181.5609
AKAP12|9590	2922.1658	AKAP12|9590	1279.0133
AKAP13|11214	3769.4585	AKAP13|11214	5339.2641
AKAP1|8165	2406.5144	AKAP1|8165	2725.0303
AKAP2|11217	1159.0525	AKAP2|11217	1003.9507
AKAP3|10566	25.3807	AKAP3|10566	54.9939
AKAP5|9495	343.9086	AKAP5|9495	91.387
AKAP6|9472	62.6058	AKAP6|9472	368.7829
AKAP7|9465	133.2487	AKAP7|9465	200.5661
AKAP8L|26993	897.2081	AKAP8L|26993	726.2434
AKAP8|10270	617.1743	AKAP8|10270	662.3534
AKAP9|10142	3739.0017	AKAP9|10142	3793.7727
AKD1|221264	77.8342	AKD1|221264	179.9434
AKIRIN1|79647	1244.5008	AKIRIN1|79647	826.1221
AKIRIN2|55122	429.357	AKIRIN2|55122	652.2442
AKNA|80709	1039.7631	AKNA|80709	970.4812
AKR1A1|10327	1892.132	AKR1A1|10327	1928.8314
AKR1B10|57016	19.8816	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	49.7372
AKR1B1|231	704.7377	AKR1B1|231	824.5047
AKR1C1|1645	636.6328	AKR1C1|1645	289.5835
AKR1C2|1646	934.4332	AKR1C2|1646	189.6482
AKR1C3|8644	870.1354	AKR1C3|8644	504.2459
lowly_expressed	lowly_expressed	AKR1D1|6718	7.2786
AKR1E2|83592	16.0745	AKR1E2|83592	40.3801
AKR7A2|8574	1347.2927	AKR7A2|8574	854.0235
AKR7A3|22977	1208.5448	AKR7A3|22977	63.4856
AKR7L|246181	42.7242	AKR7L|246181	19.0053
AKT1S1|84335	1032.9949	AKT1S1|84335	779.2155
AKT1|207	3804.1455	AKT1|207	2651.4355
AKT2|208	3250.0	AKT2|208	2146.3809
AKT3|10000	934.4332	AKT3|10000	919.1266
AKTIP|64400	600.0677	AKTIP|64400	594.1165
ALAD|210	965.7360000000001	ALAD|210	1622.3211
ALAS1|211	773.2657	ALAS1|211	727.0522
ALB|213	6.3452	ALB|213	48.5241
ALCAM|214	4206.4298	ALCAM|214	3862.5152
ALDH16A1|126133	415.3976	ALDH16A1|126133	306.1059
ALDH18A1|5832	2406.0914	ALDH18A1|5832	1701.1727
ALDH1A1|216	1373.9425	ALDH1A1|216	1472.7052
ALDH1A2|8854	129.8646	ALDH1A2|8854	356.6518
ALDH1A3|220	400.7064	ALDH1A3|220	1556.1221
ALDH1B1|219	656.5144	ALDH1B1|219	426.20300000000003
ALDH1L1|10840	836.2944	ALDH1L1|10840	219.5714
ALDH1L2|160428	602.7919	ALDH1L2|160428	387.3837
ALDH2|217	6717.0051	ALDH2|217	2274.5653
ALDH3A1|218	8.0372	ALDH3A1|218	59.8463
ALDH3A2|224	7958.1218	ALDH3A2|224	1771.5326
ALDH3B1|221	167.5127	ALDH3B1|221	182.774
ALDH3B2|222	9.3063	ALDH3B2|222	1840.275
ALDH4A1|8659	716.5821	ALDH4A1|8659	417.3069
ALDH5A1|7915	480.1184	ALDH5A1|7915	787.3029
ALDH6A1|4329	989.8689	ALDH6A1|4329	648.5645
ALDH7A1|501	1313.0288	ALDH7A1|501	2789.7291
ALDH8A1|64577	12.6904	ALDH8A1|64577	21.8358
ALDH9A1|223	3253.3841	ALDH9A1|223	3379.2964
ALDOA|226	34362.5212	ALDOA|226	12635.2608
ALDOC|230	469.5431	ALDOC|230	1084.1084
ALG10B|144245	383.6717	ALG10B|144245	391.023
ALG10|84920	183.1641	ALG10|84920	114.4359
ALG11|440138	29.6108	ALG11|440138	14.5572
ALG12|79087	391.709	ALG12|79087	570.9664
ALG13|79868	464.04400000000004	ALG13|79868	654.2661
ALG14|199857	259.3063	ALG14|199857	169.4298
ALG1L|200810	6.6371	ALG1L|200810	8.2046
ALG1|56052	1247.8088	ALG1|56052	428.8799
ALG2|85365	554.5685	ALG2|85365	831.7833
ALG3|10195	997.4619	ALG3|10195	595.6328
ALG5|29880	747.8849	ALG5|29880	525.6773
ALG6|29929	319.797	ALG6|29929	266.478
ALG8|79053	12362.5212	ALG8|79053	667.6102
ALG9|79796	498.7775	ALG9|79796	697.1289999999999
ALKBH1|8846	282.5719	ALKBH1|8846	241.4072
ALKBH2|121642	181.8951	ALKBH2|121642	359.07800000000003
ALKBH3|221120	214.467	ALKBH3|221120	374.0396
ALKBH4|54784	175.9222	ALKBH4|54784	225.7744
ALKBH5|54890	1703.2910000000002	ALKBH5|54890	1974.3106
ALKBH6|84964	121.4044	ALKBH6|84964	76.4254
ALKBH7|84266	350.6768	ALKBH7|84266	472.7052
ALKBH8|91801	195.0085	ALKBH8|91801	331.1767
ALK|238	11.4213	ALK|238	8.0873
lowly_expressed	lowly_expressed	ALMS1P|200420	7.2786
ALMS1|7840	1085.8714	ALMS1|7840	964.0113
lowly_expressed	lowly_expressed	ALOX12B|242	5.6611
lowly_expressed	lowly_expressed	ALOX12P2|245	30.7319
