gene_id	TCGA-E9-A1RF-01A-11R-A157-07	gene_id	TCGA-E9-A1RF-11A-32R-A157-07
AHCYL1|10768	3416.2975	AHCYL1|10768	6048.9567
AHCYL2|23382	612.3327	AHCYL2|23382	949.8395
AHCY|191	6636.6758	removed	removed
AHDC1|27245	427.3358	AHDC1|27245	354.3339
AHI1|54806	287.7349	AHI1|54806	504.4141
AHNAK2|113146	2215.1834	AHNAK2|113146	2574.2376
AHNAK|79026	21107.7282	AHNAK|79026	222896.87
AHRR|57491	32.767	AHRR|57491	6.4205
AHR|196	1141.0413	AHR|196	2431.3804
AHSA1|10598	2117.9065	removed	removed
AHSA2|130872	324.9391	AHSA2|130872	335.4735
removed	removed	AICDA|57379	5.618
AIDA|64853	1966.0657	AIDA|64853	2941.0433
AIF1L|83543	386.0358	AIF1L|83543	2034.1091
AIF1|199	569.6673	AIF1|199	555.3772
AIFM1|9131	1267.672	AIFM1|9131	847.9133
AIFM2|84883	189.7753	AIFM2|84883	3507.2231
AIFM3|150209	57.9054	removed	removed
AIG1|51390	456.6896	AIG1|51390	1440.61
AIM1L|55057	11.2636	removed	removed
AIM1|202	4677.4843	AIM1|202	2812.6003
AIM2|9447	32.4256	AIM2|9447	11.236
AIMP1|9255	1087.2591	AIMP1|9255	1003.3106
AIMP2|7965	584.8767	AIMP2|7965	312.488
AIP|9049	1230.1265	AIP|9049	396.4687
AJAP1|55966	21.8446	AJAP1|55966	13.2424
AK1|203	430.4077	AK1|203	461.0754
AK2|204	1606.9466	AK2|204	2089.0851
AK3L1|205	104.4447	AK3L1|205	1117.175
AK3|50808	1188.1438	AK3|50808	4184.5907
AK5|26289	175.7811	AK5|26289	6.8218
AK7|122481	23.8926	removed	removed
AKAP10|11216	409.9284	AKAP10|11216	672.9535
AKAP11|11215	1083.6991	AKAP11|11215	2925.3612
AKAP12|9590	801.7667	AKAP12|9590	11963.0819
AKAP13|11214	5323.6079	AKAP13|11214	4892.4559
AKAP1|8165	2635.0101	AKAP1|8165	2721.5088
AKAP2|11217	452.3411	AKAP2|11217	2738.8925
AKAP3|10566	32.0843	AKAP3|10566	46.9502
AKAP5|9495	98.9835	AKAP5|9495	30.8989
AKAP6|9472	45.0546	AKAP6|9472	77.4478
AKAP7|9465	68.6058	AKAP7|9465	402.488
AKAP8L|26993	784.3592	AKAP8L|26993	320.626
