gene_id	TCGA-BH-A0BJ-01A-11R-A056-07	gene_id	TCGA-BH-A0BJ-11A-23R-A089-07
AIFM1|9131	1189.2764	AIFM1|9131	668.3007
AIFM2|84883	231.6865	AIFM2|84883	303.1046
AIFM3|150209	25.2667	AIFM3|150209	6.1275
AIG1|51390	486.3265	AIG1|51390	775.7353
AIM1|202	1312.2927	AIM1|202	3897.8758
AIMP1|9255	882.5105	AIMP1|9255	1203.5172
AIMP2|7965	435.8863	AIMP2|7965	279.7181
AIP|9049	712.6334	AIP|9049	736.9281
lowly_expressed	lowly_expressed	AJAP1|55966	26.1438
AK1|203	562.3599	AK1|203	323.9379
AK2|204	2457.0967	AK2|204	1896.6503
AK3L1|205	307.3612	AK3L1|205	524.1013
AK3|50808	1266.7444	AK3|50808	1665.8497
AK5|26289	500.3138	AK5|26289	2717.7288
AK7|122481	6.8143	AK7|122481	31.8627
AKAP10|11216	539.0478	AKAP10|11216	608.6601
AKAP11|11215	1585.2237	AKAP11|11215	1791.2582
AKAP12|9590	1044.024	AKAP12|9590	2240.1961
AKAP13|11214	3790.191	AKAP13|11214	5657.6797
AKAP1|8165	893.0333	AKAP1|8165	2438.317
AKAP2|11217	585.3851	AKAP2|11217	1204.1503
AKAP3|10566	12.194	AKAP3|10566	64.951
AKAP5|9495	244.5979	AKAP5|9495	177.2876
AKAP6|9472	139.1554	AKAP6|9472	356.6176
AKAP7|9465	110.8222	AKAP7|9465	238.1536
AKAP8L|26993	706.1777	AKAP8L|26993	941.585
AKAP8|10270	538.3305	AKAP8|10270	738.1536
AKAP9|10142	5682.0586	AKAP9|10142	3446.8954
AKD1|221264	179.3239	AKD1|221264	177.6961
AKIRIN1|79647	1297.9467	AKIRIN1|79647	1306.3725
AKIRIN2|55122	511.4319	AKIRIN2|55122	825.9804
AKNA|80709	610.0601	AKNA|80709	638.4804
AKR1A1|10327	2342.3294	AKR1A1|10327	1352.5327
lowly_expressed	lowly_expressed	AKR1B10|57016	177.2876
AKR1B1|231	707.2537	AKR1B1|231	831.2908
AKR1C1|1645	104.0079	AKR1C1|1645	876.6339999999999
AKR1C2|1646	117.9952	AKR1C2|1646	249.183
AKR1C3|8644	577.7818	AKR1C3|8644	804.3301
AKR1E2|83592	43.755	AKR1E2|83592	32.2712
AKR7A2|8574	1317.3137	AKR7A2|8574	875.817
AKR7A3|22977	292.298	AKR7A3|22977	118.0556
AKR7L|246181	19.7256	AKR7L|246181	16.3399
AKT1S1|84335	1333.4529	AKT1S1|84335	629.9019999999999
AKT1|207	2977.4948	AKT1|207	2822.7124
AKT2|208	2699.1841	AKT2|208	1670.3431
AKT3|10000	574.9126	AKT3|10000	1189.134
AKTIP|64400	598.2713	AKTIP|64400	561.6789
ALAD|210	1414.5073	ALAD|210	2097.2222
ALAS1|211	751.7260000000001	ALAS1|211	1022.4673
lowly_expressed	lowly_expressed	ALAS2|212	7.3529
lowly_expressed	lowly_expressed	ALB|213	61.2745
ALCAM|214	3016.5875	ALCAM|214	3069.0359
ALDH16A1|126133	1344.5710000000001	ALDH16A1|126133	409.7222
ALDH18A1|5832	2581.5476	ALDH18A1|5832	1904.0033
ALDH1A1|216	437.5504	ALDH1A1|216	1178.5131
ALDH1A2|8854	46.2656	ALDH1A2|8854	141.3399
ALDH1A3|220	551.1665	ALDH1A3|220	3535.098
ALDH1B1|219	998.8344	ALDH1B1|219	645.8333
ALDH1L1|10840	40.8859	ALDH1L1|10840	46.9771
ALDH1L2|160428	408.8586	ALDH1L2|160428	283.0882
ALDH2|217	1543.2619	ALDH2|217	1824.3464
lowly_expressed	lowly_expressed	ALDH3A1|218	205.4739
ALDH3A2|224	1562.2702	ALDH3A2|224	1581.6993
ALDH3B1|221	199.4082	ALDH3B1|221	121.73200000000001
ALDH3B2|222	1684.2105	ALDH3B2|222	854.9837
ALDH4A1|8659	522.55	ALDH4A1|8659	499.18300000000005
ALDH5A1|7915	716.2199	ALDH5A1|7915	714.4608
ALDH6A1|4329	421.0957	ALDH6A1|4329	428.2639
ALDH7A1|501	1768.1341	ALDH7A1|501	3454.2484
lowly_expressed	lowly_expressed	ALDH8A1|64577	17.1569
ALDH9A1|223	4431.4534	ALDH9A1|223	3937.0915
ALDOA|226	19873.3973	ALDOA|226	9905.2288
ALDOC|230	87.8687	ALDOC|230	665.4412
ALG10B|144245	298.3951	ALG10B|144245	270.8333
ALG10|84920	128.7546	ALG10|84920	88.2353
ALG11|440138	5.3797	ALG11|440138	12.6634
ALG12|79087	480.9468	ALG12|79087	353.7582
ALG13|79868	344.6606	ALG13|79868	463.2353
ALG14|199857	162.1088	ALG14|199857	167.0752
ALG1L|200810	14.0626	ALG1L|200810	12.5163
ALG1|56052	605.1609	ALG1|56052	404.5711
ALG2|85365	899.4889	ALG2|85365	942.4019999999999
ALG3|10195	640.1865	ALG3|10195	435.4575
