gene_id	TCGA-BH-A0AZ-01A-21R-A12P-07	gene_id	TCGA-BH-A0AZ-11A-22R-A12P-07
ALDH1A2|8854	215.6205	ALDH1A2|8854	1052.5032
ALDH1A3|220	791.8687	ALDH1A3|220	1236.3728
ALDH1B1|219	1409.6789999999999	ALDH1B1|219	389.8499
ALDH1L1|10840	42.1658	ALDH1L1|10840	62.7905
ALDH1L2|160428	1944.4178	ALDH1L2|160428	554.1416
ALDH2|217	1727.839	ALDH2|217	1683.4565
lowly_expressed	lowly_expressed	ALDH3A1|218	44.8068
ALDH3A2|224	1314.3268	ALDH3A2|224	2655.4904
ALDH3B1|221	289.4106	ALDH3B1|221	139.6022
ALDH3B2|222	376.13800000000003	ALDH3B2|222	1566.7149
ALDH4A1|8659	306.6603	ALDH4A1|8659	773.9084
ALDH5A1|7915	685.6732	ALDH5A1|7915	669.3591
ALDH6A1|4329	228.7398	ALDH6A1|4329	799.6373
ALDH7A1|501	2476.2817	ALDH7A1|501	4736.1122
ALDH8A1|64577	26.8328	ALDH8A1|64577	27.4328
ALDH9A1|223	4506.4686	ALDH9A1|223	3330.0312
ALDOA|226	28943.9387	ALDOA|226	10317.1531
ALDOB|229	6.229	lowly_expressed	lowly_expressed
ALDOC|230	379.4921	ALDOC|230	483.426
ALG10B|144245	266.4111	ALG10B|144245	529.4521
ALG10|84920	82.4149	ALG10|84920	148.1369
ALG11|440138	11.0206	ALG11|440138	11.8875
ALG12|79087	906.0853	ALG12|79087	447.4587
ALG13|79868	543.8428	ALG13|79868	611.4456
ALG14|199857	186.392	ALG14|199857	128.3243
lowly_expressed	lowly_expressed	ALG1L|200810	8.0957
ALG1|56052	663.6703	ALG1|56052	390.6028
ALG2|85365	1277.4317	ALG2|85365	687.038
ALG3|10195	1099.6646	ALG3|10195	391.9835
ALG5|29880	524.6766	ALG5|29880	504.7626
ALG6|29929	362.2425	ALG6|29929	298.7122
ALG8|79053	1024.9161	ALG8|79053	552.3127
ALG9|79796	453.7614	ALG9|79796	471.8433
ALKBH1|8846	207.4748	ALKBH1|8846	286.5199
ALKBH2|121642	222.8079	ALKBH2|121642	230.7399
ALKBH3|221120	298.5146	ALKBH3|221120	356.9306
ALKBH4|54784	168.1552	ALKBH4|54784	209.8575
ALKBH5|54890	2967.3886	ALKBH5|54890	1991.8281
ALKBH6|84964	104.4562	ALKBH6|84964	61.8761
