gene_id	TCGA-BH-A0BW-01A-11R-A115-07	gene_id	TCGA-BH-A0BW-11A-12R-A115-07
AIM1L|55057	13.633	AIM1L|55057	6.0354
AIM1|202	1942.1518	AIM1|202	4035.0872
AIM2|9447	267.5018	AIM2|9447	150.8847
AIMP1|9255	2810.5158	AIMP1|9255	1103.8679
AIMP2|7965	230.1842	AIMP2|7965	238.2081
AIP|9049	466.1017	AIP|9049	748.8191
lowly_expressed	lowly_expressed	AJAP1|55966	15.5196
AK1|203	401.6212	AK1|203	347.8969
AK2|204	2413.4119	AK2|204	2058.0669
AK3L1|205	237.6566	AK3L1|205	364.2787
AK3|50808	858.143	AK3|50808	1815.7892
lowly_expressed	lowly_expressed	AK5|26289	596.6411
AK7|122481	11.0538	AK7|122481	12.933
AKAP10|11216	577.0081	AKAP10|11216	641.9065
AKAP11|11215	2042.3729	AKAP11|11215	2490.8903
AKAP12|9590	161.3854	AKAP12|9590	1926.1506
AKAP13|11214	6272.2918	AKAP13|11214	6436.74
AKAP1|8165	2616.0648	AKAP1|8165	2057.2047
AKAP2|11217	808.2167	AKAP2|11217	1838.5728
lowly_expressed	lowly_expressed	AKAP3|10566	18.1062
AKAP5|9495	287.0302	AKAP5|9495	160.7999
AKAP6|9472	155.4901	AKAP6|9472	153.4713
AKAP7|9465	183.8615	AKAP7|9465	220.7227
AKAP8L|26993	365.5122	AKAP8L|26993	703.1226
AKAP8|10270	410.4643	AKAP8|10270	780.7204
AKAP9|10142	4399.4105	AKAP9|10142	3097.8778
AKD1|221264	113.1172	AKD1|221264	128.8986
AKIRIN1|79647	1824.6131	AKIRIN1|79647	1368.7395
AKIRIN2|55122	492.2623	AKIRIN2|55122	863.4914
AKNA|80709	1221.8128	AKNA|80709	2667.641
AKR1A1|10327	776.3449	AKR1A1|10327	1606.7062
lowly_expressed	lowly_expressed	AKR1B10|57016	14.6574
AKR1B15|441282	36.4775	lowly_expressed	lowly_expressed
AKR1B1|231	458.36400000000003	AKR1B1|231	1210.9572
AKR1C1|1645	252.1113	AKR1C1|1645	314.7023
AKR1C2|1646	220.33900000000003	AKR1C2|1646	319.0133
AKR1C3|8644	1126.3817	AKR1C3|8644	475.9334
AKR1E2|83592	72.8703	AKR1E2|83592	34.4879
AKR7A2|8574	585.8511	AKR7A2|8574	566.4642
lowly_expressed	lowly_expressed	AKR7A3|22977	11.6397
lowly_expressed	lowly_expressed	AKR7L|246181	14.2263
AKT1S1|84335	952.8371	AKT1S1|84335	577.2416
AKT1|207	1955.0479	AKT1|207	2477.0952
AKT2|208	1621.9602	AKT2|208	1914.0798
AKT3|10000	9659.9116	AKT3|10000	1494.1893
AKTIP|64400	903.3419	AKTIP|64400	516.78
ALAD|210	1258.2903	ALAD|210	1228.6323
ALAS1|211	1164.7015	ALAS1|211	944.1069
lowly_expressed	lowly_expressed	ALB|213	403.9398
ALCAM|214	3262.3434	ALCAM|214	2076.173
ALDH16A1|126133	452.4687	ALDH16A1|126133	592.3301
ALDH18A1|5832	2266.028	ALDH18A1|5832	1793.8032
ALDH1A1|216	206.706	ALDH1A1|216	1397.6231
lowly_expressed	lowly_expressed	ALDH1A2|8854	130.1919
ALDH1A3|220	891.6802	ALDH1A3|220	3424.0086
ALDH1B1|219	1050.1105	ALDH1B1|219	497.4883
lowly_expressed	lowly_expressed	ALDH1L1|10840	100.8772
ALDH1L2|160428	190.4937	ALDH1L2|160428	227.6203
ALDH2|217	3256.448	ALDH2|217	1868.3833
lowly_expressed	lowly_expressed	ALDH3A1|218	28.4525
ALDH3A2|224	1812.0855	ALDH3A2|224	1442.8885
ALDH3B1|221	376.1975	ALDH3B1|221	309.9602
ALDH3B2|222	83.6404	ALDH3B2|222	665.1858
ALDH4A1|8659	172.0707	ALDH4A1|8659	400.0599
ALDH5A1|7915	1310.2432	ALDH5A1|7915	676.8255
ALDH6A1|4329	167.2144	ALDH6A1|4329	276.2181
ALDH7A1|501	1617.1702	ALDH7A1|501	1682.5796
lowly_expressed	lowly_expressed	ALDH8A1|64577	22.4172
ALDH9A1|223	6707.8113	ALDH9A1|223	2812.4902
ALDOA|226	12367.3545	ALDOA|226	8878.0539
ALDOC|230	65.2174	ALDOC|230	564.3087
ALG10B|144245	221.4444	ALG10B|144245	505.6792
ALG10|84920	123.0656	ALG10|84920	150.8847
ALG11|440138	32.056	ALG11|440138	11.6397
ALG12|79087	766.3965	ALG12|79087	394.0245
ALG13|79868	511.0538	ALG13|79868	517.75
ALG14|199857	70.3758	ALG14|199857	114.2412
ALG1|56052	345.3721	ALG1|56052	417.9548
ALG2|85365	907.885	ALG2|85365	870.3889999999999
ALG3|10195	781.8718	ALG3|10195	484.1242
ALG5|29880	424.4657	ALG5|29880	547.0647
ALG6|29929	643.3309	ALG6|29929	358.2433
ALG8|79053	585.4827	ALG8|79053	527.2341
ALG9|79796	482.6824	ALG9|79796	528.0963
ALKBH1|8846	115.6964	ALKBH1|8846	197.8745
ALKBH2|121642	165.4385	ALKBH2|121642	295.73400000000004
ALKBH3|221120	125.6448	ALKBH3|221120	287.5431
ALKBH4|54784	154.4842	ALKBH4|54784	178.7466
ALKBH5|54890	1429.2189	ALKBH5|54890	1813.0173
ALKBH6|84964	76.2712	ALKBH6|84964	61.6472
ALKBH7|84266	91.7465	ALKBH7|84266	240.5533
ALKBH8|91801	293.29400000000004	ALKBH8|91801	315.9956
lowly_expressed	lowly_expressed	ALK|238	8.622
ALMS1P|200420	8.843	ALMS1P|200420	8.1909
ALMS1|7840	1796.6102	ALMS1|7840	983.3369
