gene_id	TCGA-A7-A13G-01A-11R-A13Q-07	gene_id	TCGA-A7-A13G-11A-51R-A13Q-07
lowly_expressed	lowly_expressed	ALAS2|212	27.2468
ALB|213	5.9191	ALB|213	6.1
ALCAM|214	3863.0524	ALCAM|214	195.2013
ALDH16A1|126133	474.0701	ALDH16A1|126133	233.0216
ALDH18A1|5832	3192.3051	ALDH18A1|5832	651.891
ALDH1A1|216	111.3876	ALDH1A1|216	4686.8646
ALDH1A2|8854	6.7263	ALDH1A2|8854	174.0545
ALDH1A3|220	165.1497	ALDH1A3|220	476.2993
ALDH1B1|219	642.7659	ALDH1B1|219	789.7519
ALDH1L1|10840	18.2956	ALDH1L1|10840	5938.1863
ALDH1L2|160428	323.9389	ALDH1L2|160428	751.525
ALDH2|217	449.3173	ALDH2|217	25318.4221
ALDH3A2|224	1502.3878	ALDH3A2|224	4563.2371
ALDH3B1|221	61.3439	ALDH3B1|221	177.3078
ALDH3B2|222	956.7498	lowly_expressed	lowly_expressed
ALDH4A1|8659	693.0786	ALDH4A1|8659	2140.7076
ALDH5A1|7915	235.1517	ALDH5A1|7915	1318.4221
ALDH6A1|4329	1004.5604	ALDH6A1|4329	4906.0675
ALDH7A1|501	1700.9484	ALDH7A1|501	2144.7743
ALDH8A1|64577	36.8602	ALDH8A1|64577	6.1
ALDH9A1|223	5558.8888	ALDH9A1|223	9063.0338
ALDOA|226	51835.070999999996	ALDOA|226	15192.3546
lowly_expressed	lowly_expressed	ALDOB|229	11.3867
ALDOC|230	35.2458	ALDOC|230	4450.183
ALG10B|144245	474.6082	ALG10B|144245	401.3827
ALG10|84920	132.9118	ALG10|84920	102.4807
ALG11|440138	22.8694	ALG11|440138	13.0134
ALG12|79087	816.3046	ALG12|79087	339.1623
ALG13|79868	781.0587	ALG13|79868	547.7837
ALG14|199857	325.5532	ALG14|199857	257.015
ALG1|56052	1039.8063	ALG1|56052	359.5364
ALG2|85365	1092.3522	ALG2|85365	657.9911
ALG3|10195	675.3212	ALG3|10195	435.1362
ALG5|29880	775.4086	ALG5|29880	616.5108
ALG6|29929	683.1237	ALG6|29929	217.5681
ALG8|79053	1251.3621	ALG8|79053	810.0854
ALG9|79796	565.5479	ALG9|79796	977.2265
ALKBH1|8846	243.2232	ALKBH1|8846	201.3013
