gene_id	TCGA-A7-A0D9-01A-31R-A056-07	gene_id	TCGA-A7-A0D9-11A-53R-A089-07
ADAMTSL4|54507	97.571	ADAMTSL4|54507	1520.8758
ADAMTSL5|339366	187.7316	ADAMTSL5|339366	17.8208
ADAP1|11033	593.0424	ADAP1|11033	112.0978
ADAP2|55803	198.0239	ADAP2|55803	437.3727
ADARB1|104	687.5257	ADARB1|104	839.613
ADAR|103	6166.7353	ADAR|103	4862.5255
ADAT1|23536	328.1186	ADAT1|23536	367.1079
ADAT2|134637	77.3981	ADAT2|134637	89.613
ADAT3|113179	22.6431	ADAT3|113179	11.7108
ADA|100	93.8658	ADA|100	204.1752
ADCK1|57143	232.606	ADCK1|57143	192.9735
ADCK2|90956	1226.0189	ADCK2|90956	487.2709
ADCK4|79934	401.3998	ADCK4|79934	394.0937
ADCK5|203054	577.604	ADCK5|203054	53.4623
ADCY10|55811	14.4092	lowly_expressed	lowly_expressed
ADCY1|107	1192.6719	ADCY1|107	126.2729
ADCY2|108	9.0572	ADCY2|108	74.3381
ADCY3|109	1177.9909	ADCY3|109	1461.5224
ADCY4|196883	97.571	ADCY4|196883	618.1263
ADCY5|111	620.4199	ADCY5|111	750
ADCY6|112	3748.0445	ADCY6|112	5815.1731
ADCY7|113	1086.867	ADCY7|113	1223.5234
ADCY9|115	881.4327	ADCY9|115	622.7088
lowly_expressed	lowly_expressed	ADCYAP1R1|117	102.3422
lowly_expressed	lowly_expressed	ADCYAP1|116	5.6008
ADC|113451	135.4467	ADC|113451	42.2607
ADD1|118	4760.3952	ADD1|118	10002.0367
ADD2|119	22.6431	ADD2|119	47.3523
ADD3|120	531.4944	ADD3|120	3647.6578
ADH1A|124	11.1157	ADH1A|124	577.3269
ADH1B|125	1988.8843	ADH1B|125	63057.0265
ADH1C|126	81.9267	ADH1C|126	1068.2281
lowly_expressed	lowly_expressed	ADH4|127	5.6008
ADH5|128	1538.0815	ADH5|128	5575.3564
lowly_expressed	lowly_expressed	ADH6|130	5.6008
ADH7|131	148.6208	ADH7|131	48.3707
ADHFE1|137872	328.942	ADHFE1|137872	574.3381
ADI1|55256	1466.4471	ADI1|55256	2865.0713
ADIPOQ|9370	1649.6501	ADIPOQ|9370	121017.3116
ADIPOR1|51094	3824.2075	ADIPOR1|51094	2640.5295
ADIPOR2|79602	1728.2832	ADIPOR2|79602	6664.9695
ADK|132	453.6846	ADK|132	532.5866
ADM2|79924	228.9008	lowly_expressed	lowly_expressed
ADM|133	81.515	ADM|133	1582.9939
ADNP2|22850	473.4459	ADNP2|22850	568.7373
ADNP|23394	5376.6982	ADNP|23394	1957.7393
ADORA1|134	58.872	ADORA1|134	214.8676
ADORA2A|135	128.0362	ADORA2A|135	37.169
ADORA2B|136	37.8757	ADORA2B|136	28.0041
ADORA3|140	86.4553	ADORA3|140	90.1222
ADO|84890	890.0782	ADO|84890	483.7067
ADPGK|83440	4121.0251	ADPGK|83440	754.5825
ADPRHL1|113622	111.1569	ADPRHL1|113622	48.8798
ADPRHL2|54936	548.3738	ADPRHL2|54936	387.9837
ADPRH|141	89.7489	ADPRH|141	488.7984
lowly_expressed	lowly_expressed	ADRA1A|148	92.1589
ADRA1B|147	18.1145	ADRA1B|147	87.0672
ADRA1D|146	11.5274	lowly_expressed	lowly_expressed
ADRA2A|150	156.0313	ADRA2A|150	3266.2933
ADRA2B|151	18.9378	ADRA2B|151	58.554
ADRA2C|152	466.0354	ADRA2C|152	79.4297
lowly_expressed	lowly_expressed	ADRB1|153	145.112
ADRB2|154	17.7028	ADRB2|154	486.2525
lowly_expressed	lowly_expressed	ADRB3|155	67.2098
ADRBK1|156	1829.1478	ADRBK1|156	1272.4033
ADRBK2|157	809.3866	ADRBK2|157	5116.5988
ADRM1|11047	3076.9864	ADRM1|11047	1050.4073
ADSL|158	864.1416	ADSL|158	658.3503
ADSSL1|122622	92.219	ADSSL1|122622	342.1589
ADSS|159	1715.1091	ADSS|159	616.5988
AEBP1|165	12229.7242	AEBP1|165	7876.2729
AEBP2|121536	524.4957	AEBP2|121536	515.2749
AEN|64782	440.9222	AEN|64782	160.8961
AES|166	4122.6842	AES|166	5755.6008
AFAP1L1|134265	208.7279	AFAP1L1|134265	966.9043
AFAP1L2|84632	368.4644	AFAP1L2|84632	417.0061
AFAP1|60312	1309.1725	AFAP1|60312	1504.5621
AFARP1|246182	5.352	AFARP1|246182	7.6375
AFF1|4299	1570.6052	AFF1|4299	3957.7393
AFF2|2334	20.9963	AFF2|2334	206.721
AFF3|3899	9164.2651	AFF3|3899	863.0346
AFF4|27125	3788.802	AFF4|27125	2791.2424
AFG3L1|172	442.569	AFG3L1|172	147.1487
AFG3L2|10939	1874.3269	AFG3L2|10939	1174.2872
AFMID|125061	311.6509	AFMID|125061	231.1609
AFTPH|54812	3381.2268	AFTPH|54812	930.7536
AG2|387763	63.4006	AG2|387763	586.0489
AGAP11|119385	143.734	AGAP11|119385	339.109
AGAP1|116987	680.9387	AGAP1|116987	392.057
AGAP2|116986	63.0918	AGAP2|116986	70.6365
AGAP3|116988	2328.5303	AGAP3|116988	851.3238
AGAP4|119016	254.014	AGAP4|119016	152.2403
AGAP5|729092	36.6077	AGAP5|729092	14.2566
AGAP6|414189	173.734	AGAP6|414189	69.7556
AGAP7|653268	20.5846	lowly_expressed	lowly_expressed
AGAP8|728404	24.7015	AGAP8|728404	25.9674
AGA|175	482.0914	AGA|175	471.4868
AGBL2|79841	17.2911	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AGBL3|340351	9.165
AGBL4|84871	13.9975	lowly_expressed	lowly_expressed
AGBL5|60509	650.0618	AGBL5|60509	652.2607
AGER|177	33.7587	AGER|177	28.5132
AGFG1|3267	2268.8349	AGFG1|3267	3210.2851
AGFG2|3268	669.4113	AGFG2|3268	394.0937
AGGF1|55109	1261.4245	AGGF1|55109	965.3768
AGK|55750	1157.6781	AGK|55750	456.721
AGL|178	2742.2808	AGL|178	1876.7821
AGMAT|79814	47.3446	lowly_expressed	lowly_expressed
AGPAT1|10554	1578.3779	AGPAT1|10554	1584.3075
AGPAT2|10555	450.3911	AGPAT2|10555	12525.9674
AGPAT3|56894	2152.7378	AGPAT3|56894	2937.8819
AGPAT4|56895	159.7365	AGPAT4|56895	266.8024
AGPAT5|55326	735.6937	AGPAT5|55326	272.4033
AGPAT6|137964	32130.5064	AGPAT6|137964	1851.833
AGPAT9|84803	115.2738	AGPAT9|84803	105.9063
AGPHD1|123688	527.3775	AGPHD1|123688	106.4155
AGPS|8540	1659.119	AGPS|8540	1760.6925
AGR2|10551	2647.5916	AGR2|10551	61.609
AGR3|155465	34.9938	lowly_expressed	lowly_expressed
AGRN|375790	8039.1107	AGRN|375790	776.4766
AGTPBP1|23287	480.4446	AGTPBP1|23287	581.4664
AGTR1|185	30.8769	AGTR1|185	1206.2118
AGTRAP|57085	553.3141	AGTRAP|57085	403.2587
AGT|183	92.6307	AGT|183	88.0855
AGXT2L2|85007	406.4389	AGXT2L2|85007	902.0876
AGXT|189	39.5224	lowly_expressed	lowly_expressed
AHCTF1|25909	2370.9345	AHCTF1|25909	1870.6721
AHCYL1|10768	4291.478	AHCYL1|10768	6849.2872
AHCYL2|23382	1647.5916	AHCYL2|23382	831.9756
AHCY|191	3236.7229	AHCY|191	1510.1833
AHDC1|27245	559.4895	AHDC1|27245	457.7393
AHI1|54806	637.711	AHI1|54806	365.5804
AHNAK2|113146	825.0309	AHNAK2|113146	2498.9817
AHNAK|79026	54321.9432	AHNAK|79026	240497.4542
AHRR|57491	78.6332	AHRR|57491	15.2749
AHR|196	1679.2919	AHR|196	2207.7393
AHSA1|10598	2695.7596	AHSA1|10598	1557.5356
AHSA2|130872	375.0515	AHSA2|130872	302.9532
lowly_expressed	lowly_expressed	AHSP|51327	6.11
AIDA|64853	850.634	AIDA|64853	2278.7627
AIF1L|83543	2849.3207	AIF1L|83543	2577.3931
AIF1|199	139.5636	AIF1|199	804.9898
AIFM1|9131	1383.2853	AIFM1|9131	1029.5316
AIFM2|84883	539.3166	AIFM2|84883	5123.2179
AIFM3|150209	9.4689	AIFM3|150209	5.3921
AIG1|51390	920.9551	AIG1|51390	1590.1222
AIM1L|55057	39.1107	lowly_expressed	lowly_expressed
AIM1|202	749.6912	AIM1|202	2614.053
lowly_expressed	lowly_expressed	AIM2|9447	10.6925
AIMP1|9255	1295.6525	AIMP1|9255	874.7454
AIMP2|7965	582.6966	AIMP2|7965	294.6283
AIP|9049	482.0914	AIP|9049	837.0672
AJAP1|55966	54.3434	lowly_expressed	lowly_expressed
AK1|203	367.641	AK1|203	728.6151
AK2|204	2239.1931	AK2|204	2468.4216
AK3L1|205	425.6896	AK3L1|205	886.4562
AK3|50808	1081.9267	AK3|50808	3478.6151
AK5|26289	47.7563	AK5|26289	32.0774
AK7|122481	30.0535	AK7|122481	8.6558
AKAP10|11216	1097.571	AKAP10|11216	592.1589
AKAP11|11215	1960.0659	AKAP11|11215	2151.222
AKAP12|9590	916.4265	AKAP12|9590	14489.3075
AKAP13|11214	3223.5488	AKAP13|11214	3752.5458
AKAP1|8165	605.1873	AKAP1|8165	2272.9124
AKAP2|11217	469.3866	AKAP2|11217	3284.3941
AKAP3|10566	17.7028	AKAP3|10566	62.6273
AKAP5|9495	74.1046	AKAP5|9495	16.2933
AKAP6|9472	16.056	AKAP6|9472	53.9715
AKAP7|9465	101.2762	AKAP7|9465	371.6904
AKAP8L|26993	1524.9074	AKAP8L|26993	655.2953
AKAP8|10270	729.93	AKAP8|10270	438.391
AKAP9|10142	3937.8345	AKAP9|10142	1675.1527
AKD1|221264	351.1733	AKD1|221264	127.8004
AKIRIN1|79647	1289.4195	AKIRIN1|79647	1447.0468
AKIRIN2|55122	498.5591	AKIRIN2|55122	1123.7271
AKNA|80709	265.5414	AKNA|80709	933.2994
AKR1A1|10327	959.6542	AKR1A1|10327	1317.7189
AKR1B10|57016	853.0259	AKR1B10|57016	308.0448
AKR1B15|441282	6.1754	AKR1B15|441282	55.498999999999995
AKR1B1|231	629.8888	AKR1B1|231	1203.6660000000002
AKR1C1|1645	2035.4055	AKR1C1|1645	13358.9613
AKR1C2|1646	516.2618	AKR1C2|1646	17770.3666
AKR1C3|8644	714.6974	AKR1C3|8644	5519.8574
AKR1E2|83592	18.9378	AKR1E2|83592	45.8248
AKR7A2|8574	1470.1523	AKR7A2|8574	1192.9735
AKR7A3|22977	1367.641	lowly_expressed	lowly_expressed
AKR7L|246181	58.872	lowly_expressed	lowly_expressed
AKT1S1|84335	1020.1729	AKT1S1|84335	1018.3299
AKT1|207	6481.6797	AKT1|207	3800.9165
AKT2|208	2252.3672	AKT2|208	5591.1405
AKT3|10000	349.1149	AKT3|10000	1199.0835
AKTIP|64400	808.5385	AKTIP|64400	906.1914
ALAD|210	1065.8707	ALAD|210	4832.9939
ALAS1|211	1257.7192	ALAS1|211	1323.8289
lowly_expressed	lowly_expressed	ALAS2|212	126.7821
ALB|213	5.352	lowly_expressed	lowly_expressed
ALCAM|214	10007.8221	ALCAM|214	609.9796
ALDH16A1|126133	390.6958	ALDH16A1|126133	405.8045
ALDH18A1|5832	2734.0469	ALDH18A1|5832	1275.9674
ALDH1A1|216	385.7555	ALDH1A1|216	6486.2525
ALDH1A2|8854	34.5821	ALDH1A2|8854	421.5886
ALDH1A3|220	226.4636	ALDH1A3|220	762.1487
ALDH1B1|219	787.9786	ALDH1B1|219	604.3788
ALDH1L1|10840	18.9378	ALDH1L1|10840	1870.6721
ALDH1L2|160428	340.4693	ALDH1L2|160428	584.5214
ALDH2|217	1613.4212	ALDH2|217	34484.7251
ALDH3A1|218	764.1005	ALDH3A1|218	292.7699
ALDH3A2|224	2331.0004	ALDH3A2|224	6505.0916
ALDH3B1|221	401.8114	ALDH3B1|221	332.9939
ALDH3B2|222	1601.0704	ALDH3B2|222	22.4033
ALDH4A1|8659	2345.4096	ALDH4A1|8659	4447.0468
ALDH5A1|7915	1622.8901	ALDH5A1|7915	771.8941
ALDH6A1|4329	638.2174	ALDH6A1|4329	1168.8951
ALDH7A1|501	2454.0963	ALDH7A1|501	1682.7902
ALDH8A1|64577	8.6455	ALDH8A1|64577	8.1466
ALDH9A1|223	2105.3932	ALDH9A1|223	7743.89
ALDOA|226	23254.8374	ALDOA|226	16072.8106
lowly_expressed	lowly_expressed	ALDOB|229	17.3116
ALDOC|230	422.8077	ALDOC|230	4602.8513
ALG10B|144245	195.5537	ALG10B|144245	230.1426
ALG10|84920	58.4603	ALG10|84920	96.2322
ALG11|440138	47.3446	ALG11|440138	7.6375
ALG12|79087	739.3989	ALG12|79087	342.1589
ALG13|79868	478.3862	ALG13|79868	469.4501
ALG14|199857	153.9728	ALG14|199857	344.1955
ALG1L|200810	15.8296	ALG1L|200810	9.3483
ALG1|56052	725.1667	ALG1|56052	400.2699
ALG2|85365	448.7443	ALG2|85365	556.5173
ALG3|10195	755.0432	ALG3|10195	497.4542
ALG5|29880	756.2783	ALG5|29880	752.5458
ALG6|29929	362.7007	ALG6|29929	153.7678
ALG8|79053	1165.9119	ALG8|79053	984.7251
ALG9|79796	741.8691	ALG9|79796	971.9959
ALKBH1|8846	205.0226	ALKBH1|8846	187.3727
ALKBH2|121642	226.4306	ALKBH2|121642	127.2912
ALKBH3|221120	130.0947	ALKBH3|221120	424.1344
