gene_id	TCGA-E9-A1RB-01A-11R-A157-07	gene_id	TCGA-E9-A1RB-11A-33R-A157-07
ALDH6A1|4329	413.7071	ALDH6A1|4329	1638.0105
ALDH7A1|501	555.9313	ALDH7A1|501	2344.3429
ALDH8A1|64577	5.2029	lowly_expressed	lowly_expressed
ALDH9A1|223	4126.9511	ALDH9A1|223	4744.2805
ALDOA|226	49490.1145	ALDOA|226	11779.1833
ALDOC|230	83.2466	ALDOC|230	443.1951
ALG10B|144245	251.821	ALG10B|144245	433.2006
ALG10|84920	123.0489	ALG10|84920	159.2879
ALG11|440138	18.9906	ALG11|440138	14.9918
ALG12|79087	511.1863	ALG12|79087	394.7841
ALG13|79868	417.0135	ALG13|79868	430.3896
ALG14|199857	176.8991	ALG14|199857	175.2167
ALG1L|200810	10.7076	ALG1L|200810	8.1487
ALG1|56052	1800.4396	ALG1|56052	483.8698
ALG2|85365	969.3028	ALG2|85365	769.5791
ALG3|10195	2375.9105	ALG3|10195	502.85
ALG5|29880	567.1176	ALG5|29880	542.2035
ALG6|29929	1042.1436	ALG6|29929	373.5457
ALG8|79053	1702.9136	ALG8|79053	851.4094
ALG9|79796	667.794	ALG9|79796	700.5544
ALKBH1|8846	224.2456	ALKBH1|8846	213.9455
ALKBH2|121642	292.92400000000004	ALKBH2|121642	175.52900000000002
