gene_id	TCGA-BH-A1FG-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FG-11B-12R-A13Q-07
AKAP7|9465	136.1981	AKAP7|9465	518.2237
AKAP8L|26993	605.6082	AKAP8L|26993	198.5756
AKAP8|10270	522.2141	AKAP8|10270	632.1743
AKAP9|10142	2784.4137	AKAP9|10142	1419.3548
AKD1|221264	117.9898	AKD1|221264	110.1801
AKIRIN1|79647	1379.0969	AKIRIN1|79647	1508.5882
AKIRIN2|55122	690.823	AKIRIN2|55122	1524.0888
lowly_expressed	lowly_expressed	AKNAD1|254268	10.4734
AKNA|80709	189.0022	AKNA|80709	227.4822
AKR1A1|10327	3876.5477	AKR1A1|10327	1232.0905
AKR1B10|57016	8.3758	lowly_expressed	lowly_expressed
AKR1B1|231	319.0095	AKR1B1|231	1038.961
AKR1C1|1645	33.1391	AKR1C1|1645	1084.2061
AKR1C2|1646	25.1275	AKR1C2|1646	1062.4214
AKR1C3|8644	196.2855	AKR1C3|8644	1031.0013
AKR1E2|83592	26.22	AKR1E2|83592	24.2983
AKR7A2|8574	1718.1355	AKR7A2|8574	1003.3515
AKR7A3|22977	1254.1879	AKR7A3|22977	58.651
AKR7L|246181	32.7749	AKR7L|246181	8.3787
AKT1S1|84335	1167.5164	AKT1S1|84335	755.7604
AKT1|207	2870.7209999999995	AKT1|207	1359.0281
AKT2|208	2013.11	AKT2|208	768.7474
AKT3|10000	148.9439	AKT3|10000	1509.845
AKTIP|64400	712.3343	AKTIP|64400	1037.5869
ALAD|210	1487.2542	ALAD|210	1044.8261
ALAS1|211	969.0459	ALAS1|211	596.1458
lowly_expressed	lowly_expressed	ALB|213	7212.4005
ALCAM|214	651.4931	ALCAM|214	6347.7168
ALDH16A1|126133	337.2178	ALDH16A1|126133	152.9116
ALDH18A1|5832	2252.3671	ALDH18A1|5832	1202.765
ALDH1A1|216	201.0197	ALDH1A1|216	2684.5413
ALDH1A2|8854	34.2316	ALDH1A2|8854	455.8023
ALDH1A3|220	115.9177	ALDH1A3|220	8002.4675
ALDH1B1|219	699.563	ALDH1B1|219	497.2769
lowly_expressed	lowly_expressed	ALDH1L1|10840	116.8831
ALDH1L2|160428	105.6082	ALDH1L2|160428	181.8182
ALDH2|217	1738.1646	ALDH2|217	4244.6586
lowly_expressed	lowly_expressed	ALDH3A1|218	18.8521
ALDH3A2|224	8345.5936	ALDH3A2|224	2664.4323
ALDH3B1|221	637.6548	ALDH3B1|221	149.9791
ALDH3B2|222	1429.7160000000001	ALDH3B2|222	1560.9552
ALDH4A1|8659	736.7079	ALDH4A1|8659	302.8907
ALDH5A1|7915	686.0889	ALDH5A1|7915	833.6824
ALDH6A1|4329	624.9235	ALDH6A1|4329	391.3574
ALDH7A1|501	1196.2855	ALDH7A1|501	861.3322
