gene_id	TCGA-BH-A18N-01A-11R-A12D-07	gene_id	TCGA-BH-A18N-11A-43R-A12D-07
ADORA3|140	131.4345	ADORA3|140	104.1667
ADO|84890	629.0323	ADO|84890	645.5026
ADPGK|83440	1028.4008	ADPGK|83440	852.1759
ADPRHL1|113622	107.4125	ADPRHL1|113622	50.5952
ADPRHL2|54936	542.21	ADPRHL2|54936	559.5238
ADPRH|141	276.5957	ADPRH|141	496.6931
lowly_expressed	lowly_expressed	ADRA1A|148	75.0661
ADRA1B|147	38.4351	ADRA1B|147	25.463
ADRA1D|146	5.4907	ADRA1D|146	8.9286
ADRA2A|150	889.499	ADRA2A|150	1210.9788
ADRA2B|151	5.1476	ADRA2B|151	23.1481
lowly_expressed	lowly_expressed	ADRA2C|152	72.4206
lowly_expressed	lowly_expressed	ADRB1|153	65.4762
ADRB2|154	28.8264	ADRB2|154	530.0926
lowly_expressed	lowly_expressed	ADRB3|155	10.582
ADRBK1|156	1163.0062	ADRBK1|156	1750.3307
ADRBK2|157	478.7234	ADRBK2|157	1789.0212
ADRM1|11047	1290.3226	ADRM1|11047	950.0661
ADSL|158	540.8373	ADSL|158	655.4233
ADSSL1|122622	57.3095	ADSSL1|122622	166.9974
ADSS|159	1060.7412	ADSS|159	1140.5423
AEBP1|165	7257.7213	AEBP1|165	11412.3677
AEBP2|121536	796.4997	AEBP2|121536	839.2857
AEN|64782	611.8737	AEN|64782	462.3016
AES|166	7042.21	AES|166	6712.6323
AFAP1L1|134265	329.4441	AFAP1L1|134265	754.6296
AFAP1L2|84632	640.7001	AFAP1L2|84632	954.3651
AFAP1|60312	798.2052	AFAP1|60312	1632.2685
AFF1|4299	2838.0233	AFF1|4299	3495.3704
AFF2|2334	18.8744	AFF2|2334	89.9471
AFF3|3899	10493.8229	AFF3|3899	2231.1508
AFF4|27125	6208.6479	AFF4|27125	4230.1587
AFG3L1|172	202.814	AFG3L1|172	323.7434
AFG3L2|10939	1770.8682	AFG3L2|10939	1176.3724
AFMID|125061	320.1784	AFMID|125061	545.3042
lowly_expressed	lowly_expressed	AFP|174	219.9074
AFTPH|54812	3894.3034	AFTPH|54812	1852.1825
AG2|387763	142.0728	AG2|387763	733.4656
AGAP11|119385	53.2327	AGAP11|119385	251.9907
AGAP1|116987	588.8813	AGAP1|116987	419.9735
AGAP2|116986	47.0556	AGAP2|116986	66.961
AGAP3|116988	1055.5937	AGAP3|116988	1338.955
AGAP4|119016	222.7179	AGAP4|119016	265.873
AGAP5|729092	87.5292	AGAP5|729092	100.0959
AGAP6|414189	89.2244	AGAP6|414189	137.8968
AGAP7|653268	5.8339	AGAP7|653268	8.5979
AGAP8|728404	9.2656	AGAP8|728404	50.5952
AGA|175	747.7694	AGA|175	566.1376
AGBL2|79841	35.0034	AGBL2|79841	21.164
AGBL4|84871	18.1881	AGBL4|84871	9.5899
AGBL5|60509	522.6596	AGBL5|60509	729.1733
AGER|177	25.3946	AGER|177	43.9815
AGFG1|3267	1312.6287	AGFG1|3267	1909.7222
AGFG2|3268	205.9025	AGFG2|3268	553.5714
AGGF1|55109	1523.3356	AGGF1|55109	818.7831
AGK|55750	515.7859	AGK|55750	468.254
AGL|178	586.1359	AGL|178	1269.1799
AGMAT|79814	14.7563	AGMAT|79814	14.881
AGPAT1|10554	1573.8298	AGPAT1|10554	1614.7288
AGPAT2|10555	532.9444	AGPAT2|10555	2891.5344
AGPAT3|56894	1458.8195	AGPAT3|56894	2025.7937
AGPAT4|56895	56.9664	AGPAT4|56895	274.1402
AGPAT5|55326	224.7769	AGPAT5|55326	631.2831
AGPAT6|137964	974.2622	AGPAT6|137964	1944.4444
AGPAT9|84803	54.221	AGPAT9|84803	156.0847
AGPHD1|123688	12.6973	AGPHD1|123688	52.2487
AGPS|8540	876.1153	AGPS|8540	1100.8598
AGR2|10551	2948.5244	AGR2|10551	2777.1164
AGR3|155465	1329.1009	AGR3|155465	573.082
AGRN|375790	3042.8964	AGRN|375790	3990.0794
AGTPBP1|23287	391.558	AGTPBP1|23287	408.7302
AGTR1|185	11201.0981	AGTR1|185	270.172
AGTRAP|57085	674.3308	AGTRAP|57085	634.2593
AGT|183	100.5491	AGT|183	76.7196
AGXT2L1|64850	54.5642	lowly_expressed	lowly_expressed
AGXT2L2|85007	1058.092	AGXT2L2|85007	825.1521
AHCTF1|25909	1342.1414	AHCTF1|25909	1546.2963
AHCYL1|10768	4994.5093	AHCYL1|10768	4739.7487
AHCYL2|23382	630.7481	AHCYL2|23382	716.2698
AHCY|191	2946.4653	AHCY|191	1959.6561
AHDC1|27245	652.3679	AHDC1|27245	1055.2249
AHI1|54806	405.9712	AHI1|54806	522.1561
AHNAK2|113146	217.9135	AHNAK2|113146	1496.3624
AHNAK|79026	37963.6239	AHNAK|79026	116041.0053
AHRR|57491	12.6973	AHRR|57491	14.5503
AHR|196	815.7172	AHR|196	3301.918
AHSA1|10598	1981.4688	AHSA1|10598	1183.2011
AHSA2|130872	1156.8291	AHSA2|130872	514.881
AIDA|64853	510.9883	AIDA|64853	1129.3519
AIF1L|83543	231.9835	AIF1L|83543	1646.4947
AIF1|199	257.7213	AIF1|199	414.3519
AIFM1|9131	1338.3665	AIFM1|9131	711.3095
AIFM2|84883	538.4351	AIFM2|84883	1324.0741
AIFM3|150209	18.7131	AIFM3|150209	12.9332
AIG1|51390	1218.5999	AIG1|51390	958.0026
