gene_id	TCGA-BH-A1FC-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FC-11A-32R-A13Q-07
lowly_expressed	lowly_expressed	AGBL3|340351	5.9172
lowly_expressed	lowly_expressed	AGBL4|84871	5.9172
AGBL5|60509	1426.445	AGBL5|60509	674.5621
AGER|177	25.8919	AGER|177	40.2367
AGFG1|3267	2973.7403	AGFG1|3267	2230.7692
AGFG2|3268	244.5017	AGFG2|3268	473.9645
AGGF1|55109	551.6734	AGGF1|55109	897.0414
AGK|55750	768.5178	AGK|55750	509.4675
AGL|178	308.0544	AGL|178	1092.3077
AGMAT|79814	333.9463	AGMAT|79814	20.7101
AGPAT1|10554	1920.4325	AGPAT1|10554	1956.929
AGPAT2|10555	745.8624	AGPAT2|10555	2034.9112
AGPAT3|56894	1846.267	AGPAT3|56894	2144.9704
AGPAT4|56895	136.5208	AGPAT4|56895	307.1006
AGPAT5|55326	1171.9014	AGPAT5|55326	639.0533
AGPAT6|137964	3264.7297	AGPAT6|137964	1448.5207
AGPAT9|84803	90.9158	AGPAT9|84803	152.6627
AGPHD1|123688	30.011	AGPHD1|123688	46.7456
AGPS|8540	924.1633	AGPS|8540	933.1361
lowly_expressed	lowly_expressed	AGR2|10551	1793.4911
lowly_expressed	lowly_expressed	AGR3|155465	585.2071
AGRN|375790	1080.103	AGRN|375790	3663.9053
AGTPBP1|23287	2826.3332	AGTPBP1|23287	374.5562
AGTR1|185	6.473	AGTR1|185	318.3432
AGTRAP|57085	539.0217	AGTRAP|57085	838.4615
AGT|183	237.7345	AGT|183	127.8107
AGXT2L2|85007	256.3119	AGXT2L2|85007	755.1657
lowly_expressed	lowly_expressed	AGXT|189	5.3254
AHCTF1|25909	3987.0541	AHCTF1|25909	1205.9172
AHCYL1|10768	2025.7448	AHCYL1|10768	3789.9408
AHCYL2|23382	438.9849	AHCYL2|23382	581.6568
AHCY|191	4932.6958	AHCY|191	1942.0118
AHDC1|27245	814.1228	AHDC1|27245	778.6982
AHI1|54806	319.5292	AHI1|54806	436.0947
AHNAK2|113146	249.2093	AHNAK2|113146	1189.3491
AHNAK|79026	9730.6363	AHNAK|79026	56503.5503
AHRR|57491	9.4152	AHRR|57491	14.7929
AHR|196	1817.4329	AHR|196	3799.4083
AHSA1|10598	2926.9584	AHSA1|10598	1344.9704
AHSA2|130872	233.6153	AHSA2|130872	424.8521
AIDA|64853	676.1486	AIDA|64853	1386.4083
AIF1L|83543	3143.5086	AIF1L|83543	2516.568
AIF1|199	509.8933	AIF1|199	640.8284
AIFM1|9131	1727.3998	AIFM1|9131	779.2899
AIFM2|84883	259.2129	AIFM2|84883	1145.5621
lowly_expressed	lowly_expressed	AIFM3|150209	5.9172
AIG1|51390	251.2688	AIG1|51390	980.4734
AIM1L|55057	12.0633	lowly_expressed	lowly_expressed
AIM1|202	897.683	AIM1|202	2146.1538
AIM2|9447	152.9974	AIM2|9447	11.8343
AIMP1|9255	994.7481	AIMP1|9255	1102.6154
AIMP2|7965	936.0235	AIMP2|7965	459.6864
AIP|9049	902.6848	AIP|9049	610.6509
lowly_expressed	lowly_expressed	AJAP1|55966	14.2012
AK1|203	802.648	AK1|203	590.5325
AK2|204	2922.8393	AK2|204	2136.6864
AK3L1|205	299.2277	AK3L1|205	328.9941
AK3|50808	1676.2045	AK3|50808	2371.5976
AK5|26289	238.6171	AK5|26289	1298.8166
