gene_id	TCGA-BH-A1FB-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FB-11A-33R-A13Q-07
ADM2|79924	97.7399	ADM2|79924	81.3957
ADM|133	92.4567	ADM|133	431.2036
ADNP2|22850	809.5098	ADNP2|22850	780.527
ADNP|23394	3160.5518	ADNP|23394	2693.327
ADORA1|134	155.8556	ADORA1|134	339.6334
ADORA2A|135	654.7901	ADORA2A|135	85.2717
ADORA2B|136	52.2454	ADORA2B|136	69.7678
ADORA3|140	166.4221	ADORA3|140	109.9812
ADO|84890	846.4925	ADO|84890	853.2018
ADPGK|83440	914.6375	ADPGK|83440	844.258
ADPRHL1|113622	129.1459	ADPRHL1|113622	133.7216
ADPRHL2|54936	599.6478	ADPRHL2|54936	520.8359
ADPRH|141	381.5674	ADPRH|141	369.6723
ADRA1A|148	5.5768	ADRA1A|148	24.7094
ADRA1B|147	16.4367	ADRA1B|147	19.8644
ADRA2A|150	769.8855	ADRA2A|150	653.1039
ADRA2B|151	10.273	ADRA2B|151	24.2249
ADRA2C|152	35.2216	ADRA2C|152	51.8413
ADRB1|153	7.3378	ADRB1|153	36.3374
ADRB2|154	114.7637	ADRB2|154	201.0669
lowly_expressed	lowly_expressed	ADRB3|155	8.721
ADRBK1|156	1856.7655	ADRBK1|156	1785.3769
ADRBK2|157	1046.0816	ADRBK2|157	945.741
ADRM1|11047	737.3055	ADRM1|11047	762.1161
ADSL|158	783.3871	ADSL|158	763.5696
ADSSL1|122622	125.3302	ADSSL1|122622	119.6711
ADSS|159	1728.5001	ADSS|159	1503.3988
AEBP1|165	13081.0097	AEBP1|165	5495.6662
AEBP2|121536	875.2568	AEBP2|121536	939.4425
AEN|64782	548.2829	AEN|64782	618.7045
AES|166	5362.7825	AES|166	6513.5974
AFAP1L1|134265	222.1896	AFAP1L1|134265	362.8894
AFAP1L2|84632	702.0839	AFAP1L2|84632	1243.2231
AFAP1|60312	1975.8996	AFAP1|60312	1304.735
AFF1|4299	3256.2372	AFF1|4299	2625.9817
AFF2|2334	79.8356	AFF2|2334	41.1824
AFF3|3899	3587.9072	AFF3|3899	2617.7452
AFF4|27125	4853.8303	AFF4|27125	3906.9957
AFG3L1|172	175.8145	AFG3L1|172	304.265
AFG3L2|10939	1337.0326	AFG3L2|10939	1186.2267
AFMID|125061	455.2392	AFMID|125061	1012.6018
AFP|174	29.3513	AFP|174	127.4231
AFTPH|54812	2078.0746	AFTPH|54812	1714.6401
AG2|387763	149.1048	AG2|387763	165.214
AGAP11|119385	79.1752	AGAP11|119385	216.5805
AGAP1|116987	702.9645	AGAP1|116987	506.3009
AGAP2|116986	184.1327	AGAP2|116986	85.3832
AGAP3|116988	1021.4265	AGAP3|116988	1381.3051
AGAP4|119016	149.1048	AGAP4|119016	313.955
AGAP5|729092	59.8415	AGAP5|729092	85.0828
AGAP6|414189	72.2043	AGAP6|414189	150.1945
AGAP7|653268	5.5768	AGAP7|653268	7.752
AGAP8|728404	21.133	AGAP8|728404	21.3179
AGA|175	683.2991	AGA|175	637.6
AGBL2|79841	24.3616	AGBL2|79841	16.4729
AGBL3|340351	6.1638	AGBL3|340351	6.783
AGBL4|84871	6.4573	AGBL4|84871	5.3295
AGBL5|60509	653.0819	AGBL5|60509	715.6478
AGER|177	15.8497	AGER|177	65.8918
AGFG1|3267	1912.8265	AGFG1|3267	1730.6285
AGFG2|3268	341.6495	AGFG2|3268	494.1884
AGGF1|55109	1137.6578	AGGF1|55109	991.2839
AGK|55750	561.7846	AGK|55750	559.1112
AGL|178	2105.9583	AGL|178	1228.2036
AGMAT|79814	31.1124	AGMAT|79814	11.628
AGPAT1|10554	1703.9712	AGPAT1|10554	1697.1109
AGPAT2|10555	329.909	AGPAT2|10555	926.8456
AGPAT3|56894	2053.1259	AGPAT3|56894	1890.0285
AGPAT4|56895	250.0734	AGPAT4|56895	259.6912
AGPAT5|55326	728.2066	AGPAT5|55326	698.6468
AGPAT6|137964	2463.7511	AGPAT6|137964	1546.5191
