gene_id	TCGA-BH-A0DH-01A-11R-A084-07	gene_id	TCGA-BH-A0DH-11A-31R-A089-07
AGMAT|79814	61.7237	AGMAT|79814	6.2972
AGPAT1|10554	3231.3323	AGPAT1|10554	2022.4643
AGPAT2|10555	1258.5623	AGPAT2|10555	5976.9102
AGPAT3|56894	2276.2514	AGPAT3|56894	2006.2972
AGPAT4|56895	66.2401	AGPAT4|56895	341.3098
AGPAT5|55326	289.0478	AGPAT5|55326	296.3896
AGPAT6|137964	3410.9898	AGPAT6|137964	1910.5793
AGPAT9|84803	227.7004	AGPAT9|84803	147.3552
AGPHD1|123688	48.9274	AGPHD1|123688	78.5055
AGPS|8540	2710.9522	AGPS|8540	860.2015
AGR2|10551	21268.3478	AGR2|10551	7201.9312
AGR3|155465	5027.851	AGR3|155465	699.4123
AGRN|375790	5933.3835	AGRN|375790	4846.3476
AGTPBP1|23287	97.4784	AGTPBP1|23287	283.3753
AGTR1|185	4810.3124	AGTR1|185	380.7725
AGTRAP|57085	1372.2243	AGTRAP|57085	870.6969
AGT|183	229.9586	AGT|183	112.5105
AGXT2L2|85007	302.4388	AGXT2L2|85007	745.5919
lowly_expressed	lowly_expressed	AGXT|189	10.4954
AHCTF1|25909	1004.14	AHCTF1|25909	780.4366
AHCYL1|10768	7334.5879	AHCYL1|10768	3764.4836
AHCYL2|23382	1414.3771	AHCYL2|23382	388.3291
AHCY|191	4261.9496	AHCY|191	3177.5819
AHDC1|27245	411.7426	AHDC1|27245	1085.2225
AHI1|54806	293.1878	AHI1|54806	255.2477
AHNAK2|113146	597.2902	AHNAK2|113146	1269.9412
AHNAK|79026	41803.9142	AHNAK|79026	69813.1822
AHRR|57491	23.3346	AHRR|57491	5.0378
AHR|196	2639.8193	AHR|196	882.8715
AHSA1|10598	1841.5506	AHSA1|10598	1945.8438
AHSA2|130872	197.9676	AHSA2|130872	520.1511
AIDA|64853	822.3824	AIDA|64853	1532.1369
AIF1L|83543	1458.0354	AIF1L|83543	2384.9706
AIF1|199	348.137	AIF1|199	669.6054
AIFM1|9131	1081.6711	AIFM1|9131	831.6541
AIFM2|84883	201.7313	AIFM2|84883	2023.5097
lowly_expressed	lowly_expressed	AIFM3|150209	18.4719
AIG1|51390	549.8683	AIG1|51390	1471.8724
AIM1L|55057	67.3692	AIM1L|55057	13.4341
AIM1|202	1390.6662	AIM1|202	2030.6465
AIM2|9447	18.4419	AIM2|9447	8.3963
AIMP1|9255	1040.4479	AIMP1|9255	987.4055
AIMP2|7965	322.4802	AIMP2|7965	374.9874
AIP|9049	1237.1095	AIP|9049	1308.1444
lowly_expressed	lowly_expressed	AJAP1|55966	20.5709
AK1|203	1125.7057	AK1|203	1161.6289
AK2|204	2474.5954	AK2|204	2523.9295
AK3L1|205	212.6458	AK3L1|205	360.6213
AK3|50808	624.3884	AK3|50808	1739.7145
AK5|26289	44.0346	AK5|26289	2130.5626
AK7|122481	5.6455	AK7|122481	31.4861
AKAP10|11216	477.9827	AKAP10|11216	300.5877
AKAP11|11215	706.4358	AKAP11|11215	604.1142
AKAP12|9590	407.2262	AKAP12|9590	2552.8967
AKAP13|11214	1746.7068	AKAP13|11214	2232.9975
AKAP1|8165	1368.0843	AKAP1|8165	3323.6776
AKAP2|11217	765.7245	AKAP2|11217	2164.492
lowly_expressed	lowly_expressed	AKAP3|10566	42.4013
AKAP5|9495	449.0026	AKAP5|9495	47.0193
AKAP6|9472	82.8002	AKAP6|9472	146.0957
AKAP7|9465	37.6364	AKAP7|9465	265.3233
AKAP8L|26993	839.2924	AKAP8L|26993	938.707
AKAP8|10270	506.5864	AKAP8|10270	575.9866
AKAP9|10142	10951.0726	AKAP9|10142	1025.1889
AKD1|221264	73.391	AKD1|221264	101.5953
AKIRIN1|79647	940.9108	AKIRIN1|79647	1187.2376
AKIRIN2|55122	383.5152	AKIRIN2|55122	1075.9866
lowly_expressed	lowly_expressed	AKNAD1|254268	6.3182
AKNA|80709	357.1697	AKNA|80709	861.8808
AKR1A1|10327	4155.8148	AKR1A1|10327	2092.3594
lowly_expressed	lowly_expressed	AKR1B10|57016	958.0185
lowly_expressed	lowly_expressed	AKR1B15|441282	20.1511
AKR1B1|231	532.5555	AKR1B1|231	1149.4542
AKR1C1|1645	102.3711	AKR1C1|1645	5787.9933
AKR1C2|1646	99.3602	AKR1C2|1646	3713.6859999999997
AKR1C3|8644	694.3922	AKR1C3|8644	3970.1931
lowly_expressed	lowly_expressed	AKR1E2|83592	27.288
AKR7A2|8574	1992.0963	AKR7A2|8574	1788.4131
AKR7A3|22977	4579.9774	AKR7A3|22977	312.7624
AKR7L|246181	138.8784	AKR7L|246181	27.288
AKT1S1|84335	1235.6041	AKT1S1|84335	1249.7901
AKT1|207	5360.9334	AKT1|207	4144.4165
AKT2|208	5851.3361	AKT2|208	3346.7674
AKT3|10000	208.1295	AKT3|10000	740.9739999999999
AKTIP|64400	415.51	AKTIP|64400	657.8925
ALAD|210	966.5036	ALAD|210	2174.6432
ALAS1|211	761.0087	ALAS1|211	874.0554
lowly_expressed	lowly_expressed	ALAS2|212	6.7170000000000005
ALB|213	6.0218	ALB|213	7698.9924
ALCAM|214	10925.8562	ALCAM|214	1965.5751
ALDH16A1|126133	1246.1423	ALDH16A1|126133	605.3736
ALDH18A1|5832	2848.3252	ALDH18A1|5832	1571.7884
ALDH1A1|216	131.7275	ALDH1A1|216	1889.1688
ALDH1A2|8854	19.1946	ALDH1A2|8854	313.1822
ALDH1A3|220	410.685	ALDH1A3|220	460.2351
ALDH1B1|219	842.3033	ALDH1B1|219	695.2141
ALDH1L1|10840	59.8419	ALDH1L1|10840	1405.1217
ALDH1L2|160428	132.8566	ALDH1L2|160428	199.8321
ALDH2|217	3014.6782	ALDH2|217	11410.5793
lowly_expressed	lowly_expressed	ALDH3A1|218	1104.9538
ALDH3A2|224	3633.4212	ALDH3A2|224	3867.7582
ALDH3B1|221	605.9466	ALDH3B1|221	283.3753
ALDH3B2|222	2891.2307	ALDH3B2|222	1621.3266
ALDH4A1|8659	752.7286	ALDH4A1|8659	1570.529
ALDH5A1|7915	550.9974	ALDH5A1|7915	580.1847
ALDH6A1|4329	929.3	ALDH6A1|4329	492.1075
ALDH7A1|501	1073.7674	ALDH7A1|501	3201.9312
lowly_expressed	lowly_expressed	ALDH8A1|64577	16.7926
ALDH9A1|223	2798.6451	ALDH9A1|223	4305.2057
ALDOA|226	30770.4178	ALDOA|226	20434.089
lowly_expressed	lowly_expressed	ALDOB|229	7.1369
ALDOC|230	463.3045	ALDOC|230	2191.8556
ALG10B|144245	617.9902	ALG10B|144245	132.2418
ALG10|84920	226.9477	ALG10|84920	49.1184
ALG11|440138	5.6455	ALG11|440138	13.8539
ALG12|79087	577.3429	ALG12|79087	586.9018
ALG13|79868	529.9209999999999	ALG13|79868	338.7909
ALG14|199857	364.69699999999995	ALG14|199857	277.9177
ALG1L|200810	22.7851	ALG1L|200810	12.8086
ALG1|56052	1762.6308	ALG1|56052	604.7313
ALG2|85365	655.2503	ALG2|85365	814.4416
ALG3|10195	936.7708	ALG3|10195	603.2746
ALG5|29880	652.6157	ALG5|29880	790.0924
ALG6|29929	803.9142	ALG6|29929	159.11
ALG8|79053	2134.7384	ALG8|79053	1028.1276
ALG9|79796	421.1517	ALG9|79796	757.3468
ALKBH1|8846	489.2736	ALKBH1|8846	232.9975
ALKBH2|121642	311.2533	ALKBH2|121642	423.5936
ALKBH3|221120	268.7241	ALKBH3|221120	570.1092
ALKBH4|54784	295.6003	ALKBH4|54784	365.9656
ALKBH5|54890	3056.4546	ALKBH5|54890	3128.7741
ALKBH6|84964	102.3711	ALKBH6|84964	96.9773
ALKBH7|84266	901.3925	ALKBH7|84266	829.9748
ALKBH8|91801	156.9439	ALKBH8|91801	201.9312
