gene_id	TCGA-E2-A15E-01A-11R-A12D-07	gene_id	TCGA-E2-A15E-06A-11R-A12D-07
AGAP8|728404	49.0891	AGAP8|728404	48.9642
AGA|175	623.4818	AGA|175	593.2203
AGBL2|79841	21.2551	AGBL2|79841	25.6121
AGBL3|340351	7.5911	lowly_expressed	lowly_expressed
AGBL4|84871	7.085	lowly_expressed	lowly_expressed
AGBL5|60509	872.4798	AGBL5|60509	711.1337
AGER|177	20.2429	AGER|177	43.3145
AGFG1|3267	1307.6923	AGFG1|3267	1000.7533
AGFG2|3268	471.1538	AGFG2|3268	389.0772
AGGF1|55109	1406.8826	AGGF1|55109	1595.1036
AGK|55750	769.2308	AGK|55750	851.6008
AGL|178	1177.6316	AGL|178	975.1412
AGMAT|79814	18.7247	AGMAT|79814	27.4953
AGPAT1|10554	1751.0071	AGPAT1|10554	1756.8701
AGPAT2|10555	447.3684	AGPAT2|10555	543.5028
AGPAT3|56894	2685.7287	AGPAT3|56894	2192.467
AGPAT4|56895	168.5223	AGPAT4|56895	16.1959
AGPAT5|55326	563.2591	AGPAT5|55326	129.1902
AGPAT6|137964	3508.6032	AGPAT6|137964	3990.2072
AGPAT9|84803	52.6316	AGPAT9|84803	25.2354
AGPHD1|123688	66.8016	AGPHD1|123688	54.6139
AGPS|8540	1263.1579	AGPS|8540	592.467
AGR2|10551	3968.1174	AGR2|10551	11968.7382
AGR3|155465	1429.1498	AGR3|155465	6319.3974
AGRN|375790	6291.498	AGRN|375790	4377.7778
AGTPBP1|23287	245.4453	AGTPBP1|23287	171.3748
AGTR1|185	48.0769	AGTR1|185	57.2505
AGTRAP|57085	886.1336	AGTRAP|57085	774.0113
AGT|183	399.7976	AGT|183	63.6535
lowly_expressed	lowly_expressed	AGXT2L1|64850	6.7797
AGXT2L2|85007	374.8684	AGXT2L2|85007	583.0169
AHCTF1|25909	1471.6599	AHCTF1|25909	1723.1638
AHCYL1|10768	4432.6923	AHCYL1|10768	5297.9284
AHCYL2|23382	605.7692	AHCYL2|23382	516.3842
AHCY|191	5657.8947	AHCY|191	4339.7363
AHDC1|27245	1046.5587	AHDC1|27245	541.9962
AHI1|54806	313.7652	AHI1|54806	210.5461
AHNAK2|113146	2488.8664	AHNAK2|113146	451.9774
AHNAK|79026	55793.0162	AHNAK|79026	37705.4614
AHRR|57491	50.6073	AHRR|57491	74.5763
AHR|196	3501.0121	AHR|196	2483.6158
AHSA1|10598	2100.7085	AHSA1|10598	2049.3409
AHSA2|130872	500.5061	AHSA2|130872	626.3653
AIDA|64853	829.9848	AIDA|64853	930.0226
AIF1L|83543	651.3158	AIF1L|83543	509.9812
AIF1|199	178.1377	AIF1|199	282.8625
AIFM1|9131	1327.4291	AIFM1|9131	1601.8832
AIFM2|84883	238.3603	AIFM2|84883	190.5838
AIFM3|150209	30.4808	AIFM3|150209	45.4426
AIG1|51390	602.2267	AIG1|51390	434.275
AIM1L|55057	11.6397	AIM1L|55057	15.8192
AIM1|202	2661.4372	AIM1|202	879.8493
lowly_expressed	lowly_expressed	AIM2|9447	59.1337
AIMP1|9255	1069.5445	AIMP1|9255	1601.838
AIMP2|7965	413.1933	AIMP2|7965	553.6573
AIP|9049	640.1822	AIP|9049	671.1864
