gene_id	TCGA-E2-A1LH-01A-11R-A14D-07	gene_id	TCGA-E2-A1LH-11A-22R-A14D-07
lowly_expressed	lowly_expressed	ALB|213	1290.369
ALCAM|214	520.9338	ALCAM|214	6420.2204
ALDH16A1|126133	683.7739	ALDH16A1|126133	627.6953
ALDH18A1|5832	1671.6188	ALDH18A1|5832	1749.8802
ALDH1A1|216	458.4218	ALDH1A1|216	771.4423
ALDH1A2|8854	45.5335	ALDH1A2|8854	87.6857
ALDH1A3|220	2808.3349	ALDH1A3|220	1277.3407
ALDH1B1|219	1068.1073	ALDH1B1|219	459.0321
ALDH1L1|10840	67.1426	ALDH1L1|10840	349.7844
ALDH1L2|160428	437.5844	ALDH1L2|160428	149.4969
ALDH2|217	2621.6477	ALDH2|217	3180.1629
ALDH3A1|218	30.0984	ALDH3A1|218	68.0402
ALDH3A2|224	762.4928	ALDH3A2|224	1783.4212
ALDH3B1|221	307.9298	ALDH3B1|221	157.6425
ALDH3B2|222	73.3166	ALDH3B2|222	5835.1701
ALDH4A1|8659	1087.4011	ALDH4A1|8659	1062.2904
ALDH5A1|7915	215.3193	ALDH5A1|7915	674.6526
ALDH6A1|4329	40.0463	ALDH6A1|4329	584.322
ALDH7A1|501	1719.4675	ALDH7A1|501	3647.3407
ALDH8A1|64577	5.4023	ALDH8A1|64577	11.4998
ALDH9A1|223	2423.3070000000002	ALDH9A1|223	4050.3115
ALDOA|226	15591.7422	ALDOA|226	19905.6061
ALDOC|230	937.6809	ALDOC|230	732.6306
ALG10B|144245	83.3494	ALG10B|144245	308.5769
ALG10|84920	16.2068	ALG10|84920	92.9564
ALG11|440138	19.2938	ALG11|440138	17.2496
ALG12|79087	1159.1742	ALG12|79087	656.9238
ALG13|79868	277.0596	ALG13|79868	494.0105
ALG14|199857	270.8856	ALG14|199857	154.7676
ALG1L|200810	34.3353	ALG1L|200810	14.3651
ALG1|56052	483.3803	ALG1|56052	400.7858
ALG2|85365	666.0235	ALG2|85365	923.3349
ALG3|10195	1283.4266	ALG3|10195	542.4054
ALG5|29880	812.6568	ALG5|29880	474.8443
ALG6|29929	286.3207	ALG6|29929	320.0767
ALG8|79053	781.7866	ALG8|79053	698.1313
ALG9|79796	609.6855	lowly_expressed	lowly_expressed
ALKBH1|8846	122.7089	ALKBH1|8846	279.8275
ALKBH2|121642	494.6942	ALKBH2|121642	326.7849
ALKBH3|221120	115.7631	ALKBH3|221120	359.3675
ALKBH4|54784	363.1256	ALKBH4|54784	315.2611
ALKBH5|54890	1689.3691	ALKBH5|54890	2522.185
ALKBH6|84964	123.4806	ALKBH6|84964	62.7695
ALKBH7|84266	575.7283	ALKBH7|84266	551.0302
ALKBH8|91801	145.8615	ALKBH8|91801	299.9521
ALK|238	14.6633	ALK|238	23.4787
lowly_expressed	lowly_expressed	ALMS1P|200420	10.5414
ALMS1|7840	365.0396	ALMS1|7840	695.2563
ALOX12P2|245	15.4351	ALOX12P2|245	38.8117
ALOX12|239	6.9458	lowly_expressed	lowly_expressed
ALOX15B|247	44.7617	ALOX15B|247	2861.0446
lowly_expressed	lowly_expressed	ALOX15|246	12.9372
