gene_id	TCGA-AC-A6IX-01A-12R-A32P-07	gene_id	TCGA-AC-A6IX-06A-11R-A32P-07
ADK|132	309.5433	ADK|132	352.8652
ADM2|79924	141.0993	ADM2|79924	867.5321
ADM|133	137.0887	ADM|133	109.0153
ADNP2|22850	793.7289	ADNP2|22850	884.4582
ADNP|23394	3603.6824	ADNP|23394	3767.6253
ADORA1|134	556.3759	ADORA1|134	74.3025
ADORA2A|135	542.8493	ADORA2A|135	249.3007
ADORA2B|136	25.5218	ADORA2B|136	39.5898
ADORA3|140	143.6514	ADORA3|140	169.8343
ADO|84890	702.9441	ADO|84890	325.6114
ADPGK|83440	1303.9723	ADPGK|83440	1382.5604
ADPRHL1|113622	113.3898	ADPRHL1|113622	116.7611
ADPRHL2|54936	538.5106	ADPRHL2|54936	386.7173
ADPRH|141	337.2528	ADPRH|141	261.0629
ADRA1A|148	7.292	ADRA1A|148	18.6473
ADRA1B|147	22.2405	lowly_expressed	lowly_expressed
ADRA1D|146	8.0211	lowly_expressed	lowly_expressed
ADRA2A|150	628.2016	ADRA2A|150	702.001
ADRA2B|151	32.4492	ADRA2B|151	26.1063
ADRA2C|152	185.2156	ADRA2C|152	301.8002
ADRB1|153	23.6988	ADRB1|153	15.2048
ADRB2|154	62.7108	ADRB2|154	76.3107
ADRBK1|156	2512.0773	ADRBK1|156	3109.8042
ADRBK2|157	872.8466	ADRBK2|157	1070.071
ADRM1|11047	1537.8726	ADRM1|11047	1368.4286
ADSL|158	545.438	ADSL|158	690.8126
ADSSL1|122622	269.073	ADSSL1|122622	208.2766
ADSS|159	1941.1175	ADSS|159	1821.7026
AEBP1|165	20616.5345	AEBP1|165	10054.0773
AEBP2|121536	619.4513	AEBP2|121536	718.9271
AEN|64782	735.7579	AEN|64782	708.0255
AES|166	5469.6928	AES|166	9383.0596
AFAP1L1|134265	456.4762	AFAP1L1|134265	147.4575
AFAP1L2|84632	346.3677	AFAP1L2|84632	345.9801
AFAP1|60312	1401.1412	AFAP1|60312	1709.7698
AFF1|4299	1723.8173	AFF1|4299	2073.8722
AFF2|2334	53.9604	AFF2|2334	25.2456
AFF3|3899	3757.5426	AFF3|3899	2551.5312
AFF4|27125	2902.1967	AFF4|27125	3037.223
AFG3L1|172	208.5498	AFG3L1|172	170.695
AFG3L2|10939	1362.6142	AFG3L2|10939	1228.6796
AFMID|125061	437.5171	AFMID|125061	731.263
AFP|174	10.5733	AFP|174	15.7785
AFTPH|54812	1882.4173	AFTPH|54812	2438.7865
AG2|387763	339.8049	AG2|387763	100.9826
AGAP11|119385	97.9054	AGAP11|119385	102.1502
AGAP1|116987	442.6215	AGAP1|116987	443.2332
AGAP2|116986	186.7615	AGAP2|116986	250.8384
AGAP3|116988	1216.2975	AGAP3|116988	755.3611
AGAP4|119016	279.2817	AGAP4|119016	219.7518
AGAP5|729092	55.3204	AGAP5|729092	54.238
AGAP6|414189	193.2367	AGAP6|414189	134.2609
AGAP7|653268	8.7503	AGAP7|653268	8.8934
AGAP8|728404	82.0345	AGAP8|728404	44.7536
AGA|175	688.7248	AGA|175	953.8837
AGBL2|79841	25.1572	AGBL2|79841	22.0899
lowly_expressed	lowly_expressed	AGBL3|340351	5.7376
AGBL4|84871	18.2299	AGBL4|84871	16.6392
AGBL5|60509	576.8043	AGBL5|60509	596.1558
AGER|177	56.8772	AGER|177	69.1386
AGFG1|3267	1708.5042	AGFG1|3267	1885.9643
AGFG2|3268	397.776	AGFG2|3268	403.3565
AGGF1|55109	1202.8074	AGGF1|55109	993.7603
AGK|55750	586.6375	AGK|55750	611.6331
AGL|178	6053.7781	AGL|178	874.4173
AGMAT|79814	22.2405	AGMAT|79814	75.1632
AGPAT1|10554	1777.8325	AGPAT1|10554	1649.9118
AGPAT2|10555	2418.7403	AGPAT2|10555	651.7966
AGPAT3|56894	2450.8249	AGPAT3|56894	2484.4008
AGPAT4|56895	195.0597	AGPAT4|56895	66.2698
AGPAT5|55326	519.1869	AGPAT5|55326	394.7501
AGPAT6|137964	2743.2322	AGPAT6|137964	1807.0716
AGPAT9|84803	119.588	AGPAT9|84803	163.8098
AGPHD1|123688	42.6579	AGPHD1|123688	42.1717
AGPS|8540	490.3837	AGPS|8540	519.257
AGR2|10551	13642.1475	AGR2|10551	5842.3582
AGR3|155465	2383.0098	AGR3|155465	1801.334
AGRN|375790	5521.1011	AGRN|375790	2775.2994
AGTPBP1|23287	253.0307	AGTPBP1|23287	323.0295
AGTR1|185	62.3462	AGTR1|185	17.2129
AGTRAP|57085	635.129	AGTRAP|57085	315.5705
AGT|183	48.1269	AGT|183	36.7209
lowly_expressed	lowly_expressed	AGXT2L1|64850	8.6065
AGXT2L2|85007	592.1648	AGXT2L2|85007	519.5926
AHCTF1|25909	1498.496	AHCTF1|25909	1698.6301
AHCYL1|10768	3212.4692	AHCYL1|10768	3608.9794
AHCYL2|23382	586.2729	AHCYL2|23382	1728.7528
AHCY|191	2294.7771	AHCY|191	2512.2284
AHDC1|27245	713.5175	AHDC1|27245	637.4525
AHI1|54806	392.6716	AHI1|54806	519.5439
AHNAK2|113146	899.8268	AHNAK2|113146	170.9819
AHNAK|79026	21458.3903	AHNAK|79026	21228.1432
AHRR|57491	84.9512	AHRR|57491	111.8841
AHR|196	1410.9926	AHR|196	1428.9608
AHSA1|10598	1749.3392	AHSA1|10598	2273.5423
AHSA2|130872	517.7286	AHSA2|130872	635.1574
lowly_expressed	lowly_expressed	AICDA|57379	9.4671
AIDA|64853	1032.945	AIDA|64853	967.1864
AIF1L|83543	1172.1812	AIF1L|83543	730.4024
AIF1|199	514.0826	AIF1|199	579.5023
AIFM1|9131	1239.9964	AIFM1|9131	1279.782
AIFM2|84883	860.4503	AIFM2|84883	455.5691
AIFM3|150209	36.8244	AIFM3|150209	60.6957
AIG1|51390	606.6904	AIG1|51390	670.1571
AIM1L|55057	60.8878	AIM1L|55057	52.7863
AIM1|202	2373.5302	AIM1|202	2013.0531
AIM2|9447	13.4901	AIM2|9447	117.9086
AIMP1|9255	1168.6191	AIMP1|9255	1258.0937
AIMP2|7965	345.1828	AIMP2|7965	264.7178
AIP|9049	916.5983	AIP|9049	984.0063
AJAP1|55966	17.5007	AJAP1|55966	6.8852
AK1|203	662.8384	AK1|203	393.8894
AK2|204	1311.8221	AK2|204	1230.7251
AK3L1|205	147.662	AK3L1|205	184.7522
AK3|50808	1214.8391	AK3|50808	1066.6284
AK5|26289	86.045	AK5|26289	191.9243
AK7|122481	13.4901	lowly_expressed	lowly_expressed
AKAP10|11216	730.2889	AKAP10|11216	649.7884
AKAP11|11215	1361.4073	AKAP11|11215	1954.2423
