gene_id	TCGA-BH-A1ES-01A-11R-A137-07	gene_id	TCGA-BH-A1ES-06A-12R-A24H-07
AKAP12|9590	1072.9508	AKAP12|9590	1382.2894
AKAP13|11214	2392.623	AKAP13|11214	1664.5068
AKAP1|8165	722.1311	AKAP1|8165	2138.9489
AKAP2|11217	356.3607	AKAP2|11217	232.2498
AKAP3|10566	150.8197	AKAP3|10566	51.4759
AKAP5|9495	184.4262	AKAP5|9495	14.7588
AKAP6|9472	41.8033	AKAP6|9472	111.5911
AKAP7|9465	90.1639	AKAP7|9465	205.1836
AKAP8L|26993	1217.2131	AKAP8L|26993	2129.9496
AKAP8|10270	659.0164	AKAP8|10270	649.388
AKAP9|10142	3509.0164	AKAP9|10142	1032.7574
AKD1|221264	171.3115	AKD1|221264	205.9035
AKIRIN1|79647	1700.8197	AKIRIN1|79647	748.7401
AKIRIN2|55122	568.0328	AKIRIN2|55122	632.1094
AKNA|80709	207.377	AKNA|80709	353.1317
AKR1A1|10327	1933.6066	AKR1A1|10327	1460.4032
lowly_expressed	lowly_expressed	AKR1B10|57016	63.7149
AKR1B1|231	436.8852	AKR1B1|231	325.414
AKR1C1|1645	22.1311	AKR1C1|1645	1040.3168
AKR1C2|1646	35.2459	AKR1C2|1646	96.4723
AKR1C3|8644	77.8689	AKR1C3|8644	674.2261
lowly_expressed	lowly_expressed	AKR1C4|1109	37.797
AKR7A2|8574	2174.5902	AKR7A2|8574	767.0986
AKR7A3|22977	5086.0656	AKR7A3|22977	876.8898
AKR7L|246181	307.377	AKR7L|246181	80.9935
AKT1S1|84335	2504.0984	AKT1S1|84335	2227.8618
AKT1|207	4463.1148	AKT1|207	5017.6386
AKT2|208	2177.0492	AKT2|208	1290.8567
AKT3|10000	526.2295	AKT3|10000	197.2642
AKTIP|64400	685.0246	AKTIP|64400	551.9726
ALAD|210	786.8852	ALAD|210	717.4226
ALAS1|211	968.8525	ALAS1|211	816.7747
lowly_expressed	lowly_expressed	ALB|213	32109.0713
ALCAM|214	7705.7377	ALCAM|214	2853.4917
ALDH16A1|126133	96.7213	ALDH16A1|126133	267.8186
ALDH18A1|5832	1813.1148	ALDH18A1|5832	898.4881
ALDH1A1|216	120.4918	ALDH1A1|216	639.6688
lowly_expressed	lowly_expressed	ALDH1A2|8854	29.1577
