gene_id	TCGA-E2-A1L7-01A-11R-A144-07	gene_id	TCGA-E2-A1L7-11A-33R-A144-07
ALG10B|144245	405.1923	ALG10B|144245	314.3322
ALG10|84920	133.4466	ALG10|84920	105.0489
ALG11|440138	34.4535	ALG11|440138	14.2508
ALG12|79087	561.4461	ALG12|79087	462.9479
ALG13|79868	478.4666	ALG13|79868	450.3257
ALG14|199857	226.6165	ALG14|199857	160.8306
ALG1L|200810	12.6071	lowly_expressed	lowly_expressed
ALG1|56052	434.20599999999996	ALG1|56052	438.8884
ALG2|85365	578.4302	ALG2|85365	704.3974
ALG3|10195	952.5658	ALG3|10195	543.5668
ALG5|29880	667.2328	ALG5|29880	528.0945
ALG6|29929	650.734	ALG6|29929	272.8013
ALG8|79053	850.6612	ALG8|79053	674.6743
ALG9|79796	465.8498	ALG9|79796	492.2638
ALKBH1|8846	208.1766	ALKBH1|8846	291.1238
ALKBH2|121642	691.0106	ALKBH2|121642	366.4495
ALKBH3|221120	286.3035	ALKBH3|221120	376.2215
ALKBH4|54784	167.83700000000002	ALKBH4|54784	218.4935
ALKBH5|54890	1905.0103	ALKBH5|54890	1834.8982
ALKBH6|84964	80.5532	ALKBH6|84964	78.1759
ALKBH7|84266	397.9134	ALKBH7|84266	513.0293
ALKBH8|91801	146.0633	ALKBH8|91801	257.7362
ALK|238	6.7936	ALK|238	7.329
