gene_id	TCGA-BH-A208-01A-11R-A157-07	gene_id	TCGA-BH-A208-11A-51R-A157-07
ADRBK1|156	1421.9414	ADRBK1|156	1409.4617
ADRBK2|157	566.0747	ADRBK2|157	1418.0852
ADRM1|11047	1044.1225	ADRM1|11047	712.8753
ADSL|158	1062.4251	ADSL|158	1073.1456
ADSSL1|122622	84.105	ADSSL1|122622	103.1625
ADSS|159	1460.2898	ADSS|159	1404.3515
AEBP1|165	74801.6124	AEBP1|165	3645.5011
AEBP2|121536	508.9879	AEBP2|121536	952.4167
AEN|64782	750.4085	AEN|64782	649.3169
AES|166	5772.7421	AES|166	4404.3683
AFAP1L1|134265	716.4179	AFAP1L1|134265	250.0812
AFAP1L2|84632	456.6946	AFAP1L2|84632	1063.8833
AFAP1|60312	2567.1511	AFAP1|60312	1767.4771
AFF1|4299	1676.8711	AFF1|4299	2580.979
AFF2|2334	100.2288	AFF2|2334	44.0756
AFF3|3899	84.9766	AFF3|3899	2170.5647
AFF4|27125	2887.8963	AFF4|27125	5556.4028
AFG3L1|172	130.2974	AFG3L1|172	239.5414
AFG3L2|10939	1249.269	AFG3L2|10939	1730.8018
AFMID|125061	360.3878	AFMID|125061	522.2003
AFP|174	10.0229	AFP|174	125.8391
AFTPH|54812	1152.631	AFTPH|54812	2080.4971
AG2|387763	261.0306	AG2|387763	349.0917
AGAP11|119385	26.5824	AGAP11|119385	131.2719
AGAP1|116987	399.6078	AGAP1|116987	802.3041
AGAP2|116986	142.2551	AGAP2|116986	83.7245
AGAP3|116988	839.7429	lowly_expressed	lowly_expressed
AGAP4|119016	81.0546	AGAP4|119016	210.7965
AGAP5|729092	20.2157	AGAP5|729092	94.2356
AGAP6|414189	37.0411	AGAP6|414189	135.4208
AGAP7|653268	7.844	AGAP7|653268	37.0491
AGAP8|728404	13.0733	AGAP8|728404	44.0756
AGA|175	466.7175	AGA|175	498.2462
lowly_expressed	lowly_expressed	AGBL2|79841	28.745
lowly_expressed	lowly_expressed	AGBL3|340351	8.3041
lowly_expressed	lowly_expressed	AGBL4|84871	6.0684
AGBL5|60509	455.8231	AGBL5|60509	873.5405
AGER|177	15.688	AGER|177	36.4103
AGFG1|3267	1616.2981	AGFG1|3267	1760.7891
AGFG2|3268	232.7051	AGFG2|3268	447.4634
AGGF1|55109	769.5827	AGGF1|55109	1004.477
AGK|55750	549.5152	AGK|55750	561.1657
AGL|178	621.4185	AGL|178	1294.8012
AGMAT|79814	23.9678	AGMAT|79814	18.8439
AGPAT1|10554	2591.5895	AGPAT1|10554	1413.5243
AGPAT2|10555	1013.1823	AGPAT2|10555	802.3041
AGPAT3|56894	1310.3824	AGPAT3|56894	1358.9983
AGPAT4|56895	531.6483	AGPAT4|56895	261.5792
AGPAT5|55326	779.6056	AGPAT5|55326	803.901
AGPAT6|137964	1275.0844	AGPAT6|137964	2273.7272
AGPAT9|84803	37.9126	AGPAT9|84803	328.9702
AGPHD1|123688	74.0821	AGPHD1|123688	78.2502
AGPS|8540	1855.104	AGPS|8540	1026.5148
AGR2|10551	1793.2237	AGR2|10551	2449.0715
AGR3|155465	27.8897	AGR3|155465	823.7031
AGRN|375790	2538.8387	AGRN|375790	2824.6724
AGTPBP1|23287	374.3327	AGTPBP1|23287	454.1705
AGTR1|185	242.728	AGTR1|185	252.6364
AGTRAP|57085	499.8366	AGTRAP|57085	379.4336
AGT|183	297.6359	AGT|183	89.4288
AGXT2L2|85007	265.1095	AGXT2L2|85007	424.5536
AHCTF1|25909	1160.475	AHCTF1|25909	1939.6467
AHCYL1|10768	3434.7968	AHCYL1|10768	4086.896
AHCYL2|23382	584.3774	AHCYL2|23382	862.9879
AHCY|191	2902.7127	AHCY|191	3801.3627
AHDC1|27245	776.991	AHDC1|27245	1081.4497
AHI1|54806	276.2828	AHI1|54806	540.0861
AHNAK2|113146	8192.1778	AHNAK2|113146	880.2349
AHNAK|79026	43360.2789	AHNAK|79026	73078.9776
AHRR|57491	61.8804	AHRR|57491	34.8134
AHR|196	2800.305	AHR|196	2976.0626
AHSA1|10598	1857.2829	AHSA1|10598	1357.7208
AHSA2|130872	111.559	AHSA2|130872	618.6556
AIDA|64853	1988.587	AIDA|64853	704.6414
AIF1L|83543	464.1028	AIF1L|83543	2984.0473
AIF1|199	547.3363	AIF1|199	231.8761
