gene_id	TCGA-AC-A2FB-01A-11R-A17B-07	gene_id	TCGA-AC-A2FB-11A-13R-A17B-07
ALDH1A1|216	676.2298	ALDH1A1|216	3806.643
ALDH1A2|8854	42.467	ALDH1A2|8854	476.8828
ALDH1A3|220	424.1575	ALDH1A3|220	2388.3467
ALDH1B1|219	441.2027	ALDH1B1|219	682.2489999999999
ALDH1L1|10840	22.3681	ALDH1L1|10840	438.6961
ALDH1L2|160428	163.0602	ALDH1L2|160428	342.4776
ALDH2|217	3905.9891	ALDH2|217	8616.9648
ALDH3A1|218	12.6428	ALDH3A1|218	61.3393
ALDH3A2|224	2736.6885	ALDH3A2|224	3073.8792
ALDH3B1|221	327.7413	ALDH3B1|221	300.0813
ALDH3B2|222	3616.8247	ALDH3B2|222	514.4681
ALDH4A1|8659	743.6583	ALDH4A1|8659	1025.6287
ALDH5A1|7915	629.8728	ALDH5A1|7915	586.3313
ALDH6A1|4329	608.9505	ALDH6A1|4329	462.0952
ALDH7A1|501	1240.6192	ALDH7A1|501	2133.9451
ALDH8A1|64577	12.6428	ALDH8A1|64577	7.2164
ALDH9A1|223	3658.6433	ALDH9A1|223	4113.64
ALDOA|226	44503.1202	ALDOA|226	14783.3656
lowly_expressed	lowly_expressed	ALDOB|229	6.3143
ALDOC|230	233.4063	ALDOC|230	1567.7596
ALG10B|144245	316.07099999999997	ALG10B|144245	291.3615
ALG10|84920	124.8075	ALG10|84920	84.4918
ALG11|440138	22.0439	ALG11|440138	8.1184
ALG12|79087	662.9386	ALG12|79087	505.1469
ALG13|79868	480.4279	ALG13|79868	383.9718
ALG14|199857	210.71400000000003	ALG14|199857	193.6397
ALG1L|200810	5.6439	ALG1L|200810	12.9324
ALG1|56052	639.7439	ALG1|56052	486.4114
ALG2|85365	1036.3887	ALG2|85365	871.6791
ALG3|10195	755.0045	ALG3|10195	548.4452
ALG5|29880	615.2849	ALG5|29880	637.4473
ALG6|29929	398.4115	ALG6|29929	247.7625
ALG8|79053	592.2684	ALG8|79053	710.8139
ALG9|79796	909.3119	ALG9|79796	655.789
ALKBH1|8846	226.2744	ALKBH1|8846	206.8697
ALKBH2|121642	228.8678	ALKBH2|121642	281.439
ALKBH3|221120	333.2523	ALKBH3|221120	417.6483
ALKBH4|54784	186.8806	ALKBH4|54784	228.4707
ALKBH5|54890	1667.7786	ALKBH5|54890	2439.5229
ALKBH6|84964	72.2911	ALKBH6|84964	61.64
ALKBH7|84266	316.7193	ALKBH7|84266	420.9558
ALKBH8|91801	244.1041	ALKBH8|91801	273.6213
ALK|238	13.2912	ALK|238	13.5307
ALMS1P|200420	12.967	lowly_expressed	lowly_expressed
ALMS1|7840	968.9602	ALMS1|7840	620.3084
