gene_id	TCGA-BH-A0DV-01A-21R-A12P-07	gene_id	TCGA-BH-A0DV-11A-22R-A12P-07
AIM1|202	1806.7108	AIM1|202	5564.9867
AIM2|9447	14.2847	lowly_expressed	lowly_expressed
AIMP1|9255	855.5167	AIMP1|9255	1275.2686
AIMP2|7965	317.1639	AIMP2|7965	268.2162
AIP|9049	1059.445	AIP|9049	605.1061
AJAP1|55966	11.6063	AJAP1|55966	18.2361
AK1|203	646.6781	AK1|203	371.3528
AK2|204	1848.3744	AK2|204	2046.7507
AK3L1|205	193.438	AK3L1|205	573.6074
AK3|50808	1294.2489	AK3|50808	1628.3156
AK5|26289	618.4064	AK5|26289	3516.9098
AK7|122481	33.0333	AK7|122481	68.3024
AKAP10|11216	398.7799	AKAP10|11216	614.0584
AKAP11|11215	1590.3579	AKAP11|11215	2662.7984
AKAP12|9590	4100.5878	AKAP12|9590	1841.1804
AKAP13|11214	4830.2954	AKAP13|11214	4812.0027
AKAP1|8165	995.4616	AKAP1|8165	3277.5199
AKAP2|11217	1880.3274	AKAP2|11217	2668.0272
AKAP3|10566	15.7726	AKAP3|10566	43.7666
AKAP5|9495	269.0276	AKAP5|9495	198.939
AKAP6|9472	76.1848	AKAP6|9472	354.443
AKAP7|9465	129.7523	AKAP7|9465	187.0027
AKAP8L|26993	680.9017	AKAP8L|26993	873.6737
AKAP8|10270	435.9795	AKAP8|10270	841.5119
AKAP9|10142	3106.3165	AKAP9|10142	3492.0424
AKD1|221264	89.2791	AKD1|221264	212.8647
AKIRIN1|79647	943.0846	AKIRIN1|79647	1521.2202
AKIRIN2|55122	556.5062	AKIRIN2|55122	536.4721
lowly_expressed	lowly_expressed	AKNAD1|254268	6.2997
AKNA|80709	569.3029	AKNA|80709	508.2891
AKR1A1|10327	2307.5664	AKR1A1|10327	1776.5252
AKR1B10|57016	5.3567	AKR1B10|57016	13.2626
AKR1B15|441282	6.5471	AKR1B15|441282	605.7692
AKR1B1|231	1143.9625	AKR1B1|231	816.9761
AKR1C1|1645	417.8261	AKR1C1|1645	1065.9814
AKR1C2|1646	486.5709	AKR1C2|1646	181.36599999999999
AKR1C3|8644	902.909	AKR1C3|8644	557.6923
lowly_expressed	lowly_expressed	AKR1D1|6718	192.3077
AKR1E2|83592	12.4991	AKR1E2|83592	26.5252
AKR7A2|8574	1428.1675	AKR7A2|8574	872.0159
AKR7A3|22977	496.3916	AKR7A3|22977	532.4934
AKR7L|246181	9.8207	AKR7L|246181	26.5252
AKT1S1|84335	847.2584	AKT1S1|84335	532.8249
AKT1|207	3816.9779	AKT1|207	2483.4218
AKT2|208	2056.3946	AKT2|208	1991.7109
AKT3|10000	1104.0845	AKT3|10000	1282.4934
AKTIP|64400	445.702	AKTIP|64400	585.5603
ALAD|210	1570.7165	ALAD|210	1744.695
ALAS1|211	1176.9958	ALAS1|211	789.7878
ALAS2|212	17.8558	ALAS2|212	6.2997
ALB|213	17.8558	ALB|213	145.8886
ALCAM|214	3522.9522	ALCAM|214	10437.6658
ALDH16A1|126133	608.2881	ALDH16A1|126133	346.81699999999995
ALDH18A1|5832	3305.4088	ALDH18A1|5832	1768.2361
ALDH1A1|216	1540.6592	ALDH1A1|216	1977.7851
ALDH1A2|8854	95.8262	ALDH1A2|8854	116.7109
ALDH1A3|220	1051.2968	ALDH1A3|220	6201.7971
ALDH1B1|219	1160.9255	ALDH1B1|219	449.6021
ALDH1L1|10840	105.0517	ALDH1L1|10840	110.7427
ALDH1L2|160428	961.8332	ALDH1L2|160428	193.3024
ALDH2|217	5157.3544	ALDH2|217	3215.1857
lowly_expressed	lowly_expressed	ALDH3A1|218	49.7347
ALDH3A2|224	1561.1934	ALDH3A2|224	2000.6631
ALDH3B1|221	192.2476	ALDH3B1|221	122.0159
ALDH3B2|222	3928.2791	ALDH3B2|222	6066.9761
ALDH4A1|8659	924.6336	ALDH4A1|8659	1029.5093
ALDH5A1|7915	428.5395	ALDH5A1|7915	601.7905
ALDH6A1|4329	654.4632	ALDH6A1|4329	637.9973
ALDH7A1|501	1367.4578	ALDH7A1|501	2964.5225
ALDH8A1|64577	8.6303	ALDH8A1|64577	13.2626
ALDH9A1|223	4091.3622	ALDH9A1|223	2524.8674
ALDOA|226	22773.6032	ALDOA|226	11938.992
ALDOC|230	220.2217	ALDOC|230	539.7878
ALG10B|144245	238.6727	ALG10B|144245	339.8541
ALG10|84920	90.4695	ALG10|84920	145.2255
ALG11|440138	13.6895	ALG11|440138	12.2679
ALG12|79087	655.9036	ALG12|79087	358.0902
ALG13|79868	358.0091	ALG13|79868	581.565
ALG14|199857	202.3659	ALG14|199857	159.4828
ALG1|56052	762.1844	ALG1|56052	312.5995
ALG2|85365	755.5985	ALG2|85365	797.4138
ALG3|10195	638.643	ALG3|10195	424.4032
ALG5|29880	613.3472	ALG5|29880	538.4615
ALG6|29929	355.9259	ALG6|29929	363.7268
ALG8|79053	811.2492	ALG8|79053	832.8912
ALG9|79796	467.8223	ALG9|79796	537.7984
ALKBH1|8846	281.5267	ALKBH1|8846	315.6499
ALKBH2|121642	203.2587	ALKBH2|121642	282.1618
ALKBH3|221120	244.9223	ALKBH3|221120	356.4324
ALKBH4|54784	210.2433	ALKBH4|54784	173.3389
ALKBH5|54890	2206.7078	ALKBH5|54890	1924.307
ALKBH6|84964	50.5915	ALKBH6|84964	45.0928
ALKBH7|84266	469.0127	ALKBH7|84266	285.1459
