gene_id	TCGA-BH-A0DL-01A-11R-A115-07	gene_id	TCGA-BH-A0DL-11A-13R-A115-07
lowly_expressed	lowly_expressed	AGXT2L1|64850	10.712
AGXT2L2|85007	432.2174	AGXT2L2|85007	623.2451
AHCTF1|25909	2281.6553	AHCTF1|25909	1519.5337
AHCYL1|10768	4203.2119	AHCYL1|10768	4077.5047
AHCYL2|23382	957.0723	AHCYL2|23382	709.8299
AHCY|191	3125.386	AHCY|191	2253.3081
AHDC1|27245	1518.2211	AHDC1|27245	1153.7492
AHI1|54806	218.0358	AHI1|54806	510.397
AHNAK2|113146	10182.8289	AHNAK2|113146	1304.9779
AHNAK|79026	41366.5843	AHNAK|79026	101000.6301
AHRR|57491	10.1915	AHRR|57491	24.2596
AHR|196	8705.3737	AHR|196	4331.758
AHSA1|10598	2107.7826	AHSA1|10598	1526.15
AHSA2|130872	484.2495	AHSA2|130872	920.6049
AIDA|64853	1108.8882	AIDA|64853	1130.1985
AIF1L|83543	322.1124	AIF1L|83543	2491.1783
AIF1|199	1081.5318	AIF1|199	574.9842
AIFM1|9131	1337.8629	AIFM1|9131	742.5961
AIFM2|84883	224.8301	AIFM2|84883	1024.5747
AIFM3|150209	18.2211	AIFM3|150209	13.1758
AIG1|51390	652.8721	AIG1|51390	795.5261
AIM1L|55057	548.7956	lowly_expressed	lowly_expressed
AIM1|202	2868.7461	AIM1|202	3068.0529
AIM2|9447	568.252	AIM2|9447	33.0813
AIMP1|9255	1189.3484	AIMP1|9255	960.3781
AIMP2|7965	471.6152	AIMP2|7965	266.8084
AIP|9049	868.7461	AIP|9049	748.8973
lowly_expressed	lowly_expressed	AJAP1|55966	22.6843
AK1|203	600.3706	AK1|203	525.5198
AK2|204	8404.5707	AK2|204	2032.7662
AK3L1|205	345.5837	AK3L1|205	503.4657
AK3|50808	1054.3545	AK3|50808	1905.7971
AK5|26289	8.6473	AK5|26289	2001.2602
lowly_expressed	lowly_expressed	AK7|122481	31.821
AKAP10|11216	267.1402	AKAP10|11216	527.4102
