gene_id	TCGA-BH-A0C0-01A-21R-A056-07	gene_id	TCGA-BH-A0C0-11A-21R-A089-07
ADAMTS17|170691	26.0393	ADAMTS17|170691	90.065
lowly_expressed	lowly_expressed	ADAMTS18|170692	48.5918
ADAMTS19|171019	6.8524	lowly_expressed	lowly_expressed
ADAMTS1|9510	333.0288	ADAMTS1|9510	2405.4472
ADAMTS2|9509	422.1106	ADAMTS2|9509	355.6175
ADAMTS3|9508	17.8164	ADAMTS3|9508	58.4958
ADAMTS4|9507	890.3609	ADAMTS4|9507	79.5419
ADAMTS5|11096	90.4523	ADAMTS5|11096	2963.7883
ADAMTS6|11174	30.1508	ADAMTS6|11174	10.2136
ADAMTS7|11173	110.5528	ADAMTS7|11173	35.5927
lowly_expressed	lowly_expressed	ADAMTS8|11095	62.8288
ADAMTS9|56999	173.5952	ADAMTS9|56999	557.1031
ADAMTSL1|92949	115.1211	ADAMTSL1|92949	120.7057
ADAMTSL2|9719	62.5857	ADAMTSL2|9719	30.0217
ADAMTSL3|57188	38.8305	ADAMTSL3|57188	125.6577
ADAMTSL4|54507	310.1873	ADAMTSL4|54507	324.3578
ADAMTSL5|339366	142.9877	ADAMTSL5|339366	34.6642
ADAP1|11033	563.0836	ADAP1|11033	108.7651
ADAP2|55803	360.4386	ADAP2|55803	133.7047
ADARB1|104	466.8799	ADARB1|104	790.7768
ADARB2|105	17.3595	lowly_expressed	lowly_expressed
ADAR|103	10514.847	ADAR|103	9452.4915
ADAT1|23536	233.8968	ADAT1|23536	301.1452
ADAT2|134637	277.7524	ADAT2|134637	213.2467
ADAT3|113179	190.0411	ADAT3|113179	29.7122
ADA|100	316.1261	ADA|100	72.7329
ADCK1|57143	161.2608	ADCK1|57143	130.9192
ADCK2|90956	930.6304	ADCK2|90956	790.7768
ADCK4|79934	326.1763	ADCK4|79934	447.849
ADCK5|203054	578.8031	ADCK5|203054	90.684
ADCY1|107	102.3298	ADCY1|107	630.455
ADCY2|108	151.2106	ADCY2|108	351.2844
ADCY3|109	933.4354	ADCY3|109	1223.4448
ADCY4|196883	69.8949	ADCY4|196883	274.8375
ADCY5|111	412.0603	ADCY5|111	549.9845
ADCY6|112	631.3385	ADCY6|112	2349.7369
ADCY7|113	990.4066	ADCY7|113	421.5413
ADCY9|115	1569.2097	ADCY9|115	1137.1093
lowly_expressed	lowly_expressed	ADCYAP1R1|117	32.1882
ADCYAP1|116	5.0251	lowly_expressed	lowly_expressed
ADC|113451	133.8511	ADC|113451	184.7725
ADD1|118	2253.5404	ADD1|118	6376.3541
ADD2|119	21.0142	ADD2|119	49.8298
ADD3|120	2240.7492	ADD3|120	3564.5311
lowly_expressed	lowly_expressed	ADH1A|124	46.2024
ADH1B|125	102.7867	ADH1B|125	5358.403
ADH1C|126	100.9593	ADH1C|126	128.7527
lowly_expressed	lowly_expressed	ADH4|127	25.0696
ADH5|128	2184.1023	ADH5|128	3168.9879
ADH7|131	254.9109	ADH7|131	21.3556
