gene_id	TCGA-E9-A1R7-01A-11R-A14M-07	gene_id	TCGA-E9-A1R7-11A-42R-A14M-07
AHCYL1|10768	3117.5229	AHCYL1|10768	6183.657
AHCYL2|23382	1360.6615	AHCYL2|23382	885.5178
AHCY|191	2790.9923	AHCY|191	1446.6019
AHDC1|27245	375.7917	AHDC1|27245	548.9482
AHI1|54806	3858.9022	AHI1|54806	499.1909
AHNAK2|113146	2825.475	AHNAK2|113146	2876.6181
AHNAK|79026	20966.5728	AHNAK|79026	225132.2816
AHRR|57491	18.297	AHRR|57491	9.3042
AHR|196	812.8079	AHR|196	2753.6408
AHSA1|10598	1404.6446	AHSA1|10598	1267.3948
AHSA2|130872	323.7157	AHSA2|130872	540.4531
AIDA|64853	1860.7671	AIDA|64853	2478.9887
AIF1L|83543	3637.931	AIF1L|83543	2539.2395
AIF1|199	70.0211	AIF1|199	739.4822
AIFM1|9131	1242.7868	AIFM1|9131	743.932
AIFM2|84883	174.525	AIFM2|84883	2474.5146
AIFM3|150209	47.1182	AIFM3|150209	7.589
AIG1|51390	781.14	AIG1|51390	1267.3948
AIM1|202	990.1478	AIM1|202	2629.0453
removed	removed	AIM2|9447	12.1359
AIMP1|9255	1927.8642	AIMP1|9255	1039.2395
AIMP2|7965	399.0113	AIMP2|7965	232.9045
AIP|9049	724.1379	AIP|9049	617.7184
removed	removed	AJAP1|55966	18.2039
AK1|203	337.0866	AK1|203	510.5178
AK2|204	1887.0514	AK2|204	1780.7443
AK3L1|205	72.836	AK3L1|205	791.2621
AK3|50808	1171.0063	AK3|50808	3774.2718
AK5|26289	10.9078	AK5|26289	382.2816
AK7|122481	61.9282	AK7|122481	24.2718
AKAP10|11216	402.1816	AKAP10|11216	684.8706
AKAP11|11215	2950.0352	AKAP11|11215	3024.2718
AKAP12|9590	586.5588	AKAP12|9590	11607.2006
AKAP13|11214	2838.494	AKAP13|11214	4681.6343
AKAP1|8165	2839.1977	AKAP1|8165	2363.2686
AKAP2|11217	256.6749	AKAP2|11217	2867.7589
AKAP3|10566	8.4448	AKAP3|10566	33.5761
AKAP5|9495	41.1682	AKAP5|9495	60.2751
AKAP6|9472	32.0197	AKAP6|9472	235.4369
AKAP7|9465	73.1879	AKAP7|9465	336.9741
AKAP8L|26993	786.0662	AKAP8L|26993	470.8738
AKAP8|10270	945.1091	AKAP8|10270	445.7929
AKAP9|10142	3213.582	AKAP9|10142	2867.3139
AKD1|221264	174.1731	AKD1|221264	181.2298
AKIRIN1|79647	6582.3364	AKIRIN1|79647	1345.0647
AKIRIN2|55122	528.5011	AKIRIN2|55122	961.9741
AKNA|80709	232.9346	AKNA|80709	842.233
AKR1A1|10327	1062.2801	AKR1A1|10327	1157.767
removed	removed	AKR1B10|57016	6.4725
removed	removed	AKR1B15|441282	34.7896
AKR1B1|231	153.0612	AKR1B1|231	1240.6958
AKR1C1|1645	55.9465	AKR1C1|1645	8138.3495
AKR1C2|1646	38.0014	AKR1C2|1646	7954.6926
AKR1C3|8644	112.5968	AKR1C3|8644	4759.3042
removed	removed	AKR1E2|83592	29.9353
AKR7A2|8574	412.3856	AKR7A2|8574	695.3883
removed	removed	AKR7A3|22977	8.8997
AKT1S1|84335	496.8332	AKT1S1|84335	594.6602
AKT1|207	7387.7551	AKT1|207	2410.1942
AKT2|208	1124.2083	AKT2|208	2562.2977
AKT3|10000	327.2343	AKT3|10000	2005.6634
AKTIP|64400	315.0211	AKTIP|64400	886.2338
ALAD|210	1312.1042	ALAD|210	3747.1683
ALAS1|211	616.8191	ALAS1|211	1129.8544
removed	removed	ALAS2|212	9.3042
removed	removed	ALB|213	234.6278
ALCAM|214	1839.5496	ALCAM|214	1661.4078
ALDH16A1|126133	275.1583	ALDH16A1|126133	356.7961
ALDH18A1|5832	1671.0063	ALDH18A1|5832	1045.712
ALDH1A1|216	146.7277	ALDH1A1|216	6070.3883
ALDH1A2|8854	59.1133	ALDH1A2|8854	773.0583
ALDH1A3|220	182.5651	ALDH1A3|220	1746.7516
ALDH1B1|219	416.608	ALDH1B1|219	720.4693
removed	removed	ALDH1L1|10840	1975.7282
ALDH1L2|160428	251.5834	ALDH1L2|160428	689.3204
ALDH2|217	1877.9029	ALDH2|217	18852.7508
removed	removed	ALDH3A1|218	25.4854
ALDH3A2|224	1499.6481	ALDH3A2|224	5135.9223
ALDH3B1|221	189.3033	ALDH3B1|221	256.068
ALDH3B2|222	560.5208	ALDH3B2|222	143.6084
ALDH4A1|8659	831.4567	ALDH4A1|8659	3241.5049
ALDH5A1|7915	2152.7094	ALDH5A1|7915	1017.7994
ALDH6A1|4329	306.1084	ALDH6A1|4329	948.5761
ALDH7A1|501	495.7776	ALDH7A1|501	1555.0162
ALDH8A1|64577	16.5376	ALDH8A1|64577	18.6084
ALDH9A1|223	3593.2442	ALDH9A1|223	4302.1845
ALDOA|226	15546.4462	ALDOA|226	9802.9935
removed	removed	ALDOB|229	13.754000000000001
ALDOC|230	467.9803	ALDOC|230	1973.7055
ALG10B|144245	360.6615	ALG10B|144245	397.6537
ALG10|84920	132.6531	ALG10|84920	147.2492
ALG11|440138	35.1865	ALG11|440138	10.9223
ALG12|79087	567.9099	ALG12|79087	292.4757
ALG13|79868	517.9451	ALG13|79868	482.6052
ALG14|199857	162.5616	ALG14|199857	235.8414
ALG1L|200810	290.5032	removed	removed
ALG1|56052	900.0880000000001	ALG1|56052	357.4555
ALG2|85365	1207.6003	ALG2|85365	732.6052
ALG3|10195	666.4321	ALG3|10195	332.9288
ALG5|29880	990.8515	ALG5|29880	630.2589
ALG6|29929	414.4968	ALG6|29929	242.7184
ALG8|79053	1607.3188	ALG8|79053	904.1262
ALG9|79796	339.9015	ALG9|79796	862.8641
ALKBH1|8846	173.1175	ALKBH1|8846	221.6828
ALKBH2|121642	79.5215	ALKBH2|121642	152.9126
ALKBH3|221120	385.9958	ALKBH3|221120	280.7443
ALKBH4|54784	168.3709	ALKBH4|54784	140.2427
ALKBH5|54890	1380.6122	ALKBH5|54890	1989.4134
ALKBH6|84964	52.076	ALKBH6|84964	41.2621
ALKBH7|84266	379.6622	ALKBH7|84266	169.0939
ALKBH8|91801	309.6411	ALKBH8|91801	338.1877
ALMS1|7840	911.6819	ALMS1|7840	940.9385
ALOX12P2|245	20.4082	removed	removed
ALOX15B|247	7.0373	ALOX15B|247	22.2492
ALOX15|246	486.981	removed	removed
ALOX5AP|241	33.4272	ALOX5AP|241	610.4369
ALOX5|240	46.0943	ALOX5|240	334.9515
ALOXE3|59344	100.2815	removed	removed
ALPK1|80216	687.544	ALPK1|80216	582.5243
removed	removed	ALPK2|115701	27.5081
ALPK3|57538	110.1337	ALPK3|57538	608.0097
ALPL|249	135.468	ALPL|249	1315.9385
ALS2CL|259173	81.6327	ALS2CL|259173	308.657
ALS2CR11|151254	8.7966	ALS2CR11|151254	14.1586
removed	removed	ALS2CR12|130540	12.5405
ALS2CR4|65062	714.9894	ALS2CR4|65062	1082.9288
ALS2CR8|79800	192.822	ALS2CR8|79800	224.11
ALS2|57679	1039.7607	ALS2|57679	756.4725
removed	removed	ALX1|8092	7.2816
ALX3|257	19.3526	ALX3|257	25.89
removed	removed	ALX4|60529	22.2492
AMACR|23600	494.722	AMACR|23600	301.3754
AMBP|259	6.3336	removed	removed
AMBRA1|55626	869.81	AMBRA1|55626	686.8932
AMD1|262	2952.4982	AMD1|262	1618.5275
AMDHD1|144193	16.1858	AMDHD1|144193	9.7087
AMDHD2|51005	155.1091	AMDHD2|51005	101.6545
AMFR|267	1758.2688	AMFR|267	2824.4337
AMICA1|120425	36.9458	AMICA1|120425	203.8835
