gene_id	TCGA-BH-A0DK-01A-21R-A056-07	gene_id	TCGA-BH-A0DK-11A-13R-A089-07
AKIRIN1|79647	1047.7048	AKIRIN1|79647	1466.7347
AKIRIN2|55122	820.8821	AKIRIN2|55122	475.4063
AKNA|80709	1369.0369	AKNA|80709	487.357
AKR1A1|10327	2701.1701	AKR1A1|10327	6930.5545
AKR1B10|57016	1411.3411	AKR1B10|57016	140.4941
AKR1B15|441282	7.2007	AKR1B15|441282	2311.7394
AKR1B1|231	1078.3078	AKR1B1|231	1111.7103
AKR1C1|1645	3193.9694	AKR1C1|1645	710.4744
AKR1C2|1646	1130.063	AKR1C2|1646	4545.6533
AKR1C3|8644	1259.6760000000002	AKR1C3|8644	1801.9384
lowly_expressed	lowly_expressed	AKR1D1|6718	617.6492
AKR1E2|83592	13.5014	AKR1E2|83592	43.2967
AKR7A2|8574	742.1242	AKR7A2|8574	958.0995
lowly_expressed	lowly_expressed	AKR7A3|22977	344.8226
AKR7L|246181	6.7507	AKR7L|246181	21.2781
AKT1S1|84335	1659.3159	AKT1S1|84335	799.5336
AKT1|207	5252.0252	AKT1|207	3368.9427
AKT2|208	3151.2151	AKT2|208	2083.218
AKT3|10000	592.7093	AKT3|10000	656.1248
AKTIP|64400	351.4356	AKTIP|64400	557.6477
ALAD|210	847.8848	ALAD|210	1502.0039
ALAS1|211	749.775	ALAS1|211	800.4081
ALB|213	11.2511	ALB|213	529.3303
ALCAM|214	3130.5131	ALCAM|214	10480.7987
ALDH16A1|126133	816.8317	ALDH16A1|126133	533.7025
ALDH18A1|5832	2478.3978	ALDH18A1|5832	2249.0709
ALDH1A1|216	805.5806	ALDH1A1|216	620.2725
ALDH1A2|8854	83.2583	ALDH1A2|8854	149.53
ALDH1A3|220	439.8785	ALDH1A3|220	2317.0735
ALDH1B1|219	885.2385	ALDH1B1|219	374.8452
ALDH1L1|10840	67.5068	ALDH1L1|10840	53.9241
ALDH1L2|160428	424.8425	ALDH1L2|160428	261.7503
ALDH2|217	3709.2709	ALDH2|217	893.0992
ALDH3A1|218	1540.0539999999999	ALDH3A1|218	126.7944
ALDH3A2|224	1433.8434	ALDH3A2|224	2116.4468
ALDH3B1|221	228.1728	ALDH3B1|221	155.3596
ALDH3B2|222	3621.0621	ALDH3B2|222	22959.4112
ALDH4A1|8659	424.8425	ALDH4A1|8659	2154.6309
ALDH5A1|7915	502.7003	ALDH5A1|7915	592.8733
ALDH6A1|4329	466.0396	ALDH6A1|4329	788.4136
ALDH7A1|501	1407.7408	ALDH7A1|501	3698.8997
ALDH8A1|64577	13.0513	ALDH8A1|64577	16.0315
ALDH9A1|223	2383.8884	ALDH9A1|223	2921.8101
ALDOA|226	28172.8173	ALDOA|226	21232.9666
ALDOC|230	283.0783	ALDOC|230	427.3118
ALG10B|144245	250.6751	ALG10B|144245	356.7733
ALG10|84920	77.4077	ALG10|84920	145.7407
ALG11|440138	14.8515	ALG11|440138	11.0763
ALG12|79087	540.054	ALG12|79087	545.6533
ALG13|79868	540.5041	ALG13|79868	592.5818
ALG14|199857	230.423	ALG14|199857	213.6559
ALG1L|200810	176.6607	lowly_expressed	lowly_expressed
ALG1|56052	810.2835	ALG1|56052	584.1667
ALG2|85365	1003.1503	ALG2|85365	992.7858
ALG3|10195	1300.18	ALG3|10195	713.5466
ALG5|29880	568.4068	ALG5|29880	814.9821
ALG6|29929	241.6742	ALG6|29929	420.8992
ALG8|79053	603.0603	ALG8|79053	1183.1232
ALG9|79796	387.9388	ALG9|79796	649.4207
ALKBH1|8846	417.6418	ALKBH1|8846	302.8492
ALKBH2|121642	355.5356	ALKBH2|121642	203.4541
ALKBH3|221120	147.1647	ALKBH3|221120	339.5759
ALKBH4|54784	214.8515	ALKBH4|54784	177.0196
ALKBH5|54890	2029.703	ALKBH5|54890	1967.1384
ALKBH6|84964	117.4617	ALKBH6|84964	109.59700000000001
