gene_id	TCGA-E9-A1RH-01A-21R-A169-07	gene_id	TCGA-E9-A1RH-11A-34R-A169-07
ALDH18A1|5832	2310.0468	ALDH18A1|5832	1162.4791
ALDH1A1|216	34.573	ALDH1A1|216	4760.8878
ALDH1A2|8854	12.3702	ALDH1A2|8854	443.0486
ALDH1A3|220	2280.4536	ALDH1A3|220	1011.763
ALDH1B1|219	676.8694	ALDH1B1|219	840.0335
lowly_expressed	lowly_expressed	ALDH1L1|10840	3843.8023
ALDH1L2|160428	1010.2292	ALDH1L2|160428	461.8928
ALDH2|217	157.6402	ALDH2|217	35181.742
lowly_expressed	lowly_expressed	ALDH3A1|218	11.7253
ALDH3A2|224	2003.9648	ALDH3A2|224	5061.9765
ALDH3B1|221	427.2461	ALDH3B1|221	217.7554
ALDH3B2|222	7179.7637	ALDH3B2|222	431.74199999999996
ALDH4A1|8659	724.7641	ALDH4A1|8659	3609.2965
ALDH5A1|7915	663.2305	ALDH5A1|7915	1187.1859
ALDH6A1|4329	773.8197	ALDH6A1|4329	2258.974
ALDH7A1|501	1499.6432	ALDH7A1|501	1728.2245
lowly_expressed	lowly_expressed	ALDH8A1|64577	18.4255
ALDH9A1|223	6239.3149	ALDH9A1|223	7296.4824
ALDOA|226	72025.6919	ALDOA|226	14896.5662
lowly_expressed	lowly_expressed	ALDOB|229	17.5879
ALDOC|230	663.2305	ALDOC|230	3191.7923
ALG10B|144245	401.8714	ALG10B|144245	341.7085
ALG10|84920	609.3093	ALG10|84920	121.8593
ALG11|440138	84.68799999999999	ALG11|440138	13.8191
ALG12|79087	266.7512	ALG12|79087	389.0285
ALG13|79868	345.0956	ALG13|79868	471.1055
ALG14|199857	187.7726	ALG14|199857	268.4255
ALG1|56052	636.4539	ALG1|56052	390.7454
ALG2|85365	928.7130000000001	ALG2|85365	653.2663
ALG3|10195	1873.9196	ALG3|10195	407.8727
ALG5|29880	596.3048	ALG5|29880	638.191
ALG6|29929	466.894	ALG6|29929	244.5561
ALG8|79053	573.4676	ALG8|79053	853.8526
ALG9|79796	492.5858	ALG9|79796	780.1508
ALKBH1|8846	256.9186	ALKBH1|8846	192.2111
ALKBH2|121642	189.0413	ALKBH2|121642	171.273
ALKBH3|221120	147.8075	ALKBH3|221120	353.4338
ALKBH4|54784	183.5667	ALKBH4|54784	169.8618
ALKBH5|54890	3756.955	ALKBH5|54890	2287.1817
ALKBH6|84964	147.4903	ALKBH6|84964	71.1893
ALKBH7|84266	170.6447	ALKBH7|84266	327.0519
ALKBH8|91801	163.9838	ALKBH8|91801	253.7688
lowly_expressed	lowly_expressed	ALK|238	15.0754
ALMS1|7840	1927.5236	ALMS1|7840	779.3132
ALOX12B|242	9.1983	lowly_expressed	lowly_expressed
ALOX12P2|245	6.3437	lowly_expressed	lowly_expressed
ALOX15B|247	12243.2797	ALOX15B|247	159.5477
