gene_id	TCGA-BH-A0DQ-01A-11R-A084-07	gene_id	TCGA-BH-A0DQ-11A-12R-A089-07
ALG12|79087	382.9179	ALG12|79087	519.0397
ALG13|79868	383.3265	ALG13|79868	584.8988
ALG14|199857	198.6105	ALG14|199857	168.5646
ALG1L|200810	30.7152	lowly_expressed	lowly_expressed
ALG1|56052	916.4978	ALG1|56052	489.4756
ALG2|85365	1049.0396	ALG2|85365	1094.3643
ALG3|10195	988.1488	ALG3|10195	447.9582
ALG5|29880	727.4213	ALG5|29880	646.9863
ALG6|29929	410.2983	ALG6|29929	311.3078
ALG8|79053	1020.0245	ALG8|79053	859.6504
ALG9|79796	402.9424	ALG9|79796	687.0239999999999
ALKBH1|8846	317.5317	ALKBH1|8846	255.0228
ALKBH2|121642	285.6559	ALKBH2|121642	289.5481
ALKBH3|221120	235.7989	ALKBH3|221120	315.9498
ALKBH4|54784	279.7058	ALKBH4|54784	264.8031
ALKBH5|54890	2153.6575	ALKBH5|54890	2130.4939
ALKBH6|84964	106.2526	ALKBH6|84964	60.3467
ALKBH7|84266	658.3572	ALKBH7|84266	536.4474
ALKBH8|91801	194.9326	ALKBH8|91801	380.3583
