gene_id	TCGA-BH-A1FH-01A-12R-A13Q-07	gene_id	TCGA-BH-A1FH-11B-42R-A13Q-07
ADAP2|55803	282.3748	ADAP2|55803	417.6892
ADARB1|104	714.6064	ADARB1|104	681.4928
ADAR|103	9755.2442	ADAR|103	6314.9284
ADAT1|23536	544.6242	ADAT1|23536	261.2474
ADAT2|134637	96.9115	ADAT2|134637	103.272
ADAT3|113179	15.1715	ADAT3|113179	22.4949
ADA|100	82.9786	ADA|100	131.9018
ADCK1|57143	111.1541	ADCK1|57143	166.6667
ADCK2|90956	648.0378	ADCK2|90956	639.0593
ADCK4|79934	365.3534	ADCK4|79934	409.5092
ADCK5|203054	57.8992	ADCK5|203054	77.1984
ADCY1|107	471.2439	ADCY1|107	169.7342
ADCY2|108	163.1705	ADCY2|108	135.9918
ADCY3|109	1616.6298	ADCY3|109	1408.7526
ADCY4|196883	399.7213	ADCY4|196883	668.2004
ADCY5|111	553.9128	ADCY5|111	215.2352
ADCY6|112	1949.0673	ADCY6|112	1848.1595
ADCY7|113	611.5024	ADCY7|113	778.1186
ADCY9|115	1039.3993	ADCY9|115	702.9652
ADCYAP1R1|117	42.7278	ADCYAP1R1|117	12.2699
ADCYAP1|116	32.5103	ADCYAP1|116	12.7812
ADC|113451	205.279	ADC|113451	114.0082
ADD1|118	6306.6801	ADD1|118	6858.8957
ADD2|119	164.0994	ADD2|119	61.8609
ADD3|120	3187.2436	ADD3|120	4777.6074
ADH1A|124	15.7907	ADH1A|124	167.137
ADH1B|125	1621.4877	ADH1B|125	18967.7914
ADH1C|126	76.4765	ADH1C|126	540.8998
lowly_expressed	lowly_expressed	ADH4|127	51.636
ADH5|128	2730.2423	ADH5|128	3538.3436
ADHFE1|137872	71.2129	ADHFE1|137872	168.7117
ADI1|55256	1198.5448	ADI1|55256	2102.2495
ADIPOQ|9370	634.724	ADIPOQ|9370	7946.319
ADIPOR1|51094	2523.1055	ADIPOR1|51094	2232.1063
ADIPOR2|79602	1877.8543	ADIPOR2|79602	1935.5828
ADK|132	227.2622	ADK|132	408.4867
ADM2|79924	250.1742	ADM2|79924	41.411
ADM|133	106.2002	ADM|133	508.18
ADNP2|22850	858.5804	ADNP2|22850	789.8773
ADNP|23394	3729.0812	ADNP|23394	2296.0123
ADORA1|134	73.0707	ADORA1|134	211.6564
ADORA2A|135	71.5226	ADORA2A|135	63.9059
ADORA2B|136	18.2677	ADORA2B|136	157.9755
ADORA3|140	71.8322	ADORA3|140	89.9796
ADO|84890	658.2553	ADO|84890	698.364
ADPGK|83440	931.7347	ADPGK|83440	921.7791
ADPRHL1|113622	57.5896	ADPRHL1|113622	65.9509
ADPRHL2|54936	524.4988	ADPRHL2|54936	564.4172
ADPRH|141	454.5243	ADPRH|141	444.7853
ADRA1A|148	6.1924	ADRA1A|148	26.0736
ADRA1B|147	6.1924	ADRA1B|147	68.5072
ADRA1D|146	7.7405	lowly_expressed	lowly_expressed
ADRA2A|150	1136.0012	ADRA2A|150	683.5378
ADRA2B|151	21.9831	ADRA2B|151	22.4949
ADRA2C|152	82.0497	ADRA2C|152	95.092
lowly_expressed	lowly_expressed	ADRB1|153	28.1186
ADRB2|154	102.7943	ADRB2|154	322.5971
ADRBK1|156	1584.3332	ADRBK1|156	1861.4519
ADRBK2|157	806.2544	ADRBK2|157	1214.2127
ADRM1|11047	895.1157	ADRM1|11047	959.6115
ADSL|158	631.6278	ADSL|158	991.3088
ADSSL1|122622	154.1915	ADSSL1|122622	167.1779
ADSS|159	1333.2301	ADSS|159	1359.407
AEBP1|165	20060.3762	AEBP1|165	6991.3088
AEBP2|121536	876.2288	AEBP2|121536	1123.7219
AEN|64782	513.3524	AEN|64782	540.8998
AES|166	5899.5278	AES|166	6926.8916
AFAP1L1|134265	299.7136	AFAP1L1|134265	569.0184
AFAP1L2|84632	952.0861	AFAP1L2|84632	926.3804
AFAP1|60312	2618.1314	AFAP1|60312	1222.3875
AFF1|4299	3371.1588	AFF1|4299	2270.9611
AFF2|2334	113.3215	AFF2|2334	46.5235
AFF3|3899	4694.7906	AFF3|3899	495.3988
AFF4|27125	4753.6187	AFF4|27125	2827.7096
AFG3L1|172	208.0656	AFG3L1|172	237.7301
AFG3L2|10939	1519.2724	AFG3L2|10939	1393.2771
AFMID|125061	478.6748	AFMID|125061	472.9039
AFP|174	30.9621	AFP|174	37.8323
AFTPH|54812	2037.619	AFTPH|54812	1438.6503
AG2|387763	312.7177	AG2|387763	877.3006
AGAP11|119385	98.472	AGAP11|119385	170.2454
AGAP1|116987	414.2736	AGAP1|116987	656.953
AGAP2|116986	125.9262	AGAP2|116986	54.9642
AGAP3|116988	1181.5156	AGAP3|116988	1186.6053
AGAP4|119016	143.3547	AGAP4|119016	172.8016
AGAP5|729092	55.4904	AGAP5|729092	36.1299
AGAP6|414189	66.8782	AGAP6|414189	87.4233
AGAP7|653268	21.6735	AGAP7|653268	39.8773
AGAP8|728404	6.5021	AGAP8|728404	9.2025
AGA|175	529.1431	AGA|175	485.1738
AGBL2|79841	12.0752	AGBL2|79841	9.2025
AGBL3|340351	7.1213	AGBL3|340351	10.7362
AGBL4|84871	9.9079	AGBL4|84871	6.135
AGBL5|60509	795.1142	AGBL5|60509	806.7587
AGER|177	15.1715	AGER|177	27.0961
AGFG1|3267	1553.6806	AGFG1|3267	1870.6544
AGFG2|3268	377.4286	AGFG2|3268	602.2495
AGGF1|55109	921.1239	AGGF1|55109	872.6994
AGK|55750	532.8586	AGK|55750	478.0164
AGL|178	1504.7604	AGL|178	928.4254
AGMAT|79814	25.389	AGMAT|79814	13.8037
AGPAT1|10554	1858.4596	AGPAT1|10554	1974.8108
AGPAT2|10555	568.7747	AGPAT2|10555	1658.998
AGPAT3|56894	1855.8712	AGPAT3|56894	1539.8773
AGPAT4|56895	424.4911	AGPAT4|56895	315.9509
AGPAT5|55326	761.9785	AGPAT5|55326	653.8855
AGPAT6|137964	1816.8589	AGPAT6|137964	1720.8589
AGPAT9|84803	95.673	AGPAT9|84803	203.9877
AGPHD1|123688	50.4683	AGPHD1|123688	67.4847
AGPS|8540	1227.03	AGPS|8540	1339.4683
AGR2|10551	3116.6499	AGR2|10551	489.2638
AGR3|155465	1663.9059	AGR3|155465	464.7239
AGRN|375790	2967.4123	AGRN|375790	2849.6933
AGTPBP1|23287	360.3994	AGTPBP1|23287	422.8016
AGTR1|185	309.6215	AGTR1|185	492.3313
AGTR2|186	6.8117	lowly_expressed	lowly_expressed
AGTRAP|57085	559.486	AGTRAP|57085	669.7342
AGT|183	24.4601	AGT|183	52.6585
AGXT2L1|64850	22.2927	AGXT2L1|64850	5.1125
AGXT2L2|85007	368.044	AGXT2L2|85007	528.2055
AHCTF1|25909	1493.9237	AHCTF1|25909	1185.5828
AHCYL1|10768	4098.7693	AHCYL1|10768	3416.1554
AHCYL2|23382	1049.3072	AHCYL2|23382	605.317
AHCY|191	1731.4034	AHCY|191	2298.5685
AHDC1|27245	1173.4654	AHDC1|27245	962.1677
AHI1|54806	474.3401	AHI1|54806	311.8609
AHNAK2|113146	2222.1534	AHNAK2|113146	2004.09
AHNAK|79026	66840.1579	AHNAK|79026	69296.0123
AHRR|57491	44.5855	AHRR|57491	16.8712
AHR|196	5538.8188	AHR|196	5498.4663
AHSA1|10598	961.3747	AHSA1|10598	1369.1207
AHSA2|130872	324.4833	AHSA2|130872	241.82
AIDA|64853	1010.0194	AIDA|64853	1543.9826
AIF1L|83543	813.3756	AIF1L|83543	2543.9673
AIF1|199	364.1149	AIF1|199	901.8405
AIFM1|9131	738.4472	AIFM1|9131	502.5562
AIFM2|84883	263.7975	AIFM2|84883	831.2883
AIFM3|150209	13.5986	AIFM3|150209	7.6687
AIG1|51390	598.1887	AIG1|51390	763.2924
AIM1|202	1790.2314	AIM1|202	2370.6544
AIM2|9447	10.2175	AIM2|9447	9.2025
