gene_id	TCGA-BH-A18R-01A-11R-A12D-07	gene_id	TCGA-BH-A18R-11A-42R-A12D-07
AGAP3|116988	1128.0832	AGAP3|116988	1271.9493
AGAP4|119016	130.7578	AGAP4|119016	236.767
AGAP5|729092	16.6865	AGAP5|729092	88.954
AGAP6|414189	98.3655	AGAP6|414189	108.7163
AGAP7|653268	5.052	AGAP7|653268	7.607
AGAP8|728404	68.945	AGAP8|728404	56.1014
AGA|175	202.6746	AGA|175	408.5578
AGBL2|79841	34.4725	AGBL2|79841	19.6513
AGBL4|84871	6.5379	AGBL4|84871	6.9731
AGBL5|60509	283.2155	AGBL5|60509	766.1014
AGER|177	39.5245	AGER|177	52.2979
AGFG1|3267	1832.3923	AGFG1|3267	1859.271
AGFG2|3268	219.9108	AGFG2|3268	509.9842
AGGF1|55109	1156.0178	AGGF1|55109	928.3677
AGK|55750	884.9926	AGK|55750	533.439
AGL|178	21326.003	AGL|178	1613.3122
AGMAT|79814	46.3596	AGMAT|79814	12.6783
AGPAT1|10554	1531.8128	AGPAT1|10554	1587.1569
AGPAT2|10555	860.9212	AGPAT2|10555	3369.8891
AGPAT3|56894	2023.477	AGPAT3|56894	1723.9303
AGPAT4|56895	70.4309	AGPAT4|56895	281.775
AGPAT5|55326	1095.3938	AGPAT5|55326	623.4548
AGPAT6|137964	1557.8009	AGPAT6|137964	1646.5927
AGPAT9|84803	65.6761	AGPAT9|84803	856.4184
AGPHD1|123688	33.581	AGPHD1|123688	79.8732
AGPS|8540	591.679	AGPS|8540	1342.6307
AGR2|10551	829.4205	AGR2|10551	1440.2536
AGR3|155465	25.26	AGR3|155465	150.8716
AGRN|375790	1513.8187	AGRN|375790	2735.3407
AGTPBP1|23287	252.8975	AGTPBP1|23287	446.9097
AGTR1|185	167.6077	AGTR1|185	446.2758
AGTRAP|57085	367.9049	AGTRAP|57085	402.8526
AGT|183	5.9435	AGT|183	106.8146
AGXT2L1|64850	21.9911	lowly_expressed	lowly_expressed
AGXT2L2|85007	322.3031	AGXT2L2|85007	626.7448
lowly_expressed	lowly_expressed	AGXT|189	13.9461
AHCTF1|25909	5966.1218	AHCTF1|25909	1916.9572
AHCYL1|10768	3374.74	AHCYL1|10768	4129.0016
AHCYL2|23382	863.2987	AHCYL2|23382	701.1094
