gene_id	TCGA-BH-A1ET-01A-11R-A137-07	gene_id	TCGA-BH-A1ET-11B-23R-A137-07
ALDH1A2|8854	48.2213	ALDH1A2|8854	577.7268
ALDH1A3|220	323.4638	ALDH1A3|220	1124.6738
ALDH1B1|219	676.1746	ALDH1B1|219	398.0632
ALDH1L1|10840	5.1666	ALDH1L1|10840	312.1814
ALDH1L2|160428	602.7663	ALDH1L2|160428	349.1335
ALDH2|217	2836.6611	ALDH2|217	4637.3598
lowly_expressed	lowly_expressed	ALDH3A1|218	27.2681
ALDH3A2|224	1167.2138	ALDH3A2|224	2583.5882
ALDH3B1|221	93.8593	ALDH3B1|221	158.2569
ALDH3B2|222	2824.1752	ALDH3B2|222	1052.2426
ALDH4A1|8659	841.72	ALDH4A1|8659	766.3099
ALDH5A1|7915	1273.3437	ALDH5A1|7915	683.2314
ALDH6A1|4329	1473.8905	ALDH6A1|4329	560.4052
ALDH7A1|501	1803.7781	ALDH7A1|501	1782.1101
ALDH8A1|64577	12.4859	ALDH8A1|64577	25.4842
ALDH9A1|223	3826.4894	ALDH9A1|223	3019.6228
ALDOA|226	23757.6019	ALDOA|226	10379.4597
ALDOC|230	27.7703	ALDOC|230	459.4801
ALG10B|144245	561.8643	ALG10B|144245	530.3262
ALG10|84920	228.8359	ALG10|84920	164.1182
ALG11|440138	21.3121	ALG11|440138	13.5066
ALG12|79087	322.6952	ALG12|79087	330.2752
ALG13|79868	574.3501	ALG13|79868	541.7941
ALG14|199857	358.2154	ALG14|199857	133.0275
ALG1L|200810	93.4072	ALG1L|200810	9.2125
ALG1|56052	1029.0533	ALG1|56052	349.3323
ALG2|85365	1005.1127	ALG2|85365	783.8939999999999
ALG3|10195	670.3622	ALG3|10195	312.4363
ALG5|29880	910.1771	ALG5|29880	491.8451
ALG6|29929	981.2174	ALG6|29929	282.8746
ALG8|79053	1256.7677	ALG8|79053	551.9878
ALG9|79796	755.6106	ALG9|79796	601.1723
ALKBH1|8846	471.6646	ALKBH1|8846	234.9643
ALKBH2|121642	135.4071	ALKBH2|121642	180.9378
ALKBH3|221120	351.5419	ALKBH3|221120	284.1488
ALKBH4|54784	171.9132	ALKBH4|54784	185.9939
ALKBH5|54890	2177.4802	ALKBH5|54890	1974.7859
ALKBH6|84964	51.6657	ALKBH6|84964	67.788
ALKBH7|84266	257.252	ALKBH7|84266	244.1386
ALKBH8|91801	345.29900000000004	ALKBH8|91801	343.0173
lowly_expressed	lowly_expressed	ALK|238	13.7615
lowly_expressed	lowly_expressed	ALMS1P|200420	10.1937
