gene_id	TCGA-A7-A0DB-01A-11R-A00Z-07	gene_id	TCGA-A7-A0DB-11A-33R-A089-07
AKAP5|9495	1097.0399	AKAP5|9495	13.9175
AKAP6|9472	67.8226	AKAP6|9472	139.1753
AKAP7|9465	155.9536	AKAP7|9465	283.5052
AKAP8L|26993	819.6187	AKAP8L|26993	498.9691
AKAP8|10270	536.0667	AKAP8|10270	360.8247
AKAP9|10142	3849.794	AKAP9|10142	1290.2062
AKD1|221264	75.103	AKD1|221264	86.5979
AKIRIN1|79647	1237.6664	AKIRIN1|79647	1026.2887
AKIRIN2|55122	503.1133	AKIRIN2|55122	936.5979
lowly_expressed	lowly_expressed	AKNAD1|254268	11.866
AKNA|80709	378.1971	AKNA|80709	829.3814
AKR1A1|10327	2931.6984	AKR1A1|10327	1845.3608
AKR1B10|57016	9.5795	AKR1B10|57016	367.0103
lowly_expressed	lowly_expressed	AKR1B15|441282	10.8247
AKR1B1|231	812.7215	AKR1B1|231	1928.3505
AKR1C1|1645	514.9919	AKR1C1|1645	5578.866
AKR1C2|1646	352.5242	AKR1C2|1646	6385.566999999999
AKR1C3|8644	368.2345	AKR1C3|8644	3292.7835
AKR1E2|83592	21.0748	AKR1E2|83592	30.4124
AKR7A2|8574	1109.6848	AKR7A2|8574	828.8660000000001
AKR7A3|22977	14.1776	lowly_expressed	lowly_expressed
AKT1S1|84335	1407.4145	AKT1S1|84335	928.8660000000001
AKT1|207	5658.7796	AKT1|207	3112.3711
AKT2|208	2919.4367	AKT2|208	3839.6907
AKT3|10000	381.6458	AKT3|10000	1414.9485
AKTIP|64400	416.4613	AKTIP|64400	513.8093
ALAD|210	1826.2286	ALAD|210	1892.2679999999998
ALAS1|211	1375.2275	ALAS1|211	893.299
ALB|213	66.6731	lowly_expressed	lowly_expressed
ALCAM|214	15129.4185	ALCAM|214	598.4536
ALDH16A1|126133	849.5067	ALDH16A1|126133	546.3918
ALDH18A1|5832	4031.8038	ALDH18A1|5832	1258.2474
ALDH1A1|216	720.7587	ALDH1A1|216	5454.6392
ALDH1A2|8854	90.4301	ALDH1A2|8854	328.866
ALDH1A3|220	234.8999	ALDH1A3|220	2944.866
ALDH1B1|219	928.0582	ALDH1B1|219	550.5155
ALDH1L1|10840	222.6267	lowly_expressed	lowly_expressed
ALDH1L2|160428	271.2904	ALDH1L2|160428	615.9794
ALDH2|217	4068.2058	ALDH2|217	30055.6701
lowly_expressed	lowly_expressed	ALDH3A1|218	319.0722
ALDH3A2|224	3014.8482	ALDH3A2|224	3861.3402
ALDH3B1|221	305.0101	ALDH3B1|221	538.1443
ALDH3B2|222	3755.9153	ALDH3B2|222	9.7938
ALDH4A1|8659	1024.236	ALDH4A1|8659	1504.1237
ALDH5A1|7915	147.9069	ALDH5A1|7915	548.9691
ALDH6A1|4329	1086.2267	ALDH6A1|4329	1135.5515
ALDH7A1|501	1735.4153	ALDH7A1|501	1440.2062
ALDH8A1|64577	6.513999999999999	ALDH8A1|64577	5.6701
ALDH9A1|223	4497.3656	ALDH9A1|223	4626.8041
ALDOA|226	65511.2559	ALDOA|226	12681.9588
ALDOC|230	150.5891	ALDOC|230	653.6082
ALG10B|144245	321.8699	ALG10B|144245	289.1753
ALG10|84920	161.7013	ALG10|84920	79.8969
ALG11|440138	19.1589	ALG11|440138	7.2165
ALG12|79087	404.2533	ALG12|79087	373.7113
ALG13|79868	520.7395	ALG13|79868	546.3918
ALG14|199857	289.6829	ALG14|199857	188.6598
ALG1L|200810	23.6728	lowly_expressed	lowly_expressed
ALG1|56052	977.4308	ALG1|56052	386.3247
ALG2|85365	1056.423	ALG2|85365	719.5876
ALG3|10195	1149.5354	ALG3|10195	556.701
ALG5|29880	753.712	ALG5|29880	595.8763
ALG6|29929	460.9637	ALG6|29929	225.2577
ALG8|79053	1367.1808	ALG8|79053	775.7732
ALG9|79796	711.9456	ALG9|79796	734.0206
ALKBH1|8846	329.1503	ALKBH1|8846	140.2062
ALKBH2|121642	257.4959	ALKBH2|121642	137.6289
ALKBH3|221120	365.5523	ALKBH3|221120	267.5258
ALKBH4|54784	362.2148	ALKBH4|54784	151.1598
ALKBH5|54890	1976.7832	ALKBH5|54890	2075.7732
ALKBH6|84964	96.561	ALKBH6|84964	46.9072
ALKBH7|84266	974.4228	ALKBH7|84266	295.3608
ALKBH8|91801	206.15	ALKBH8|91801	186.5979
lowly_expressed	lowly_expressed	ALK|238	23.7113
ALMS1|7840	577.0668	ALMS1|7840	548.9691
