gene_id	TCGA-BH-A1FE-06A-11R-A213-07	gene_id	TCGA-BH-A1FE-11B-14R-A13Q-07
AFF1|4299	2507.9086	AFF1|4299	3896.9612
AFF2|2334	1349.3849	AFF2|2334	67.7611
AFF3|3899	811.5993	AFF3|3899	1409.0115
AFF4|27125	6166.9596	AFF4|27125	6882.6406
AFG3L1|172	153.2513	AFG3L1|172	266.5037
AFG3L2|10939	1335.5009	AFG3L2|10939	1424.6315
AFMID|125061	319.5079	AFMID|125061	504.366
lowly_expressed	lowly_expressed	AFP|174	123.2972
AFTPH|54812	752.1968	AFTPH|54812	2732.7978
AG2|387763	12052.3691	AG2|387763	243.4509
AGAP11|119385	25.3076	AGAP11|119385	182.3262
AGAP1|116987	349.3849	AGAP1|116987	557.8065
AGAP2|116986	27.5079	AGAP2|116986	49.2176
AGAP3|116988	1276.6257	AGAP3|116988	682.1516
AGAP4|119016	91.7399	AGAP4|119016	206.4268
AGAP5|729092	24.4991	AGAP5|729092	118.7915
AGAP6|414189	52.7241	AGAP6|414189	107.9287
AGAP7|653268	6.6784	AGAP7|653268	9.78
AGAP8|728404	16.1687	AGAP8|728404	74.7468
AGA|175	415.8172	AGA|175	523.5767
AGBL2|79841	11.5993	AGBL2|79841	21.3063
AGBL3|340351	5.6239	AGBL3|340351	9.4307
lowly_expressed	lowly_expressed	AGBL4|84871	8.0335
AGBL5|60509	730.4183	AGBL5|60509	736.9927
AGER|177	36.9069	AGER|177	24.7992
AGFG1|3267	1780.3163	AGFG1|3267	2829.8987
AGFG2|3268	1300.8787	AGFG2|3268	376.1788
AGGF1|55109	744.1125	AGGF1|55109	1061.8233
AGK|55750	644.6397	AGK|55750	599.022
AGL|178	780.6678	AGL|178	2034.9284
AGMAT|79814	63.2689	AGMAT|79814	11.8757
AGPAT1|10554	2770.8225	AGPAT1|10554	1740.6916
AGPAT2|10555	439.3673	AGPAT2|10555	289.5564
AGPAT3|56894	1868.1898	AGPAT3|56894	1302.4799
AGPAT4|56895	382.7768	AGPAT4|56895	331.4705
AGPAT5|55326	759.2267	AGPAT5|55326	1197.3454
AGPAT6|137964	3765.5536	AGPAT6|137964	1944.4638
AGPAT9|84803	745.8699	AGPAT9|84803	361.5089
AGPHD1|123688	48.1547	AGPHD1|123688	83.8282
AGPS|8540	1203.5149	AGPS|8540	1561.6486
AGR2|10551	12.3023	AGR2|10551	1103.3881
lowly_expressed	lowly_expressed	AGR3|155465	201.1876
AGRN|375790	2677.6801	AGRN|375790	1146.0007
AGRP|181	27.4165	lowly_expressed	lowly_expressed
AGTPBP1|23287	400.703	AGTPBP1|23287	645.8261
AGTR1|185	119.5079	AGTR1|185	253.5802
AGTRAP|57085	524.4288	AGTRAP|57085	283.2693
AGT|183	132.8647	AGT|183	8.7321
AGXT2L2|85007	396.0246	AGXT2L2|85007	319.4202
AHCTF1|25909	1126.5378	AHCTF1|25909	2606.7063
AHCYL1|10768	3663.2689	AHCYL1|10768	4053.0912
AHCYL2|23382	642.8822	AHCYL2|23382	901.5019
AHCY|191	2588.7522	AHCY|191	3135.8715
AHDC1|27245	961.3357	AHDC1|27245	970.6601
AHI1|54806	437.6098	AHI1|54806	667.1324
AHNAK2|113146	112.8295	AHNAK2|113146	718.4771
AHNAK|79026	22071.3533	AHNAK|79026	63029.6891
AHRR|57491	280.4921	AHRR|57491	71.6032
AHR|196	2604.9209	AHR|196	7296.8914
AHSA1|10598	1480.4921	AHSA1|10598	1134.125
AHSA2|130872	159.5782	AHSA2|130872	506.1125
AIDA|64853	865.8278	AIDA|64853	1176.7377
AIF1L|83543	735.6766	AIF1L|83543	2569.6822
AIF1|199	365.5536	AIF1|199	241.0059
AIFM1|9131	1126.1863	AIFM1|9131	368.1453
AIFM2|84883	328.2953	AIFM2|84883	341.2504
AIFM3|150209	14.2425	lowly_expressed	lowly_expressed
AIG1|51390	618.6292	AIG1|51390	742.5777
AIM1|202	544.464	AIM1|202	2887.1813
lowly_expressed	lowly_expressed	AIM2|9447	8.3828
AIMP1|9255	735.8664	AIMP1|9255	1601.6696
AIMP2|7965	341.1037	AIMP2|7965	239.3433
AIP|9049	970.826	AIP|9049	257.4223
AJAP1|55966	7.3814	AJAP1|55966	17.1149
AK1|203	1469.9473	AK1|203	119.8044
AK2|204	1334.9736	AK2|204	2018.5121
AK3L1|205	239.7188	AK3L1|205	939.9232
AK3|50808	3227.768	AK3|50808	2397.8344
AK5|26289	14.7627	AK5|26289	1998.9521
AK7|122481	65.3779	AK7|122481	47.1533
AKAP10|11216	520.2109	AKAP10|11216	834.7887
AKAP11|11215	1732.1617	AKAP11|11215	4068.8089
AKAP12|9590	10000.3515	AKAP12|9590	1596.577
AKAP13|11214	5472.4077	AKAP13|11214	5836.1858
AKAP1|8165	617.9262	AKAP1|8165	2685.6444
AKAP2|11217	3372.8506	AKAP2|11217	1637.9322
AKAP3|10566	13.7083	AKAP3|10566	62.5218
AKAP5|9495	112.478	AKAP5|9495	199.4411
AKAP6|9472	160.6327	AKAP6|9472	661.8931
AKAP7|9465	374.3409	AKAP7|9465	341.5997
AKAP8L|26993	565.5536	AKAP8L|26993	466.6434
AKAP8|10270	515.29	AKAP8|10270	822.2145
AKAP9|10142	1591.5641	AKAP9|10142	4327.2791
AKD1|221264	70.6503	AKD1|221264	272.7908
AKIRIN1|79647	2158.5237	AKIRIN1|79647	1917.9183
AKIRIN2|55122	705.7996	AKIRIN2|55122	911.9804
lowly_expressed	lowly_expressed	AKNAD1|254268	5.5885
AKNA|80709	720.5624	AKNA|80709	558.1558
AKR1A1|10327	1441.1248	AKR1A1|10327	1133.7758
AKR1B1|231	2491.7399	AKR1B1|231	729.3049
AKR1C1|1645	166.2566	AKR1C1|1645	456.9717
AKR1C2|1646	27.065	AKR1C2|1646	216.2068
AKR1C3|8644	207.0299	AKR1C3|8644	468.0405
AKR1E2|83592	8.7873	AKR1E2|83592	43.2029
AKR7A2|8574	1137.4341	AKR7A2|8574	538.2466
AKR7A3|22977	13.3568	AKR7A3|22977	42.9619
AKR7L|246181	5.6239	AKR7L|246181	14.3206
AKT1S1|84335	1193.6731	AKT1S1|84335	523.9259999999999
AKT1|207	3123.3743	AKT1|207	1106.5316
AKT2|208	2870.2988	AKT2|208	1196.6469
AKT3|10000	1401.406	AKT3|10000	1233.671
AKTIP|64400	323.5255	AKTIP|64400	717.0311
ALAD|210	1938.8401	ALAD|210	899.4062
ALAS1|211	3053.0756	ALAS1|211	727.9078
ALB|213	5.6239	ALB|213	820.1188
ALCAM|214	16825.3076	ALCAM|214	3798.8124
ALDH16A1|126133	619.3322	ALDH16A1|126133	141.8093
ALDH18A1|5832	1780.6678	ALDH18A1|5832	1563.0458
ALDH1A1|216	2725.8348	ALDH1A1|216	2220.7475
ALDH1A2|8854	516.3445	ALDH1A2|8854	604.6105
ALDH1A3|220	2196.5624	ALDH1A3|220	4194.1809
ALDH1B1|219	1782.0738	ALDH1B1|219	636.3954
ALDH1L1|10840	223.1986	ALDH1L1|10840	245.8959
ALDH1L2|160428	265.7293	ALDH1L2|160428	373.0353
ALDH2|217	2521.9684	ALDH2|217	2097.4502
lowly_expressed	lowly_expressed	ALDH3A1|218	18.8613
ALDH3A2|224	4915.9929999999995	ALDH3A2|224	2308.4177
ALDH3B1|221	394.3761	ALDH3B1|221	78.5889
lowly_expressed	lowly_expressed	ALDH3B2|222	509.256
ALDH4A1|8659	1028.8225	ALDH4A1|8659	215.5082
ALDH5A1|7915	878.3831	ALDH5A1|7915	757.5969
ALDH6A1|4329	889.5677	ALDH6A1|4329	764.0587
ALDH7A1|501	4338.4886	ALDH7A1|501	2575.62
ALDH8A1|64577	167.6626	ALDH8A1|64577	18.1628
ALDH9A1|223	3653.7786	ALDH9A1|223	3511.3517
ALDOA|226	19221.4411	ALDOA|226	6022.7035
lowly_expressed	lowly_expressed	ALDOB|229	6.9857
ALDOC|230	1064.6749	ALDOC|230	409.7101
ALG10B|144245	208.4359	ALG10B|144245	702.7593
ALG10|84920	62.5659	ALG10|84920	238.56099999999998
ALG11|440138	21.4411	ALG11|440138	11.8757
ALG12|79087	471.0018	ALG12|79087	246.5945
ALG13|79868	498.4183	ALG13|79868	798.4632
ALG14|199857	320.2109	ALG14|199857	164.1635
ALG1L|200810	15.3181	ALG1L|200810	5.84
ALG1|56052	515.2759	ALG1|56052	288.6448
ALG2|85365	940.5975	ALG2|85365	991.9665
ALG3|10195	553.6028	ALG3|10195	565.1415
ALG5|29880	453.0756	ALG5|29880	588.1942
ALG6|29929	306.8541	ALG6|29929	497.3804
ALG8|79053	504.3937	ALG8|79053	880.8942
ALG9|79796	462.9174	ALG9|79796	785.5396
ALKBH1|8846	153.6028	ALKBH1|8846	298.9871
ALKBH2|121642	144.1125	ALKBH2|121642	189.6612
ALKBH3|221120	287.522	ALKBH3|221120	328.6762
ALKBH4|54784	116.0633	ALKBH4|54784	91.949
ALKBH5|54890	1749.7118	ALKBH5|54890	1820.0873
ALKBH6|84964	131.8102	ALKBH6|84964	25.4977
ALKBH7|84266	578.2074	ALKBH7|84266	190.0105
ALKBH8|91801	163.4446	ALKBH8|91801	404.8201
lowly_expressed	lowly_expressed	ALK|238	5.2393
ALLC|55821	10.8963	lowly_expressed	lowly_expressed
ALMS1P|200420	9.1388	lowly_expressed	lowly_expressed
ALMS1|7840	958.8752	ALMS1|7840	1409.3608
lowly_expressed	lowly_expressed	ALOX12P2|245	32.1341
lowly_expressed	lowly_expressed	ALOX12|239	5.5955
