gene_id	TCGA-BH-A0BC-01A-22R-A084-07	gene_id	TCGA-BH-A0BC-11A-22R-A089-07
ADM|133	89.3723	ADM|133	499.316
ADNP2|22850	1144.3271	ADNP2|22850	720.9302
ADNP|23394	3650.0714	ADNP|23394	2806.2016
ADORA1|134	322.4647	ADORA1|134	606.9311
ADORA2A|135	727.3452	ADORA2A|135	60.6475
ADORA2B|136	22.3431	ADORA2B|136	128.591
ADORA3|140	471.9217	ADORA3|140	201.5504
ADO|84890	608.6975	ADO|84890	628.819
ADPGK|83440	1011.7935	ADPGK|83440	830.7843
ADPRHL1|113622	66.1234	ADPRHL1|113622	86.6393
ADPRHL2|54936	843.2996	ADPRHL2|54936	601.9152
ADPRH|141	378.3224	ADPRH|141	516.1879
lowly_expressed	lowly_expressed	ADRA1A|148	29.1838
ADRA1B|147	8.1522	ADRA1B|147	38.7597
ADRA1D|146	9.3599	lowly_expressed	lowly_expressed
ADRA2A|150	267.211	ADRA2A|150	769.2658
ADRA2B|151	38.3455	ADRA2B|151	29.6398
ADRA2C|152	106.8844	ADRA2C|152	118.5591
lowly_expressed	lowly_expressed	ADRB1|153	35.5677
ADRB2|154	25.9663	ADRB2|154	291.3817
ADRBK1|156	1823.0731	ADRBK1|156	1243.958
ADRBK2|157	1144.931	ADRBK2|157	931.6005
ADRM1|11047	1863.8341	ADRM1|11047	1022.3438
ADSL|158	1048.3123	ADSL|158	842.2253
ADSSL1|122622	124.0946	ADSSL1|122622	105.7912
ADSS|159	2039.8612	ADSS|159	1388.5089
AEBP1|165	18213.2192	AEBP1|165	8345.1892
AEBP2|121536	450.1825	AEBP2|121536	642.0429
AEN|64782	382.8514	AEN|64782	652.0748
AES|166	9557.0941	AES|166	6794.3456
AFAP1L1|134265	571.2578	AFAP1L1|134265	505.7
AFAP1L2|84632	372.2837	AFAP1L2|84632	1038.3037
AFAP1|60312	1028.0768	AFAP1|60312	1527.5832
lowly_expressed	lowly_expressed	AFARP1|246182	5.928
AFF1|4299	1880.4405	AFF1|4299	1897.4008
AFF2|2334	26.2682	AFF2|2334	37.8477
AFF3|3899	2591.7953	AFF3|3899	1177.8386
AFF4|27125	2650.3703	AFF4|27125	3056.5435
AFG3L1|172	110.2056	AFG3L1|172	224.8062
AFG3L2|10939	1466.4628	AFG3L2|10939	1645.6772
AFMID|125061	385.8707	AFMID|125061	428.1806
AFP|174	101.4496	AFP|174	48.7916
AFTPH|54812	2165.7674	AFTPH|54812	1503.876
AG2|387763	323.0686	AG2|387763	309.6215
AGAP11|119385	18.116	AGAP11|119385	133.1601
AGAP1|116987	471.6198	AGAP1|116987	671.2266
AGAP2|116986	86.6096	AGAP2|116986	68.8828
AGAP3|116988	903.0824	AGAP3|116988	1125.855
AGAP4|119016	91.4858	AGAP4|119016	179.6626
AGAP5|729092	13.0526	AGAP5|729092	51.5732
AGAP6|414189	49.5171	AGAP6|414189	95.7592
lowly_expressed	lowly_expressed	AGAP7|653268	6.8399
AGAP8|728404	13.8889	AGAP8|728404	40.5837
AGA|175	524.76	AGA|175	476.0602
lowly_expressed	lowly_expressed	AGBL2|79841	13.6799
AGBL4|84871	19.0218	AGBL4|84871	12.3119
AGBL5|60509	987.3339	AGBL5|60509	864.5919
AGER|177	8.1522	AGER|177	22.3438
AGFG1|3267	1532.9153	AGFG1|3267	1940.7205
AGFG2|3268	298.0081	AGFG2|3268	391.7009
