gene_id	TCGA-BH-A0B8-01A-21R-A056-07	gene_id	TCGA-BH-A0B8-11A-41R-A089-07
ADPRH|141	337.0308	ADPRH|141	644.638
lowly_expressed	lowly_expressed	ADRA1A|148	316.8317
ADRA1B|147	161.6278	ADRA1B|147	49.1471
ADRA1D|146	957.8287	ADRA1D|146	16.2233
ADRA2A|150	319.5823	ADRA2A|150	2620.0644
lowly_expressed	lowly_expressed	ADRA2B|151	26.7207
ADRA2C|152	166.2195	ADRA2C|152	153.1671
ADRB1|153	5.0509	ADRB1|153	291.5424
ADRB2|154	24.336	ADRB2|154	637.0035
lowly_expressed	lowly_expressed	ADRB3|155	7.1573
ADRBK1|156	1638.7778	ADRBK1|156	1223.9055
ADRBK2|157	797.1192	ADRBK2|157	5044.972
ADRM1|11047	1340.7765	ADRM1|11047	985.8046
ADSL|158	1169.5061	ADSL|158	693.785
ADSSL1|122622	170.8113	ADSSL1|122622	498.151
ADSS|159	1444.5489	ADSS|159	704.2825
AEBP1|165	9598.0311	AEBP1|165	9860.4318
AEBP2|121536	562.0241	AEBP2|121536	602.1711
AEN|64782	506.0054	AEN|64782	255.7557
AES|166	7185.0926	AES|166	7257.545
AFAP1L1|134265	219.9424	AFAP1L1|134265	2597.6381
AFAP1L2|84632	5712.5343	AFAP1L2|84632	379.3391
AFAP1|60312	2288.9488	AFAP1|60312	1555.0376
lowly_expressed	lowly_expressed	AFARP1|246182	5.2487
AFF1|4299	2221.4646	AFF1|4299	3473.6968
AFF2|2334	19.7443	AFF2|2334	34.3552
AFF3|3899	10310.2038	AFF3|3899	569.7244
AFF4|27125	5345.1983	AFF4|27125	2997.4949
AFG3L1|172	89.5382	AFG3L1|172	198.497
AFG3L2|10939	1979.7483	AFG3L2|10939	1291.5615
AFMID|125061	702.071	AFMID|125061	165.5732
AFP|174	13.7751	lowly_expressed	lowly_expressed
AFTPH|54812	2119.5288	AFTPH|54812	977.693
AG2|387763	128.5676	AG2|387763	1054.0379
AGAP11|119385	21.1264	AGAP11|119385	549.6887
AGAP1|116987	710.336	AGAP1|116987	310.6287
AGAP2|116986	36.7198	AGAP2|116986	34.4841
AGAP3|116988	725.4886	AGAP3|116988	1230.5857
AGAP4|119016	197.9023	AGAP4|119016	163.6646
AGAP5|729092	272.6001	AGAP5|729092	30.0608
AGAP6|414189	68.4163	AGAP6|414189	85.411
