gene_id	TCGA-BH-A0DZ-01A-11R-A00Z-07	gene_id	TCGA-BH-A0DZ-11A-22R-A089-07
AGPAT9|84803	55.9322	AGPAT9|84803	144.0603
AGPHD1|123688	32.2034	AGPHD1|123688	60.2837
AGPS|8540	493.2203	AGPS|8540	504.8759
AGR2|10551	17126.2712	AGR2|10551	6879.4326
AGR3|155465	2417.7966	AGR3|155465	590.4255
AGRN|375790	4338.1356	AGRN|375790	9694.1489
AGTPBP1|23287	203.3898	AGTPBP1|23287	254.4326
AGTR1|185	72.8814	AGTR1|185	169.7695
AGTRAP|57085	1005.0847	AGTRAP|57085	1611.7021
AGT|183	16.1017	AGT|183	129.8759
AGXT2L1|64850	22.0339	AGXT2L1|64850	7.0922
AGXT2L2|85007	196.678	AGXT2L2|85007	361.0372
AHCTF1|25909	904.2373	AHCTF1|25909	773.4929
AHCYL1|10768	3578.8136	AHCYL1|10768	3352.8369
AHCYL2|23382	416.9492	AHCYL2|23382	582.0035
AHCY|191	3032.2034	AHCY|191	5801.8617
AHDC1|27245	370.339	AHDC1|27245	1619.2376
AHI1|54806	109.322	AHI1|54806	213.2092
AHNAK2|113146	1969.4915	AHNAK2|113146	402.039
AHNAK|79026	29604.2373	AHNAK|79026	30025.266
AHRR|57491	41.5254	AHRR|57491	38.1206
AHR|196	722.0339	AHR|196	1828.9007
AHSA1|10598	2351.6949	AHSA1|10598	2208.3333
AHSA2|130872	33.0508	AHSA2|130872	191.9326
AIDA|64853	1498.339	AIDA|64853	811.1702
AIF1L|83543	842.3729	AIF1L|83543	1902.4823
AIF1|199	632.2034	AIF1|199	457.4468
AIFM1|9131	824.5763	AIFM1|9131	1021.2766
AIFM2|84883	240.678	AIFM2|84883	544.3262
lowly_expressed	lowly_expressed	AIFM3|150209	8.422
AIG1|51390	582.2034	AIG1|51390	863.0319
AIM1L|55057	9.322	AIM1L|55057	7.9787
AIM1|202	9796.6102	AIM1|202	2987.1454
AIM2|9447	51.6949	lowly_expressed	lowly_expressed
AIMP1|9255	977.5	AIMP1|9255	934.6321
AIMP2|7965	386.9831	AIMP2|7965	550.9663
AIP|9049	1049.1525	AIP|9049	1210.1064
lowly_expressed	lowly_expressed	AJAP1|55966	20.3901
AK1|203	365.2542	AK1|203	687.9433
AK2|204	1485.5932	AK2|204	2380.3191
AK3L1|205	484.7458	AK3L1|205	434.8404
AK3|50808	1416.9492	AK3|50808	1287.6773
AK5|26289	116.1017	AK5|26289	2608.5993
AK7|122481	27.9661	AK7|122481	31.0284
AKAP10|11216	444.0678	AKAP10|11216	272.6064
AKAP11|11215	1191.5254	AKAP11|11215	695.922
AKAP12|9590	809.322	AKAP12|9590	500
AKAP13|11214	2801.6949	AKAP13|11214	2541.6667
AKAP1|8165	4082.2034	AKAP1|8165	1992.9078
AKAP2|11217	178.7542	AKAP2|11217	684.9158
AKAP3|10566	16.9492	AKAP3|10566	46.9858
AKAP5|9495	212.7119	AKAP5|9495	122.7837
AKAP6|9472	23.7288	AKAP6|9472	119.2376
AKAP7|9465	68.6441	AKAP7|9465	194.5922
AKAP8L|26993	669.4915	AKAP8L|26993	792.5532
AKAP8|10270	312.7119	AKAP8|10270	647.1631
AKAP9|10142	1220.339	AKAP9|10142	1496.8972
AKD1|221264	498.3051	AKD1|221264	75.3546
AKIRIN1|79647	594.0678	AKIRIN1|79647	1195.0355
AKIRIN2|55122	691.5254	AKIRIN2|55122	777.4823
AKNAD1|254268	5.0847	lowly_expressed	lowly_expressed
AKNA|80709	472.0339	AKNA|80709	714.0957
AKR1A1|10327	2482.2034	AKR1A1|10327	3199.9113
lowly_expressed	lowly_expressed	AKR1B10|57016	414.0071
lowly_expressed	lowly_expressed	AKR1B15|441282	624.1135
AKR1B1|231	808.4746	AKR1B1|231	1037.234
AKR1C1|1645	64.4068	AKR1C1|1645	382.5355
