gene_id	TCGA-BH-A18L-01A-32R-A12D-07	gene_id	TCGA-BH-A18L-11A-42R-A12D-07
AHSA2|130872	259.5376	AHSA2|130872	444.9117
AIDA|64853	1127.8121	lowly_expressed	lowly_expressed
AIF1L|83543	398.8439	AIF1L|83543	1683.7679
AIF1|199	174.2775	AIF1|199	454.1632
AIFM1|9131	1052.6012	AIFM1|9131	850.7149
AIFM2|84883	657.2254	AIFM2|84883	2259.0412
AIFM3|150209	10.3324	AIFM3|150209	14.2977
AIG1|51390	400.8671	AIG1|51390	904.5416
AIM1|202	687.2832	AIM1|202	2989.0664
AIM2|9447	5.7803	lowly_expressed	lowly_expressed
AIMP1|9255	1871.8439	AIMP1|9255	914.4617
AIMP2|7965	425.7399	AIMP2|7965	280.7906
AIP|9049	3088.4393	AIP|9049	817.4937
lowly_expressed	lowly_expressed	AJAP1|55966	9.672
AK1|203	522.5434	AK1|203	762.4054
AK2|204	1554.3353	AK2|204	2134.1463
AK3L1|205	86.4162	AK3L1|205	593.3558
AK3|50808	823.1214	AK3|50808	2564.7603
lowly_expressed	lowly_expressed	AK5|26289	1544.5753
AK7|122481	37.2832	AK7|122481	43.7342
AKAP10|11216	374.2775	AKAP10|11216	547.0984
AKAP11|11215	1657.5145	AKAP11|11215	1881.8335
AKAP12|9590	196.8208	AKAP12|9590	7042.8932
AKAP13|11214	1585.2601	AKAP13|11214	3255.677
AKAP1|8165	3877.7457	AKAP1|8165	2423.0446
AKAP2|11217	409.737	AKAP2|11217	2185.6013
lowly_expressed	lowly_expressed	AKAP3|10566	29.857
AKAP5|9495	109.5376	AKAP5|9495	81.5812
AKAP6|9472	101.7341	AKAP6|9472	124.0538
AKAP7|9465	19.3642	AKAP7|9465	211.9428
AKAP8L|26993	575.7225	AKAP8L|26993	774.6005
AKAP8|10270	389.3064	AKAP8|10270	639.1926
AKAP9|10142	2193.3526	AKAP9|10142	2499.5795
AKD1|221264	232.659	AKD1|221264	166.5265
AKIRIN1|79647	831.2139	AKIRIN1|79647	1459.2094
AKIRIN2|55122	474.8555	AKIRIN2|55122	773.7595
AKNA|80709	215.0289	AKNA|80709	735.9125
AKR1A1|10327	1382.0809	AKR1A1|10327	1679.9832
lowly_expressed	lowly_expressed	AKR1B15|441282	52.1447
AKR1B1|231	251.1561	lowly_expressed	lowly_expressed
AKR1C1|1645	83.52600000000001	AKR1C1|1645	4905.3827
AKR1C2|1646	341.0405	AKR1C2|1646	6748.1077
AKR1C3|8644	172.2543	AKR1C3|8644	3410.0084
lowly_expressed	lowly_expressed	AKR1E2|83592	30.6981
AKR7A2|8574	1842.1965	AKR7A2|8574	1050.0421
AKR7A3|22977	10754.0462	AKR7A3|22977	87.0479
