gene_id	TCGA-BH-A18Q-01A-12R-A12D-07	gene_id	TCGA-BH-A18Q-11A-34R-A12D-07
ADPGK|83440	896.2618	ADPGK|83440	894.9136
ADPRHL1|113622	64.3863	ADPRHL1|113622	84.5115
ADPRHL2|54936	778.5661	ADPRHL2|54936	489.1612
ADPRH|141	478.6614	ADPRH|141	412.1898
ADRA1A|148	7.2011	ADRA1A|148	19.7926
ADRA1B|147	7.6247	ADRA1B|147	20.1068
ADRA2A|150	74.5526	ADRA2A|150	728.8721
ADRA2B|151	16.5202	ADRA2B|151	24.191
ADRA2C|152	13.1314	ADRA2C|152	44.612
lowly_expressed	lowly_expressed	ADRB1|153	38.0145
ADRB2|154	47.8661	ADRB2|154	291.863
lowly_expressed	lowly_expressed	ADRB3|155	5.3409
ADRBK1|156	1951.9221	ADRBK1|156	1396.4813
ADRBK2|157	654.453	ADRBK2|157	1405.5922
ADRM1|11047	1497.4055	ADRM1|11047	736.7264
ADSL|158	1024.6744	ADSL|158	708.7653
ADSSL1|122622	26.6864	ADSSL1|122622	129.7518
ADSS|159	2413.6397	ADSS|159	1224.945
AEBP1|165	2542.836	AEBP1|165	5262.017
AEBP2|121536	807.7941	AEBP2|121536	1138.8627
AEN|64782	409.6156	AEN|64782	543.8266
AES|166	7671.7145	AES|166	5214.5774
AFAP1L1|134265	169.0141	AFAP1L1|134265	522.7773
AFAP1L2|84632	271.9475	AFAP1L2|84632	1466.541
AFAP1|60312	1726.1252	AFAP1|60312	1652.4694
AFF1|4299	1245.3669	AFF1|4299	3537.5432
AFF2|2334	36.0055	AFF2|2334	76.0289
AFF3|3899	427.4065	AFF3|3899	2916.431
AFF4|27125	4175.7916	AFF4|27125	4953.503
AFG3L1|172	390.9774	AFG3L1|172	323.2799
AFG3L2|10939	1914.5441	AFG3L2|10939	1280.267
AFMID|125061	528.222	AFMID|125061	628.338
lowly_expressed	lowly_expressed	AFP|174	59.3779
AFTPH|54812	1768.9294	AFTPH|54812	1890.355
AG2|387763	80.0593	AG2|387763	228.0867
AGAP11|119385	38.9707	AGAP11|119385	358.8344
AGAP1|116987	361.3258	AGAP1|116987	595.3503
AGAP2|116986	130.6746	AGAP2|116986	79.4596
AGAP3|116988	570.1578	AGAP3|116988	1447.6909
AGAP4|119016	235.0948	AGAP4|119016	301.2881
