gene_id	TCGA-BH-A1EO-01A-11R-A137-07	gene_id	TCGA-BH-A1EO-11A-31R-A137-07
ALDOC|230	70.956	ALDOC|230	1197.6549
ALG10B|144245	446.336	ALG10B|144245	221.1055
ALG10|84920	159.0787	ALG10|84920	79.4448
ALG11|440138	17.739	ALG11|440138	14.8361
ALG12|79087	341.0465	ALG12|79087	387.17400000000004
ALG13|79868	420.5858	ALG13|79868	449.1505
ALG14|199857	148.2064	ALG14|199857	312.7542
ALG1|56052	636.0116	ALG1|56052	454.7739
ALG2|85365	948.75	ALG2|85365	886.0972
ALG3|10195	618.5759	ALG3|10195	492.9409
ALG5|29880	534.4587	ALG5|29880	837.0424
ALG6|29929	501.8419	ALG6|29929	356.066
ALG8|79053	1026.5727	ALG8|79053	747.308
ALG9|79796	462.9305	ALG9|79796	648.7198
ALKBH1|8846	234.0403	ALKBH1|8846	216.3197
ALKBH2|121642	112.1562	ALKBH2|121642	170.615
ALKBH3|221120	91.5561	ALKBH3|221120	356.7839
ALKBH4|54784	201.3433	ALKBH4|54784	190.7586
ALKBH5|54890	1636.5652	ALKBH5|54890	2512.5269
ALKBH6|84964	37.7669	ALKBH6|84964	57.6693
ALKBH7|84266	300.4184	ALKBH7|84266	416.3676
ALKBH8|91801	395.9801	ALKBH8|91801	230.1986
ALK|238	12.589	ALK|238	21.7755
ALMS1P|200420	5.7223	lowly_expressed	lowly_expressed
ALMS1|7840	1050.0339999999999	ALMS1|7840	393.6348
ALOX15B|247	68.0948	ALOX15B|247	27.7578
ALOX5AP|241	711.2764	ALOX5AP|241	708.5427
ALOX5|240	617.4314	ALOX5|240	349.1266
ALPK1|80216	651.765	ALPK1|80216	366.5949
ALPK2|115701	60.6559	ALPK2|115701	35.4152
