gene_id	TCGA-E2-A1LB-01A-11R-A144-07	gene_id	TCGA-E2-A1LB-11A-22R-A144-07
AHI1|54806	354.9365	AHI1|54806	401.8845
AHNAK2|113146	321.6893	AHNAK2|113146	261.778
AHNAK|79026	21330.7874	AHNAK|79026	47177.3863
AHRR|57491	15.725	AHRR|57491	45.8828
AHR|196	785.8025	AHR|196	3506.7595
AHSA1|10598	3187.6895	AHSA1|10598	1994.2646
AHSA2|130872	224.6434	AHSA2|130872	502.2532
AIDA|64853	620.4785	AIDA|64853	599.3937
AIF1L|83543	961.0244	AIF1L|83543	5861.9418
AIF1|199	263.282	AIF1|199	142.5645
AIFM1|9131	2688.532	AIFM1|9131	711.1839
AIFM2|84883	109.1767	AIFM2|84883	335.1086
AIFM3|150209	8.5364	AIFM3|150209	9.6887
AIG1|51390	738.1781	AIG1|51390	842.2778
AIM1|202	8679.3216	AIM1|202	2456.3703
AIMP1|9255	1011.7938	AIMP1|9255	1171.3478
AIMP2|7965	596.3563	AIMP2|7965	279.8607
AIP|9049	537.347	AIP|9049	818.1073
AJAP1|55966	18.4208	AJAP1|55966	13.1094
AK1|203	240.8177	AK1|203	353.5436
AK2|204	2790.9693	AK2|204	1808.685
AK3L1|205	1184.7692	AK3L1|205	643.5887
AK3|50808	821.2962	AK3|50808	1630.889
AK5|26289	19.3193	AK5|26289	1130.2745
AK7|122481	28.7544	AK7|122481	36.0508
AKAP10|11216	418.7353	AKAP10|11216	537.075
AKAP11|11215	1070.2011	AKAP11|11215	1926.2597
AKAP12|9590	335.6172	AKAP12|9590	391.6428
AKAP13|11214	2128.2714	AKAP13|11214	5397.7878
AKAP1|8165	952.4879	AKAP1|8165	2898.4023
AKAP2|11217	287.7772	AKAP2|11217	770.1966
AKAP3|10566	19.3193	AKAP3|10566	114.7071
AKAP5|9495	311.3557	AKAP5|9495	123.3101
AKAP6|9472	20.2179	AKAP6|9472	359.6887
AKAP7|9465	125.8003	AKAP7|9465	190.4957
AKAP8L|26993	1046.3889	AKAP8L|26993	778.3695
AKAP8|10270	638.4365	AKAP8|10270	758.2958
AKAP9|10142	978.0973	AKAP9|10142	3174.5186
AKD1|221264	168.9318	AKD1|221264	147.8902
AKIRIN1|79647	1485.342	AKIRIN1|79647	1063.9082
AKIRIN2|55122	376.053	AKIRIN2|55122	719.3773
AKNA|80709	400.7638	AKNA|80709	534.617
AKR1A1|10327	6817.4773	AKR1A1|10327	1823.433
lowly_expressed	lowly_expressed	AKR1B10|57016	34.4121
AKR1B15|441282	320.3415	lowly_expressed	lowly_expressed
AKR1B1|231	704.4816	AKR1B1|231	690.2909
AKR1C1|1645	2544.3109	AKR1C1|1645	88.898
AKR1C2|1646	14847.1302	AKR1C2|1646	74.9693
AKR1C3|8644	377.8502	AKR1C3|8644	491.6018
AKR1D1|6718	96.1474	lowly_expressed	lowly_expressed
AKR1E2|83592	6.29	AKR1E2|83592	58.9922
AKR7A2|8574	1170.392	AKR7A2|8574	1037.6895
AKR7A3|22977	765.1353	AKR7A3|22977	120.8521
AKR7L|246181	24.2615	AKR7L|246181	17.6157
AKT1S1|84335	1579.6922	AKT1S1|84335	901.6796
AKT1|207	5381.5568	AKT1|207	3731.2577
AKT2|208	2448.1635	AKT2|208	2157.7222
AKT3|10000	275.4128	AKT3|10000	553.8714
AKTIP|64400	784.868	AKTIP|64400	478.8365
ALAD|210	1017.6345	ALAD|210	2201.5567
ALAS1|211	839.2677	ALAS1|211	902.4989999999999
lowly_expressed	lowly_expressed	ALB|213	330.6022
ALCAM|214	32176.1204	ALCAM|214	3643.179
ALDH16A1|126133	972.7058	ALDH16A1|126133	600.9832
ALDH18A1|5832	3196.2259999999997	ALDH18A1|5832	2117.9844
ALDH1A1|216	296.08	ALDH1A1|216	356.82099999999997
ALDH1A2|8854	54.813	ALDH1A2|8854	386.3171
ALDH1A3|220	7731.2187	ALDH1A3|220	1156.4728
ALDH1B1|219	720.6560000000001	ALDH1B1|219	485.8664
ALDH1L1|10840	292.0364	ALDH1L1|10840	81.524
ALDH1L2|160428	449.736	ALDH1L2|160428	235.1495
ALDH2|217	6139.0543	ALDH2|217	1654.6497
lowly_expressed	lowly_expressed	ALDH3A1|218	36.4605
ALDH3A2|224	2141.3007	ALDH3A2|224	1098.73
ALDH3B1|221	166.6854	ALDH3B1|221	80.7046
ALDH3B2|222	43881.8376	ALDH3B2|222	735.7639999999999
ALDH4A1|8659	8413.3438	ALDH4A1|8659	655.0594
ALDH5A1|7915	381.8937	ALDH5A1|7915	848.8324
ALDH6A1|4329	912.4655	ALDH6A1|4329	579.5002
ALDH7A1|501	6592.3846	ALDH7A1|501	5234.3302
ALDH8A1|64577	33.2472	ALDH8A1|64577	23.3511
ALDH9A1|223	6079.7484	ALDH9A1|223	4984.8423
ALDOA|226	27508.4803	ALDOA|226	10684.9652
ALDOC|230	39.0879	ALDOC|230	726.7513
ALG10B|144245	260.137	ALG10B|144245	411.3068
ALG10|84920	191.8454	ALG10|84920	129.8648
ALG11|440138	16.6236	ALG11|440138	9.0127
ALG12|79087	1089.9697	ALG12|79087	617.7796
ALG13|79868	588.5657	ALG13|79868	458.4187
ALG14|199857	408.4017	ALG14|199857	145.8419
lowly_expressed	lowly_expressed	ALG1L|200810	6.8374
ALG1|56052	966.5865	ALG1|56052	453.7485
ALG2|85365	849.1519999999999	ALG2|85365	850.0615
ALG3|10195	1181.6242	ALG3|10195	612.4539
ALG5|29880	977.1987	ALG5|29880	470.7087
ALG6|29929	611.03	ALG6|29929	327.3249
ALG8|79053	1508.2556	ALG8|79053	603.4412
ALG9|79796	805.5712	ALG9|79796	577.6321
ALKBH1|8846	342.8058	ALKBH1|8846	246.2106
ALKBH2|121642	177.019	ALKBH2|121642	476.8537
ALKBH3|221120	280.8042	ALKBH3|221120	401.8845
ALKBH4|54784	169.4171	ALKBH4|54784	314.8832
ALKBH5|54890	2161.4153	ALKBH5|54890	2289.2667
ALKBH6|84964	97.0459	ALKBH6|84964	60.2212
ALKBH7|84266	984.3873	ALKBH7|84266	714.8710000000001
ALKBH8|91801	168.4825	ALKBH8|91801	291.6837
ALK|238	7.6379	ALK|238	5.3257
lowly_expressed	lowly_expressed	ALMS1P|200420	7.374
ALMS1|7840	491.969	ALMS1|7840	738.6317
ALOX12P2|245	41.7837	ALOX12P2|245	23.3511
lowly_expressed	lowly_expressed	ALOX12|239	8.2057
ALOX15B|247	84906.6607	ALOX15B|247	397.3781
ALOX15|246	14.3772	lowly_expressed	lowly_expressed
ALOX5AP|241	309.1093	ALOX5AP|241	86.44
ALOX5|240	228.2377	ALOX5|240	372.3884
lowly_expressed	lowly_expressed	ALOXE3|59344	8.603
ALPK1|80216	139.2789	ALPK1|80216	483.4084
