gene_id	TCGA-BH-A0DP-01A-21R-A056-07	gene_id	TCGA-BH-A0DP-11A-12R-A089-07
ADPRHL1|113622	99.0141	ADPRHL1|113622	130.9473
ADPRHL2|54936	633.5191	ADPRHL2|54936	549.5717
ADPRH|141	233.6048	ADPRH|141	406.7509
ADRA1A|148	5.5722	ADRA1A|148	10.1773
lowly_expressed	lowly_expressed	ADRA1B|147	8.1418
ADRA1D|146	6.4295	lowly_expressed	lowly_expressed
ADRA2A|150	1177.4539	ADRA2A|150	1876.3464
ADRA2B|151	16.288	ADRA2B|151	22.7292
ADRA2C|152	46.721	ADRA2C|152	57.3319
ADRB1|153	16.288	ADRB1|153	6.7848
ADRB2|154	58.294	ADRB2|154	150.2841
ADRBK1|156	1550.3643	ADRBK1|156	1240.9465
ADRBK2|157	889.4128	ADRBK2|157	1008.2266
ADRM1|11047	1147.4496	ADRM1|11047	861.3349
ADSL|158	772.3961	ADSL|158	732.423
ADSSL1|122622	120.4458	ADSSL1|122622	117.3777
ADSS|159	3644.6635	ADSS|159	1365.109
AEBP1|165	25327.4754	AEBP1|165	5338.3089
AEBP2|121536	657.9511	AEBP2|121536	660.5038
AEN|64782	336.4766	AEN|64782	393.5205
AES|166	6218.174	AES|166	6435.0776
AFAP1L1|134265	218.6027	AFAP1L1|134265	299.8897
AFAP1L2|84632	419.2027	AFAP1L2|84632	1484.5221
AFAP1|60312	1733.3691	AFAP1|60312	1331.1814
lowly_expressed	lowly_expressed	AFARP1|246182	6.1064
AFF1|4299	2549.0784	AFF1|4299	2569.7566
AFF2|2334	46.2923	AFF2|2334	49.1901
AFF3|3899	2213.8877	AFF3|3899	5426.851
AFF4|27125	3849.9786	AFF4|27125	3784.9207
AFG3L1|172	99.8714	AFG3L1|172	231.3629
AFG3L2|10939	1585.5122	AFG3L2|10939	1325.0276
AFMID|125061	324.4749	AFMID|125061	546.8578
AFP|174	5.1436	AFP|174	545.5008
AFTPH|54812	2069.0099	AFTPH|54812	2093.4611
AG2|387763	168.8813	AG2|387763	73.9547
AGAP11|119385	26.5752	AGAP11|119385	117.0554
AGAP1|116987	763.8234	AGAP1|116987	706.9799
AGAP2|116986	65.6708	AGAP2|116986	76.2276
AGAP3|116988	1317.6168	AGAP3|116988	1419.3877
AGAP4|119016	118.3026	AGAP4|119016	219.4894
AGAP5|729092	47.874	AGAP5|729092	46.9714
AGAP6|414189	54.865	AGAP6|414189	75.9902
lowly_expressed	lowly_expressed	AGAP7|653268	8.481
AGAP8|728404	6.8581	AGAP8|728404	38.3343
AGA|175	526.7895	AGA|175	509.8804
AGBL2|79841	39.0056	AGBL2|79841	28.1571
AGBL3|340351	5.5722	lowly_expressed	lowly_expressed
AGBL4|84871	19.2885	AGBL4|84871	11.5342
AGBL5|60509	607.8354	AGBL5|60509	963.5349
lowly_expressed	lowly_expressed	AGER|177	34.6027
AGFG1|3267	1523.3605	AGFG1|3267	1548.6388
AGFG2|3268	548.2212	AGFG2|3268	398.2699
AGGF1|55109	1021.4316	AGGF1|55109	894.9199
AGK|55750	602.6575	AGK|55750	654.0582
AGL|178	648.9498	AGL|178	1441.7776
AGMAT|79814	15.4308	AGMAT|79814	5.7671
AGPAT1|10554	1386.7895	AGPAT1|10554	1636.1801
AGPAT2|10555	1161.1659	AGPAT2|10555	1058.7736
AGPAT3|56894	1665.6665	AGPAT3|56894	2045.628
AGPAT4|56895	180.883	AGPAT4|56895	351.1153
AGPAT5|55326	636.5195	AGPAT5|55326	469.1714
AGPAT6|137964	2354.4792	AGPAT6|137964	1629.3783
AGPAT9|84803	65.5808	AGPAT9|84803	83.1142
AGPHD1|123688	18.0026	AGPHD1|123688	60.0458
AGPS|8540	1303.0433	AGPS|8540	803.3246
AGR2|10551	24729.5328	AGR2|10551	7073.8699
AGR3|155465	3927.9897	AGR3|155465	1134.4246
AGRN|375790	7540.5058	AGRN|375790	4903.0617
