gene_id	TCGA-BH-A1EV-01A-11R-A137-07	gene_id	TCGA-BH-A1EV-11A-24R-A137-07
ADRM1|11047	1187.1544	ADRM1|11047	490.2781
ADSL|158	1005.5302	ADSL|158	735.4172
ADSSL1|122622	242.5536	ADSSL1|122622	129.461
ADSS|159	1685.4565	ADSS|159	1745.7544
AEBP1|165	27663.1416	lowly_expressed	lowly_expressed
AEBP2|121536	608.5185	AEBP2|121536	1125.2769
AEN|64782	332.9776	AEN|64782	518.8285
AES|166	4107.8878	AES|166	3759.2912
AFAP1L1|134265	273.9886	AFAP1L1|134265	387.8907
AFAP1L2|84632	353.5461	AFAP1L2|84632	738.8629
AFAP1|60312	1375.3721	AFAP1|60312	1648.2821
AFF1|4299	2071.6018	AFF1|4299	3329.3133
AFF2|2334	13.583	AFF2|2334	120.1083
AFF3|3899	213.4472	AFF3|3899	1080.7285
AFF4|27125	4334.1418	AFF4|27125	5219.7883
AFG3L1|172	114.0972	AFG3L1|172	216.3426
AFG3L2|10939	1125.3284	AFG3L2|10939	1237.3246
AFMID|125061	733.8702	AFMID|125061	422.8403
AFTPH|54812	2207.4318	AFTPH|54812	2009.8449
AG2|387763	83.4384	AG2|387763	231.11
AGAP11|119385	32.5992	AGAP11|119385	279.109
AGAP1|116987	796.7401	AGAP1|116987	751.4152
AGAP2|116986	31.4039	AGAP2|116986	48.4445
AGAP3|116988	592.9951	AGAP3|116988	768.6439
AGAP4|119016	199.8642	AGAP4|119016	216.0965
AGAP5|729092	90.6219	AGAP5|729092	64.4622
AGAP6|414189	56.2724	AGAP6|414189	114.6936
AGAP7|653268	6.5975	AGAP7|653268	6.1531
AGAP8|728404	9.3141	AGAP8|728404	36.9185
AGA|175	319.7827	AGA|175	436.3771
AGBL2|79841	19.7924	AGBL2|79841	32.4883
AGBL3|340351	5.4332	AGBL3|340351	11.8139
AGBL4|84871	9.3141	AGBL4|84871	6.1531
AGBL5|60509	727.6725	AGBL5|60509	676.8472
AGER|177	21.7328	AGER|177	31.9961
AGFG1|3267	1384.3019	AGFG1|3267	2521.5358
AGFG2|3268	238.6727	AGFG2|3268	371.4004
AGGF1|55109	1147.5696	AGGF1|55109	1099.1878
AGK|55750	406.7139	AGK|55750	617.0317
AGL|178	2089.4538	AGL|178	1653.7042
AGMAT|79814	55.4963	AGMAT|79814	11.5678
AGPAT1|10554	2163.7644	AGPAT1|10554	1491.3168
AGPAT2|10555	857.6695	AGPAT2|10555	1323.6525
AGPAT3|56894	2769.7681	AGPAT3|56894	1556.9776
AGPAT4|56895	135.83	AGPAT4|56895	359.8326
AGPAT5|55326	705.5399	AGPAT5|55326	941.6687
AGPAT6|137964	2382.0704	AGPAT6|137964	1669.4561
AGPAT9|84803	6.2094	AGPAT9|84803	428.0089
AGPHD1|123688	32.9873	AGPHD1|123688	77.775
AGPS|8540	2193.4608	AGPS|8540	2359.0943
AGR2|10551	11792.3741	AGR2|10551	1844.4499
AGR3|155465	7910.7403	AGR3|155465	730.4947
AGRN|375790	4518.8707	AGRN|375790	2267.2902
AGTPBP1|23287	232.4634	AGTPBP1|23287	561.654
AGTR1|185	17.8519	AGTR1|185	315.2843
AGTRAP|57085	355.8746	AGTRAP|57085	342.8501
AGT|183	135.83	AGT|183	148.6586
AGXT2L2|85007	228.8076	AGXT2L2|85007	358.8481
AHCTF1|25909	1641.9909	AHCTF1|25909	1827.7135
AHCYL1|10768	6511.303	AHCYL1|10768	4239.9705
AHCYL2|23382	405.9377	AHCYL2|23382	818.8531
AHCY|191	3453.9633	AHCY|191	1989.6628
AHDC1|27245	610.847	AHDC1|27245	676.1014
AHI1|54806	503.7353	AHI1|54806	561.4078
AHNAK2|113146	13631.9007	AHNAK2|113146	1932.316
AHNAK|79026	51260.6966	AHNAK|79026	91143.9823
AHRR|57491	14.3592	AHRR|57491	18.9515
AHR|196	6785.6796	AHR|196	6530.1501
AHSA1|10598	2016.1056	AHSA1|10598	1107.8021
AHSA2|130872	227.0302	AHSA2|130872	437.6077
AIDA|64853	921.7464	AIDA|64853	1438.9614
AIF1L|83543	711.3612	AIF1L|83543	1645.0898
AIF1|199	244.8821	AIF1|199	580.8516
AIFM1|9131	641.5058	AIFM1|9131	675.1169
AIFM2|84883	80.7218	AIFM2|84883	889.2444
AIFM3|150209	117.5201	AIFM3|150209	5.6608
AIG1|51390	600.7568	AIG1|51390	945.1144
AIM1L|55057	79.1695	AIM1L|55057	6.1531
AIM1|202	4994.2757	AIM1|202	3286.4878
lowly_expressed	lowly_expressed	AIM2|9447	11.0756
AIMP1|9255	875.3663	AIMP1|9255	1288.0729
AIMP2|7965	391.6756	AIMP2|7965	202.0921
AIP|9049	514.9898	AIP|9049	372.3849
AJAP1|55966	16.6877	AJAP1|55966	10.0911
AK1|203	429.999	AK1|203	275.4123
AK2|204	2174.0565	AK2|204	2181.3931
AK3L1|205	407.4901	AK3L1|205	796.4558
AK3|50808	921.7037	AK3|50808	2441.0534
AK5|26289	62.0937	AK5|26289	1890.7211
AK7|122481	77.2291	AK7|122481	67.1917
AKAP10|11216	318.2303	AKAP10|11216	624.4155
AKAP11|11215	1381.1972	AKAP11|11215	3559.1927
AKAP12|9590	670.2241	AKAP12|9590	4079.4979
AKAP13|11214	2451.9259	AKAP13|11214	4477.9719
AKAP1|8165	461.8221	AKAP1|8165	1875.2154
AKAP2|11217	932.8534	AKAP2|11217	1370.6473
AKAP3|10566	45.406	AKAP3|10566	66.9456
AKAP5|9495	886.3879	AKAP5|9495	87.62
AKAP6|9472	82.6623	lowly_expressed	lowly_expressed
AKAP7|9465	15.5234	AKAP7|9465	261.1371
AKAP8L|26993	765.3051	AKAP8L|26993	386.414
AKAP8|10270	670.2241	AKAP8|10270	563.3768
AKAP9|10142	2114.6793	AKAP9|10142	4291.1642
AKD1|221264	80.3338	AKD1|221264	233.5713
AKIRIN1|79647	1625.6913	AKIRIN1|79647	2041.3488
AKIRIN2|55122	385.7573	AKIRIN2|55122	662.0724
lowly_expressed	lowly_expressed	AKNAD1|254268	12.5523
AKNA|80709	499.8545	AKNA|80709	570.0222
AKR1A1|10327	5300.0873	AKR1A1|10327	1454.3441
AKR1B10|57016	26.7779	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	6.3992
AKR1B1|231	467.6433	AKR1B1|231	799.6554
AKR1C1|1645	30.6588	AKR1C1|1645	1197.145
AKR1C2|1646	48.8988	AKR1C2|1646	1048.2402
AKR1C3|8644	333.3657	AKR1C3|8644	1136.1063
AKR1E2|83592	72.184	AKR1E2|83592	43.3177
AKR7A2|8574	1069.5644	AKR7A2|8574	683.2389999999999
AKR7A3|22977	555.3507	AKR7A3|22977	19.6899
AKR7L|246181	27.9422	AKR7L|246181	9.5988
AKT1S1|84335	842.1461	AKT1S1|84335	498.4002
AKT1|207	7427.5735	AKT1|207	2248.3387
AKT2|208	2728.2429	AKT2|208	1923.9478
AKT3|10000	484.7191	AKT3|10000	1778.2427
AKTIP|64400	432.444	AKTIP|64400	812.1413
ALAD|210	1729.3102	ALAD|210	1567.807
ALAS1|211	1140.9722	ALAS1|211	861.4324
ALB|213	8.926	ALB|213	267.0441
ALCAM|214	5066.8478	ALCAM|214	4769.6284
ALDH16A1|126133	646.1628	ALDH16A1|126133	225.4492
ALDH18A1|5832	6648.6854	ALDH18A1|5832	1660.3495
ALDH1A1|216	212.2829	ALDH1A1|216	3677.5781
lowly_expressed	lowly_expressed	ALDH1A2|8854	411.2725
ALDH1A3|220	378.9619	ALDH1A3|220	2917.172
ALDH1B1|219	961.2884	ALDH1B1|219	597.5880000000001
lowly_expressed	lowly_expressed	ALDH1L1|10840	475.2646
ALDH1L2|160428	496.7498	ALDH1L2|160428	384.9372
ALDH2|217	1239.1579	ALDH2|217	5726.5567
lowly_expressed	lowly_expressed	ALDH3A1|218	37.1647
ALDH3A2|224	700.4948	ALDH3A2|224	2904.2579
ALDH3B1|221	754.4387	ALDH3B1|221	175.7322
ALDH3B2|222	2949.0637	ALDH3B2|222	1028.0581
ALDH4A1|8659	458.3293	ALDH4A1|8659	535.0726
ALDH5A1|7915	233.2395	ALDH5A1|7915	598.0802
