gene_id	TCGA-A7-A0CE-01A-11R-A00Z-07	gene_id	TCGA-A7-A0CE-11A-21R-A089-07
AGPAT2|10555	866.1751	AGPAT2|10555	972.0635
AGPAT3|56894	2306.2971	AGPAT3|56894	1915.873
AGPAT4|56895	557.3354	AGPAT4|56895	277.1429
AGPAT5|55326	398.3388	AGPAT5|55326	601.9048
AGPAT6|137964	2696.4997	AGPAT6|137964	2185.3968
AGPAT9|84803	586.1514	AGPAT9|84803	124.127
AGPHD1|123688	46.7836	AGPHD1|123688	56.5079
AGPS|8540	1004.4919	AGPS|8540	768.8889
AGR2|10551	438.0032	AGR2|10551	9899.0476
AGR3|155465	40.0034	AGR3|155465	2611.1111
AGRN|375790	12317.654	AGRN|375790	7435.5556
AGTPBP1|23287	406.4751	AGTPBP1|23287	337.4603
AGTR1|185	69.1584	AGTR1|185	231.4286
lowly_expressed	lowly_expressed	AGTR2|186	20.6349
AGTRAP|57085	1048.9024	AGTRAP|57085	1185.7143
AGT|183	337.3167	AGT|183	235.5556
AGXT2L1|64850	10.5094	AGXT2L1|64850	6.0317
AGXT2L2|85007	103.602	AGXT2L2|85007	607.6
AHCTF1|25909	2472.0739	AHCTF1|25909	1116.5079
AHCYL1|10768	2854.8182	AHCYL1|10768	3773.6508
AHCYL2|23382	600.7289	AHCYL2|23382	516.1905
AHCY|191	2282.9053	AHCY|191	3245.3968
AHDC1|27245	700.7374	AHDC1|27245	1110.7937
AHI1|54806	568.8618	AHI1|54806	386.9841
AHNAK2|113146	1122.468	AHNAK2|113146	894.6032
AHNAK|79026	11111.1111	AHNAK|79026	45596.8254
AHRR|57491	30.8501	AHRR|57491	18.7302
AHR|196	816.3404	AHR|196	1792.0635
AHSA1|10598	3074.1588	AHSA1|10598	1838.0952
AHSA2|130872	250.1907	AHSA2|130872	695.873
AIDA|64853	1386.9243	AIDA|64853	1088.2635
AIF1L|83543	3392.1519	AIF1L|83543	1764.4444
AIF1|199	158.9965	AIF1|199	1167.3016
AIFM1|9131	2196.7963	AIFM1|9131	922.8571
AIFM2|84883	781.4222	AIFM2|84883	524.4444
AIFM3|150209	33.1282	AIFM3|150209	26.5683
AIG1|51390	595.9827	AIG1|51390	1119.0476
AIM1L|55057	28.477	AIM1L|55057	6.3492
AIM1|202	5169.2516	AIM1|202	2178.7302
AIM2|9447	16.2726	AIM2|9447	28.254
AIMP1|9255	2229.3313	AIMP1|9255	1139.2032
AIMP2|7965	1097.9676	AIMP2|7965	355.8857
AIP|9049	589.8805	AIP|9049	1019.0476
AJAP1|55966	5.0852	AJAP1|55966	28.254
AK1|203	748.199	AK1|203	696.5079
AK2|204	2982.6256	AK2|204	2201.9048
AK3L1|205	340.3678	AK3L1|205	286.0317
AK3|50808	3394.864	AK3|50808	2109.8413
AK5|26289	93.9063	AK5|26289	2579.3651
AK7|122481	17.2896	AK7|122481	54.9206
AKAP10|11216	446.4785	AKAP10|11216	425.0794
AKAP11|11215	1253.6656	AKAP11|11215	917.7778
AKAP12|9590	212.5604	AKAP12|9590	1571.4286
AKAP13|11214	2608.6957	AKAP13|11214	3572.6984
