gene_id	TCGA-BH-A0DG-01A-21R-A12P-07	gene_id	TCGA-BH-A0DG-11A-43R-A12P-07
AKR7A2|8574	763.3524	AKR7A2|8574	633.683
AKR7A3|22977	5.0029	AKR7A3|22977	27.0918
AKR7L|246181	6.2536	AKR7L|246181	52.5316
AKT1S1|84335	1421.2279999999998	AKT1S1|84335	565.6232
AKT1|207	6125.9969	AKT1|207	2457.7517
AKT2|208	2833.284	AKT2|208	1851.4909
AKT3|10000	712.0731	AKT3|10000	1485.0913
AKTIP|64400	656.0954	AKTIP|64400	615.4654
ALAD|210	1026.4192	ALAD|210	2029.2393
ALAS1|211	646.2022	ALAS1|211	742.3804
ALB|213	110.4797	ALB|213	464.855
ALCAM|214	3960.1773	ALCAM|214	4714.2975
ALDH16A1|126133	526.5506	ALDH16A1|126133	296.0271
ALDH18A1|5832	3341.0739	ALDH18A1|5832	1410.4237
ALDH1A1|216	532.8041	ALDH1A1|216	2153.1346
ALDH1A2|8854	167.5957	ALDH1A2|8854	632.0311
ALDH1A3|220	684.0196	ALDH1A3|220	3026.4244
ALDH1B1|219	1349.5204	ALDH1B1|219	393.4914
ALDH1L1|10840	74.6259	ALDH1L1|10840	183.365
ALDH1L2|160428	952.2102	ALDH1L2|160428	307.5907
ALDH2|217	1735.991	ALDH2|217	3086.1485
lowly_expressed	lowly_expressed	ALDH3A1|218	54.5139
ALDH3A2|224	1040.594	ALDH3A2|224	2152.4738
ALDH3B1|221	224.2947	ALDH3B1|221	150.3263
ALDH3B2|222	9732.2221	ALDH3B2|222	1371.4379999999999
ALDH4A1|8659	599.9258	ALDH4A1|8659	719.9141
ALDH5A1|7915	648.7036	ALDH5A1|7915	766.8291
ALDH6A1|4329	665.7717	ALDH6A1|4329	830.5278
ALDH7A1|501	2014.0664	ALDH7A1|501	3300.5699
ALDH8A1|64577	13.7579	ALDH8A1|64577	21.8056
ALDH9A1|223	3198.9094	ALDH9A1|223	3702.6514
ALDOA|226	19077.5568	ALDOA|226	9661.1877
ALDOC|230	128.4066	ALDOC|230	524.9855
ALG10B|144245	229.2976	ALG10B|144245	641.2819
ALG10|84920	138.4123	ALG10|84920	187.3296
ALG11|440138	13.3409	ALG11|440138	11.2332
ALG12|79087	586.5848	ALG12|79087	424.5478
ALG13|79868	464.4318	ALG13|79868	556.3723
ALG14|199857	165.0942	ALG14|199857	124.556
ALG1L|200810	5.1238	ALG1L|200810	11.21
ALG1|56052	859.0195	ALG1|56052	416.7969
ALG2|85365	927.6128	ALG2|85365	901.9575
ALG3|10195	1055.6026	ALG3|10195	385.2317
ALG5|29880	699.566	ALG5|29880	503.5104
ALG6|29929	357.7042	ALG6|29929	326.0923
ALG8|79053	5646.5566	ALG8|79053	629.0576
ALG9|79796	446.088	ALG9|79796	651.1935
ALKBH1|8846	376.8818	ALKBH1|8846	244.1563
ALKBH2|121642	243.8892	ALKBH2|121642	299.9917
ALKBH3|221120	333.1068	ALKBH3|221120	358.8007
ALKBH4|54784	193.00599999999997	ALKBH4|54784	183.5236
ALKBH5|54890	2200.7688	ALKBH5|54890	1790.9011
ALKBH6|84964	90.8852	ALKBH6|84964	46.2542
ALKBH7|84266	757.9327	ALKBH7|84266	250.4336
ALKBH8|91801	162.5928	ALKBH8|91801	356.8184
lowly_expressed	lowly_expressed	ALK|238	9.9116
lowly_expressed	lowly_expressed	ALMS1P|200420	17.1801
ALMS1|7840	903.4324	ALMS1|7840	1230.0322
ALOX12P2|245	41.2736	ALOX12P2|245	33.3691
ALOX15B|247	62.9526	ALOX15B|247	272.9
