gene_id	TCGA-E9-A1NG-01A-21R-A14M-07	gene_id	TCGA-E9-A1NG-11A-52R-A14M-07
AHCYL1|10768	4645.5542	AHCYL1|10768	4790.2504
AHCYL2|23382	679.3544	AHCYL2|23382	700.3578
AHCY|191	1605.9683	AHCY|191	1367.6208
AHDC1|27245	1055.7247	AHDC1|27245	569.3202
AHI1|54806	271.011	AHI1|54806	398.9267
AHNAK2|113146	3876.0658	AHNAK2|113146	1830.5009
AHNAK|79026	54956.0171	AHNAK|79026	208436.4937
AHRR|57491	47.1985	AHRR|57491	49.195
AHR|196	5736.9062	AHR|196	4107.3345
AHSA1|10598	2011.2667	AHSA1|10598	1385.0626
AHSA2|130872	169.0012	AHSA2|130872	292.0394
AIDA|64853	1331.0049	AIDA|64853	1924.4186
AIF1L|83543	217.7223	AIF1L|83543	2201.2522
AIF1|199	1109.0134	AIF1|199	868.068
AIFM1|9131	908.9525	AIFM1|9131	686.941
AIFM2|84883	214.3727	AIFM2|84883	2737.4776
removed	removed	AIFM3|150209	6.7084
AIG1|51390	735.9927	AIG1|51390	1182.0215
AIM1L|55057	105.6638	removed	removed
AIM1|202	1609.6224	AIM1|202	2736.136
AIM2|9447	28.9281	removed	removed
AIMP1|9255	1090.4385	AIMP1|9255	933.0143
AIMP2|7965	397.092	AIMP2|7965	298.9669
AIP|9049	788.9769	AIP|9049	666.3685
AJAP1|55966	20.0974	AJAP1|55966	18.7835
AK1|203	702.8015	AK1|203	690.966
AK2|204	1917.4787	AK2|204	1721.3775
AK3L1|205	380.9379	AK3L1|205	539.8032
AK3|50808	1522.5335	AK3|50808	2851.0733
AK5|26289	301.7661	AK5|26289	737.0304
AK7|122481	21.3155	AK7|122481	19.2308
AKAP10|11216	574.2996	AKAP10|11216	534.8837
AKAP11|11215	1848.9647	AKAP11|11215	2247.7639
AKAP12|9590	1360.5359	AKAP12|9590	9650.2683
AKAP13|11214	3936.6626	AKAP13|11214	4677.9964
