gene_id	TCGA-BH-A1FU-01A-11R-A14D-07	gene_id	TCGA-BH-A1FU-11A-23R-A14D-07
AKAP3|10566	16.4573	AKAP3|10566	29.3655
AKAP5|9495	106.5396	AKAP5|9495	95.4379
AKAP6|9472	279.7748	AKAP6|9472	312.0084
AKAP7|9465	97.4448	AKAP7|9465	209.7535
AKAP8L|26993	476.3967	AKAP8L|26993	693.2354
AKAP8|10270	483.7592	AKAP8|10270	820.1363
AKAP9|10142	1822.867	AKAP9|10142	4135.8154
AKD1|221264	219.5756	AKD1|221264	162.0346
AKIRIN1|79647	1437.4188	AKIRIN1|79647	1210.8023
AKIRIN2|55122	590.2988	AKIRIN2|55122	640.2727
AKNA|80709	881.3339	AKNA|80709	1044.0482
AKR1A1|10327	4165.0065	AKR1A1|10327	1405.3487
AKR1B10|57016	375.0541	lowly_expressed	lowly_expressed
AKR1B15|441282	209.1815	lowly_expressed	lowly_expressed
AKR1B1|231	601.9922	AKR1B1|231	724.6985
AKR1C1|1645	343.4994	AKR1C1|1645	664.3943
AKR1C2|1646	1666.0892	AKR1C2|1646	1100.6817
AKR1C3|8644	595.0628	AKR1C3|8644	716.8327
AKR1E2|83592	54.5084	AKR1E2|83592	20.9754
AKR7A2|8574	893.8935	AKR7A2|8574	845.8311
AKR7A3|22977	8.2287	AKR7A3|22977	120.6083
lowly_expressed	lowly_expressed	AKR7L|246181	27.7923
AKT1S1|84335	1300.1299	AKT1S1|84335	758.2589999999999
AKT1|207	5944.5647	AKT1|207	3315.6791
AKT2|208	2045.9073	AKT2|208	2892.5013
AKT3|10000	942.3993	AKT3|10000	1355.0079
AKTIP|64400	729.4760000000001	AKTIP|64400	537.0739
ALAD|210	805.1104	ALAD|210	1850.0262
ALAS1|211	681.2473	ALAS1|211	807.5511
ALB|213	16.4573	ALB|213	917.6717
ALCAM|214	4121.2646	ALCAM|214	3420.5558
ALDH16A1|126133	608.4885	ALDH16A1|126133	543.2617
ALDH18A1|5832	3419.6622	ALDH18A1|5832	1642.8946
ALDH1A1|216	516.2408	ALDH1A1|216	1759.3078
ALDH1A2|8854	95.2793	ALDH1A2|8854	604.6146
ALDH1A3|220	1237.094	ALDH1A3|220	1820.5663
ALDH1B1|219	1237.3322	ALDH1B1|219	657.5773
ALDH1L1|10840	7.3625	ALDH1L1|10840	584.688
ALDH1L2|160428	1356.8644	ALDH1L2|160428	364.9712
ALDH2|217	2059.333	ALDH2|217	4797.5878
lowly_expressed	lowly_expressed	ALDH3A1|218	45.6214
ALDH3A2|224	592.8974	ALDH3A2|224	2754.0640000000003
ALDH3B1|221	139.0212	ALDH3B1|221	144.2056
ALDH3B2|222	1083.586	ALDH3B2|222	1245.9360000000001
ALDH4A1|8659	780.4244	ALDH4A1|8659	846.8799
ALDH5A1|7915	451.7107	ALDH5A1|7915	627.6875
ALDH6A1|4329	377.0767	ALDH6A1|4329	643.7756
ALDH7A1|501	2140.3205	ALDH7A1|501	2948.086
lowly_expressed	lowly_expressed	ALDH8A1|64577	7.8658
ALDH9A1|223	2799.4803	ALDH9A1|223	3013.1096
ALDOA|226	18095.7124	ALDOA|226	11267.9601
ALDOC|230	380.6843	ALDOC|230	1011.0121
ALG10B|144245	137.722	ALG10B|144245	416.8852
ALG10|84920	118.23299999999999	ALG10|84920	160.9858
ALG11|440138	22.0875	ALG11|440138	18.8778
ALG12|79087	785.1884	ALG12|79087	467.226
ALG13|79868	417.0637	ALG13|79868	544.8348
ALG14|199857	184.9285	ALG14|199857	145.2543
