gene_id	TCGA-BH-A0BA-01A-11R-A056-07	gene_id	TCGA-BH-A0BA-11A-22R-A19E-07
AGAP5|729092	58.1887	AGAP5|729092	18.4587
AGAP6|414189	77.1142	AGAP6|414189	53.5302
AGAP7|653268	7.5401	AGAP7|653268	5.5376
AGAP8|728404	62.3768	AGAP8|728404	14.3055
AGA|175	703.6244	AGA|175	567.1435
AGBL2|79841	5.1409	AGBL2|79841	5.5376
AGBL3|340351	8.911	AGBL3|340351	5.9991
AGBL5|60509	360.2296	AGBL5|60509	726.8159
AGER|177	28.1038	AGER|177	79.3724
AGFG1|3267	1513.1523	AGFG1|3267	2143.9778
AGFG2|3268	525.7476	AGFG2|3268	490.5399
AGGF1|55109	1223.8883	AGGF1|55109	763.7287
AGK|55750	624.111	AGK|55750	437.9326
AGL|178	1000.4284	AGL|178	1257.4988
AGMAT|79814	23.9911	AGMAT|79814	21.2275
AGPAT1|10554	1412.9209	AGPAT1|10554	1867.7111
AGPAT2|10555	1688.9727	AGPAT2|10555	3520.0738
AGPAT3|56894	2535.1727	AGPAT3|56894	2014.767
AGPAT4|56895	111.0445	AGPAT4|56895	263.4979
AGPAT5|55326	1032.9877	AGPAT5|55326	635.4407
AGPAT6|137964	1432.6107	AGPAT6|137964	1465.6207
AGPAT9|84803	162.7967	AGPAT9|84803	169.82
AGPHD1|123688	54.8368	AGPHD1|123688	53.5302
AGPS|8540	1313.6835	AGPS|8540	1226.5805
AGR2|10551	4856.1391	AGR2|10551	2674.204
AGR3|155465	4035.3012	AGR3|155465	392.2473
AGRN|375790	3059.892	AGRN|375790	4382.0951
AGTPBP1|23287	242.6527	AGTPBP1|23287	370.0969
AGTR1|185	61.0059	AGTR1|185	390.4015
lowly_expressed	lowly_expressed	AGTR2|186	7.8449
AGTRAP|57085	776.9686	AGTRAP|57085	620.6737
AGT|183	27.0757	AGT|183	155.0531
AGXT2L2|85007	436.7783	AGXT2L2|85007	477.9972
AGXT|189	11.3101	lowly_expressed	lowly_expressed
AHCTF1|25909	2235.9695	AHCTF1|25909	1304.1071
AHCYL1|10768	2423.7855	AHCYL1|10768	3802.0305
AHCYL2|23382	2506.3833	AHCYL2|23382	918.3203
AHCY|191	3472.8815	AHCY|191	3026.7651
AHDC1|27245	650.844	AHDC1|27245	1125.0577
AHI1|54806	270.4138	AHI1|54806	317.0281
AHNAK2|113146	319.0815	AHNAK2|113146	1467.0051
AHNAK|79026	41356.8674	AHNAK|79026	101874.4808
AHRR|57491	6.1691	AHRR|57491	11.9982
AHR|196	2019.707	AHR|196	2819.5662
AHSA1|10598	1843.8866	AHSA1|10598	1319.797
AHSA2|130872	190.5578	AHSA2|130872	256.5759
AIDA|64853	1235.6096	AIDA|64853	1055.4176
AIF1L|83543	1438.7799	AIF1L|83543	1858.3295
AIF1|199	244.0236	AIF1|199	288.4172
AIFM1|9131	1453.86	AIFM1|9131	641.9012
AIFM2|84883	190.9005	AIFM2|84883	1149.054
AIFM3|150209	5.6345	lowly_expressed	lowly_expressed
AIG1|51390	639.1912	AIG1|51390	844.9469
AIM1L|55057	25.362	AIM1L|55057	12.9211
AIM1|202	2061.8627	AIM1|202	2311.4905
AIM2|9447	21.9347	AIM2|9447	13.844
AIMP1|9255	1079.2563	AIMP1|9255	710.9322
AIMP2|7965	285.6825	AIMP2|7965	265.3161
AIP|9049	502.442	AIP|9049	841.7167
AJAP1|55966	9.5964	lowly_expressed	lowly_expressed
AK1|203	477.4227	AK1|203	461.4675
AK2|204	1735.2412	AK2|204	1640.0554
AK3L1|205	500.7283	AK3L1|205	625.7499
AK3|50808	1218.7473	AK3|50808	1997.6927
AK5|26289	124.7537	AK5|26289	768.8048
AK7|122481	38.7285	AK7|122481	23.0734
AKAP10|11216	495.9301	AKAP10|11216	563.4518
AKAP11|11215	1775.6833	AKAP11|11215	2609.5985
