gene_id	TCGA-E2-A1IG-01A-11R-A144-07	gene_id	TCGA-E2-A1IG-11A-22R-A144-07
AHCY|191	2844.9046	AHCY|191	2470.1216
AHDC1|27245	914.3321	AHDC1|27245	1125.3305
AHI1|54806	386.5205	AHI1|54806	312.5331
AHNAK2|113146	2254.1616	AHNAK2|113146	953.4638
AHNAK|79026	23368.6561	AHNAK|79026	142892.6494
AHRR|57491	9.7442	AHRR|57491	11.1052
AHR|196	707.6736	AHR|196	2848.7573
AHSA1|10598	2155.9074	AHSA1|10598	1353.2522
AHSA2|130872	364.596	AHSA2|130872	362.771
AIDA|64853	1130.3735	AIDA|64853	1494.5267
AIF1L|83543	141.6971	AIF1L|83543	2790.587
AIF1|199	211.5307	AIF1|199	383.9238
AIFM1|9131	904.5879	AIFM1|9131	946.5891
AIFM2|84883	173.3658	AIFM2|84883	2061.872
AIFM3|150209	42.5822	AIFM3|150209	8.4611
AIG1|51390	509.9472	AIG1|51390	843.4691
AIM1L|55057	42.6309	lowly_expressed	lowly_expressed
AIM1|202	2153.8774	AIM1|202	3142.7816
AIM2|9447	9.3382	AIM2|9447	6.8747
AIMP1|9255	1104.9655	AIMP1|9255	873.6118
AIMP2|7965	381.3764	AIMP2|7965	279.1274
AIP|9049	2845.3106	AIP|9049	730.3014
AJAP1|55966	22.7365	AJAP1|55966	11.1052
AK1|203	644.3362	AK1|203	622.9508
AK2|204	2206.2525	AK2|204	2170.2803
AK3L1|205	93.7881	AK3L1|205	827.0756
AK3|50808	1207.8766	AK3|50808	2380.7509
AK5|26289	43.849	AK5|26289	1083.0249
AK7|122481	55.2172	AK7|122481	28.5563
AKAP10|11216	328.0552	AKAP10|11216	555.7906
AKAP11|11215	863.581	AKAP11|11215	2268.1121
AKAP12|9590	1646.7722	AKAP12|9590	7766.7901
AKAP13|11214	2308.1608	AKAP13|11214	4191.4331
AKAP1|8165	2285.4243	AKAP1|8165	2783.7123
AKAP2|11217	639.3179	AKAP2|11217	3047.6626
AKAP3|10566	12.1803	AKAP3|10566	22.7393
AKAP5|9495	103.9383	AKAP5|9495	31.2004
AKAP6|9472	39.7889	AKAP6|9472	185.6161
AKAP7|9465	77.9537	AKAP7|9465	254.3628
AKAP8L|26993	934.6326	AKAP8L|26993	613.432
AKAP8|10270	660.5765	AKAP8|10270	580.1163
AKAP9|10142	2195.6963	AKAP9|10142	2191.9619
AKD1|221264	178.6439	AKD1|221264	136.4357
AKIRIN1|79647	936.6626	AKIRIN1|79647	1650.9783
AKIRIN2|55122	527.4056	AKIRIN2|55122	911.1581
AKNA|80709	315.0629	AKNA|80709	935.4839
AKR1A1|10327	2370.2801	AKR1A1|10327	1419.3548
AKR1B10|57016	7.3082	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	34.3733
AKR1B1|231	596.0211	AKR1B1|231	967.2131
AKR1C1|1645	19.8944	AKR1C1|1645	4152.3004
AKR1C2|1646	37.7588	AKR1C2|1646	6290.8514
AKR1C3|8644	194.4783	AKR1C3|8644	3427.2871
lowly_expressed	lowly_expressed	AKR1D1|6718	10.5764
AKR1E2|83592	10.5562	AKR1E2|83592	33.3157
AKR7A2|8574	1413.7231	AKR7A2|8574	957.1655
AKR7A3|22977	837.5964	AKR7A3|22977	52.8821
AKR7L|246181	47.9091	AKR7L|246181	7.4035
AKT1S1|84335	1000.0	AKT1S1|84335	913.8022
AKT1|207	3364.5959999999995	AKT1|207	3718.6674
AKT2|208	3050.7511	AKT2|208	4723.4268
AKT3|10000	560.2923	AKT3|10000	1253.8339999999998
AKTIP|64400	647.2067	AKTIP|64400	634.4474
