gene_id	TCGA-GI-A2C9-01A-11R-A21T-07	gene_id	TCGA-GI-A2C9-11A-22R-A21T-07
AGT|183	1099.3488	AGT|183	175.3102
removed	removed	AGXT2L1|64850	7.9542
AGXT2L2|85007	355.3281	AGXT2L2|85007	643.083
AHCTF1|25909	3114.7103	AHCTF1|25909	1607.6997
AHCYL1|10768	3855.4016	AHCYL1|10768	3406.2997
AHCYL2|23382	857.2383	AHCYL2|23382	517.6583
AHCY|191	3310.4024	AHCY|191	1913.4585
AHDC1|27245	1170.1453	AHDC1|27245	1264.7152
AHI1|54806	550.3423	AHI1|54806	519.5673
AHNAK2|113146	6379.0282	AHNAK2|113146	1639.8346
AHNAK|79026	20605.1094	AHNAK|79026	83520.2036
AHRR|57491	88.4956	AHRR|57491	20.999
AHR|196	2253.4647	AHR|196	5202.3544
AHSA1|10598	2722.6582	AHSA1|10598	1706.3315
AHSA2|130872	335.2813	AHSA2|130872	636.971
AIDA|64853	1567.5739	AIDA|64853	1082.0872
AIF1L|83543	3405.5769	AIF1L|83543	2668.7878
AIF1|199	334.6135	AIF1|199	522.4308
AIFM1|9131	984.4715	AIFM1|9131	659.2428
AIFM2|84883	536.6505	AIFM2|84883	461.0245
AIFM3|150209	60.7781	AIFM3|150209	14.9539
AIG1|51390	637.5021	AIG1|51390	738.4664
AIM1L|55057	27.3835	removed	removed
AIM1|202	3039.5725	AIM1|202	2611.5177
AIM2|9447	18.0331	AIM2|9447	9.2269
AIMP1|9255	1285.7405	AIMP1|9255	1112.8476
AIMP2|7965	428.8963	AIMP2|7965	253.7926
AIP|9049	1183.837	AIP|9049	1006.6815
AJAP1|55966	8.0147	AJAP1|55966	17.8174
AK1|203	456.1696	AK1|203	545.3388
AK2|204	2986.1413	AK2|204	1856.1884
AK3L1|205	289.5308	AK3L1|205	338.5301
AK3|50808	1243.6133	AK3|50808	1820.2354
AK5|26289	102.5213	AK5|26289	1216.672
AK7|122481	28.0514	AK7|122481	34.6802
AKAP10|11216	312.5731	AKAP10|11216	524.3398
AKAP11|11215	1665.3865	AKAP11|11215	2251.9885
AKAP12|9590	492.5697	AKAP12|9590	4412.9812
AKAP13|11214	2863.5832	AKAP13|11214	5108.8132
AKAP1|8165	6179.9967	AKAP1|8165	2064.9061
AKAP2|11217	305.4967	AKAP2|11217	2047.2797
AKAP3|10566	41.4093	AKAP3|10566	30.8622
AKAP5|9495	53.0973	AKAP5|9495	37.5437
AKAP6|9472	67.791	AKAP6|9472	254.2157
AKAP7|9465	149.2737	AKAP7|9465	156.2202
AKAP8L|26993	680.915	removed	removed
AKAP8|10270	750.3757	AKAP8|10270	769.6468
AKAP9|10142	1700.4508	AKAP9|10142	2800.1909
AKD1|221264	109.8681	AKD1|221264	133.3121
AKIRIN1|79647	1635.9993	AKIRIN1|79647	2220.1718
AKIRIN2|55122	570.379	AKIRIN2|55122	755.3293
removed	removed	AKNAD1|254268	6.3633
AKNA|80709	628.8195	AKNA|80709	871.1422
AKR1A1|10327	1828.6859	AKR1A1|10327	1543.1117
removed	removed	AKR1B10|57016	7.636
removed	removed	AKR1B15|441282	8.2724
AKR1B1|231	918.6843	AKR1B1|231	1036.5892
AKR1C1|1645	65.7873	AKR1C1|1645	1444.4798
AKR1C2|1646	18.701	AKR1C2|1646	878.4601
AKR1C3|8644	222.0738	AKR1C3|8644	1601.0181
AKR1E2|83592	168.6425	AKR1E2|83592	59.1791
