gene_id	TCGA-AC-A2FM-01A-11R-A19W-07	gene_id	TCGA-AC-A2FM-11B-32R-A19W-07
ALDH3B2|222	10595.7234	ALDH3B2|222	3179.4454
ALDH4A1|8659	1155.0284	ALDH4A1|8659	1969.8206
ALDH5A1|7915	508.85400000000004	ALDH5A1|7915	280.9951
ALDH6A1|4329	680.1537	ALDH6A1|4329	177.9323
ALDH7A1|501	860.6749	ALDH7A1|501	2498.7765
ALDH8A1|64577	26.3949	ALDH8A1|64577	15.4976
ALDH9A1|223	2040.4277	ALDH9A1|223	2882.5449
ALDOA|226	20905.7802	ALDOA|226	27200.6525
ALDOC|230	50.4511	ALDOC|230	1561.9902
ALG10B|144245	704.3101	ALG10B|144245	148.0424
ALG10|84920	124.6241	ALG10|84920	55.4649
ALG11|440138	55.4627	ALG11|440138	7.7488
ALG12|79087	592.3822	ALG12|79087	782.6264
ALG13|79868	927.4975	ALG13|79868	432.708
ALG14|199857	98.8974	ALG14|199857	231.6476
ALG1L|200810	5.7467	ALG1L|200810	29.3556
ALG1|56052	1159.6525	ALG1|56052	679.6697
ALG2|85365	760.1069	ALG2|85365	892.7406
ALG3|10195	851.6539	ALG3|10195	888.2545
ALG5|29880	991.6472	ALG5|29880	761.4192
ALG6|29929	371.8677	ALG6|29929	214.1109
ALG8|79053	602.4056	ALG8|79053	628.0587
ALG9|79796	381.2229	ALG9|79796	487.7651
ALKBH1|8846	459.0712	ALKBH1|8846	230.4241
ALKBH2|121642	303.0404	ALKBH2|121642	534.2577
ALKBH3|221120	379.2182	ALKBH3|221120	512.2349
ALKBH4|54784	359.7093	ALKBH4|54784	433.3687
ALKBH5|54890	2865.6198	ALKBH5|54890	2732.8344
ALKBH6|84964	301.704	ALKBH6|84964	171.2887
ALKBH7|84266	1339.4587	ALKBH7|84266	1794.8613
ALKBH8|91801	271.6338	ALKBH8|91801	130.5057
lowly_expressed	lowly_expressed	ALK|238	22.4307
ALMS1|7840	501.8376	ALMS1|7840	330.7504
lowly_expressed	lowly_expressed	ALOX12P2|245	39.5595
ALOX15B|247	68.4932	ALOX15B|247	415.5791
ALOX15|246	121.6171	ALOX15|246	30.9951
ALOX5AP|241	50.4511	ALOX5AP|241	471.8597
ALOX5|240	122.2853	ALOX5|240	1525.2855
ALOXE3|59344	18.7103	ALOXE3|59344	22.4307
