gene_id	TCGA-BH-A1FJ-01A-11R-A13Q-07	gene_id	TCGA-BH-A1FJ-11B-42R-A13Q-07
AGR2|10551	23971.0955	AGR2|10551	2306.961
AGR3|155465	4594.1782	AGR3|155465	1472.6128
AGRN|375790	2561.8652	AGRN|375790	813.9725
AGTPBP1|23287	178.6079	AGTPBP1|23287	604.6577
AGTR1|185	8.9986	AGTR1|185	374.7026
lowly_expressed	lowly_expressed	AGTR2|186	6.8801
AGTRAP|57085	594.4509	AGTRAP|57085	385.0227
AGT|183	842.0479	AGT|183	69.5952
lowly_expressed	lowly_expressed	AGXT2L1|64850	6.3509
AGXT2L2|85007	323.7985	AGXT2L2|85007	281.699
AHCTF1|25909	3767.6733	AHCTF1|25909	2197.1436
AHCYL1|10768	5104.9151	AHCYL1|10768	4789.8947
AHCYL2|23382	1717.0905	AHCYL2|23382	899.4449
AHCY|191	2193.7419	AHCY|191	1401.1653
AHDC1|27245	644.0794	AHDC1|27245	427.6266
AHI1|54806	333.2197	AHI1|54806	576.8726
AHNAK2|113146	812.8707	AHNAK2|113146	1148.4527
AHNAK|79026	32037.3577	AHNAK|79026	73273.6658
AHRR|57491	5.181	AHRR|57491	7.674
AHR|196	3287.7497	AHR|196	7978.8357
AHSA1|10598	1418.2289	AHSA1|10598	867.9551
AHSA2|130872	415.8429	AHSA2|130872	270.1775
AIDA|64853	2696.4919	AIDA|64853	1971.1656
AIF1L|83543	596.087	AIF1L|83543	1594.0736
AIF1|199	131.7063	AIF1|199	468.3782
AIFM1|9131	805.7809	AIFM1|9131	408.574
AIFM2|84883	232.872	AIFM2|84883	391.9029
AIFM3|150209	16.6583	AIFM3|150209	5.0278
AIG1|51390	858.6816	AIG1|51390	1041.5461
AIM1L|55057	31.3586	lowly_expressed	lowly_expressed
AIM1|202	2273.911	AIM1|202	6075.6854
lowly_expressed	lowly_expressed	AIM2|9447	16.4065
AIMP1|9255	1298.3953	AIMP1|9255	1604.4229
AIMP2|7965	499.1397	AIMP2|7965	296.7057
AIP|9049	714.1591	AIP|9049	226.7797
lowly_expressed	lowly_expressed	AJAP1|55966	9.5263
AK1|203	380.1213	AK1|203	175.708
AK2|204	1966.0509	AK2|204	2187.088
AK3L1|205	255.2321	AK3L1|205	506.4835
AK3|50808	886.768	AK3|50808	3062.717
AK5|26289	17.4518	AK5|26289	3250.5975
AK7|122481	15.2703	AK7|122481	53.4533
AKAP10|11216	757.5158	AKAP10|11216	684.0439
AKAP11|11215	1209.3531	AKAP11|11215	3072.2434
AKAP12|9590	255.2321	AKAP12|9590	6035.4631
AKAP13|11214	1911.5141	AKAP13|11214	4503.3107
AKAP1|8165	1055.014	AKAP1|8165	1842.0229
AKAP2|11217	223.6008	AKAP2|11217	1558.2572
AKAP3|10566	62.1719	AKAP3|10566	44.7209
AKAP5|9495	957.6658	AKAP5|9495	116.9622
AKAP6|9472	14.4522	AKAP6|9472	339.2434
AKAP7|9465	149.4308	AKAP7|9465	339.2434
AKAP8L|26993	443.6567	AKAP8L|26993	328.9232
AKAP8|10270	741.4275	AKAP8|10270	716.3275
AKAP9|10142	8523.5531	AKAP9|10142	2807.8875
AKD1|221264	127.6161	AKD1|221264	177.0311
AKIRIN1|79647	1166.5417	AKIRIN1|79647	2263.8279
AKIRIN2|55122	302.1338	AKIRIN2|55122	965.8646
lowly_expressed	lowly_expressed	AKNAD1|254268	10.5848
AKNA|80709	356.6705	AKNA|80709	404.8693
AKR1A1|10327	3739.5869	AKR1A1|10327	1065.3619
lowly_expressed	lowly_expressed	AKR1B10|57016	6.8801
AKR1B1|231	239.6891	AKR1B1|231	994.179
AKR1C1|1645	6.5444	AKR1C1|1645	1813.3354
lowly_expressed	lowly_expressed	AKR1C2|1646	2019.0539999999999
AKR1C3|8644	228.2364	AKR1C3|8644	1757.8736
lowly_expressed	lowly_expressed	AKR1E2|83592	16.515
AKR7A2|8574	1427.7729	AKR7A2|8574	486.3724
AKR7A3|22977	1691.4582	AKR7A3|22977	50.0133
AKR7L|246181	117.2541	AKR7L|246181	6.8801
AKT1S1|84335	947.5765	AKT1S1|84335	568.6693
AKT1|207	3414.0023	AKT1|207	1115.1106
AKT2|208	2418.7061	AKT2|208	946.2827
AKT3|10000	173.42700000000002	AKT3|10000	2171.74
AKTIP|64400	878.5084	AKTIP|64400	1009.2888
ALAD|210	934.7604	ALAD|210	1017.4656
ALAS1|211	990.9333	ALAS1|211	913.9989999999999
lowly_expressed	lowly_expressed	ALB|213	74.623
ALCAM|214	18087.3952	ALCAM|214	5323.3695
ALDH16A1|126133	411.48	ALDH16A1|126133	134.9564
ALDH18A1|5832	2581.4984	ALDH18A1|5832	1225.1927
ALDH1A1|216	101.9838	ALDH1A1|216	4700.9822
lowly_expressed	lowly_expressed	ALDH1A2|8854	258.5342
ALDH1A3|220	304.6097	ALDH1A3|220	7272.1985
ALDH1B1|219	892.4944	ALDH1B1|219	482.4031
lowly_expressed	lowly_expressed	ALDH1L1|10840	128.8702
ALDH1L2|160428	144.7951	ALDH1L2|160428	428.9497
ALDH2|217	508.0101	ALDH2|217	2943.3732
lowly_expressed	lowly_expressed	ALDH3A1|218	11.6433
ALDH3A2|224	2461.2448	ALDH3A2|224	2500.9278
ALDH3B1|221	59.4451	ALDH3B1|221	121.4608
ALDH3B2|222	626.3549	ALDH3B2|222	941.2549
ALDH4A1|8659	1233.3492	ALDH4A1|8659	452.7656
ALDH5A1|7915	352.0349	ALDH5A1|7915	660.4926
ALDH6A1|4329	1009.2249	ALDH6A1|4329	541.3182
ALDH7A1|501	1851.5236	ALDH7A1|501	988.622
lowly_expressed	lowly_expressed	ALDH8A1|64577	10.8494
ALDH9A1|223	5542.5728	ALDH9A1|223	2981.2139
ALDOA|226	16436.8396	ALDOA|226	7680.0792
ALDOC|230	13.6342	ALDOC|230	852.3425
ALG10B|144245	706.2513	ALG10B|144245	514.9514
ALG10|84920	280.8644	ALG10|84920	155.3322
ALG11|440138	13.3615	ALG11|440138	8.2032
ALG12|79087	541.5502	ALG12|79087	188.1451
ALG13|79868	604.8129	ALG13|79868	820.8526
ALG14|199857	210.7846	ALG14|199857	285.2608
lowly_expressed	lowly_expressed	ALG1L|200810	6.9675
ALG1|56052	608.5105	ALG1|56052	265.5069
ALG2|85365	985.2069	ALG2|85365	1309.8712
ALG3|10195	535.2785	ALG3|10195	443.2392
ALG5|29880	408.2078	ALG5|29880	857.6349
