gene_id	TCGA-BH-A0BT-01A-11R-A12P-07	gene_id	TCGA-BH-A0BT-11A-21R-A12P-07
ADIPOR1|51094	2479.1677	ADIPOR1|51094	2633.388
ADIPOR2|79602	2503.3266	ADIPOR2|79602	1973.4353
ADK|132	393.8291	ADK|132	372.9295
ADM2|79924	80.1463	ADM2|79924	104.7735
ADM|133	78.6124	ADM|133	83.0962
ADNP2|22850	507.3378	ADNP2|22850	835.3781
ADNP|23394	2442.7376	ADNP|23394	3275.2764
ADORA1|134	224.7165	ADORA1|134	285.8189
ADORA2A|135	77.0785	ADORA2A|135	55.3975
ADORA2B|136	46.4005	ADORA2B|136	148.9309
ADORA3|140	97.4027	ADORA3|140	83.4977
ADO|84890	617.3952	ADO|84890	905.2271
ADPGK|83440	707.5119	ADPGK|83440	849.5848
ADPRHL1|113622	259.6128	ADPRHL1|113622	91.9277
ADPRHL2|54936	1354.8182	ADPRHL2|54936	657.1427
ADPRH|141	578.6642	ADPRH|141	426.3198
lowly_expressed	lowly_expressed	ADRA1A|148	5.2186
lowly_expressed	lowly_expressed	ADRA1B|147	6.0215
ADRA2A|150	891.1966	ADRA2A|150	473.6887
ADRA2B|151	13.4216	ADRA2B|151	427.1227
ADRA2C|152	7.6695	ADRA2C|152	42.5517
ADRB1|153	16.8729	ADRB1|153	13.6487
ADRB2|154	13.4216	ADRB2|154	133.6766
ADRBK1|156	1024.2625	ADRBK1|156	1335.9627
ADRBK2|157	595.9206	ADRBK2|157	965.8432
ADRM1|11047	1870.9759	ADRM1|11047	964.6389
ADSL|158	756.9802	ADSL|158	885.1556
ADSSL1|122622	525.3611	ADSSL1|122622	131.268
ADSS|159	1958.0248	ADSS|159	1573.2085
AEBP1|165	13183.4968	AEBP1|165	2777.1004
AEBP2|121536	585.1833	AEBP2|121536	790.0164
AEN|64782	222.0322	AEN|64782	474.4916
AES|166	4748.5744	AES|166	5782.2136
AFAP1L1|134265	144.1867	AFAP1L1|134265	195.0955
AFAP1L2|84632	403.0325	AFAP1L2|84632	1459.2021
AFAP1|60312	856.2926	AFAP1|60312	1212.3099
AFF1|4299	1082.5507	AFF1|4299	2189.4052
AFF2|2334	10.3538	AFF2|2334	23.283
AFF3|3899	946.8005	AFF3|3899	2934.8628
AFF4|27125	1188.0064	AFF4|27125	3568.3211
AFG3L1|172	199.4071	AFG3L1|172	293.8476
AFG3L2|10939	1459.0774	AFG3L2|10939	1247.2304
AFMID|125061	769.2514	AFMID|125061	642.2898
lowly_expressed	lowly_expressed	AFP|174	591.7094
AFTPH|54812	1337.9453	AFTPH|54812	2111.1262
AG2|387763	100.4705	AG2|387763	131.268
AGAP11|119385	182.4767	AGAP11|119385	151.0465
AGAP1|116987	447.5157	AGAP1|116987	505.4018
AGAP2|116986	46.7495	AGAP2|116986	43.2863
AGAP3|116988	1181.8708	AGAP3|116988	1122.8028
AGAP4|119016	222.0322	AGAP4|119016	205.1313
AGAP5|729092	46.2164	AGAP5|729092	62.4506
AGAP6|414189	105.0722	AGAP6|414189	131.268
lowly_expressed	lowly_expressed	AGAP7|653268	6.4229
AGAP8|728404	19.9407	AGAP8|728404	22.0787
AGA|175	787.2748	AGA|175	669.9885
AGBL2|79841	34.1293	AGBL2|79841	27.2973
lowly_expressed	lowly_expressed	AGBL3|340351	6.4229
AGBL4|84871	13.4216	AGBL4|84871	16.4587
AGBL5|60509	503.898	AGBL5|60509	1003.9912
AGER|177	37.9641	AGER|177	32.1145
AGFG1|3267	1229.0383	AGFG1|3267	1738.5981
AGFG2|3268	464.0051	AGFG2|3268	484.1259
AGGF1|55109	709.4293	AGGF1|55109	886.3599
AGK|55750	1194.142	AGK|55750	574.4479
AGL|178	472.4415	AGL|178	1288.1924
AGMAT|79814	39.8814	AGMAT|79814	18.8673
AGPAT1|10554	2532.1218	AGPAT1|10554	1942.1518
AGPAT2|10555	226.2504	AGPAT2|10555	353.2594
AGPAT3|56894	1635.9056	AGPAT3|56894	1816.0743
AGPAT4|56895	95.1019	AGPAT4|56895	250.0916
AGPAT5|55326	192.5046	AGPAT5|55326	822.9338
AGPAT6|137964	1521.2464	AGPAT6|137964	1677.982
AGPAT9|84803	20.3242	AGPAT9|84803	96.3435
AGPHD1|123688	49.4683	AGPHD1|123688	58.6089
AGPS|8540	272.6509	AGPS|8540	904.0228
AGR2|10551	6017.4941	AGR2|10551	7316.8847
AGR3|155465	1021.9616	AGR3|155465	1767.5011
AGRN|375790	5975.6953	AGRN|375790	4526.1357
AGTPBP1|23287	113.8922	AGTPBP1|23287	314.3206
AGTR1|185	26.0763	AGTR1|185	157.361
AGTRAP|57085	830.224	AGTRAP|57085	1069.011
AGT|183	33.3623	AGT|183	29.7059
AGXT2L2|85007	162.9962	AGXT2L2|85007	294.0403
AHCTF1|25909	1300.3647	AHCTF1|25909	1215.1319
AHCYL1|10768	6620.7008	AHCYL1|10768	4440.6308
AHCYL2|23382	496.217	AHCYL2|23382	616.5982
AHCY|191	4789.9898	AHCY|191	3392.0928
AHDC1|27245	362.0007	AHDC1|27245	1142.4729
AHI1|54806	77.8455	AHI1|54806	417.8898
AHNAK2|113146	342.8269	AHNAK2|113146	718.5617
AHNAK|79026	19284.5885	AHNAK|79026	64203.2847
AHRR|57491	15.339	AHRR|57491	13.2472
AHR|196	1729.857	AHR|196	2477.6328
AHSA1|10598	4261.1773	AHSA1|10598	1662.7276
AHSA2|130872	245.0407	AHSA2|130872	432.3413
AIDA|64853	1700.3639	AIDA|64853	805.2708
AIF1L|83543	123.479	AIF1L|83543	1571.2013
AIF1|199	296.4264	AIF1|199	261.3316
AIFM1|9131	2018.2304	AIFM1|9131	733.0132
AIFM2|84883	279.5535	AIFM2|84883	252.0987
AIFM3|150209	11.1208	AIFM3|150209	11.509
AIG1|51390	732.0543	AIG1|51390	1180.2074
AIM1L|55057	8.4365	lowly_expressed	lowly_expressed
AIM1|202	1044.5867	AIM1|202	4921.9467
AIM2|9447	16.106	AIM2|9447	5.62
AIMP1|9255	1091.3668	AIMP1|9255	1214.8871
AIMP2|7965	726.2792	AIMP2|7965	285.3131
AIP|9049	1020.4277	AIP|9049	736.2246
lowly_expressed	lowly_expressed	AJAP1|55966	18.4658
AK1|203	485.8632	AK1|203	448.3985
AK2|204	2066.1648	AK2|204	2124.3734
AK3L1|205	139.9685	AK3L1|205	375.7395
AK3|50808	1279.657	AK3|50808	1591.6743
AK5|26289	45.6336	AK5|26289	3047.2635
AK7|122481	73.6273	AK7|122481	41.3474
AKAP10|11216	270.3501	AKAP10|11216	487.7388
AKAP11|11215	1001.6374	AKAP11|11215	1789.1784
AKAP12|9590	346.6617	AKAP12|9590	422.3055
AKAP13|11214	1020.0443	AKAP13|11214	2946.5043
AKAP1|8165	1501.6892	AKAP1|8165	1728.9638
AKAP2|11217	246.7548	AKAP2|11217	1354.0592
AKAP3|10566	7.286	AKAP3|10566	43.756
AKAP5|9495	65.5743	AKAP5|9495	160.9739
AKAP6|9472	68.6421	AKAP6|9472	236.8444
AKAP7|9465	86.2819	AKAP7|9465	172.2139
AKAP8L|26993	1386.2631	AKAP8L|26993	612.1824
AKAP8|10270	516.9247	AKAP8|10270	567.2221
AKAP9|10142	1025.7964	AKAP9|10142	2643.4238
AKD1|221264	41.7988	lowly_expressed	lowly_expressed
AKIRIN1|79647	910.7538	AKIRIN1|79647	1635.8317
AKIRIN2|55122	443.2974	AKIRIN2|55122	686.4472
AKNA|80709	350.1129	AKNA|80709	524.269
AKR1A1|10327	2945.0902	AKR1A1|10327	2081.8217
lowly_expressed	lowly_expressed	AKR1B10|57016	8.4301
AKR1B15|441282	14.5721	AKR1B15|441282	6.4229
AKR1B1|231	350.4964	AKR1B1|231	833.7724
AKR1C1|1645	29.9111	AKR1C1|1645	181.4469
AKR1C2|1646	28.3772	AKR1C2|1646	146.5224
AKR1C3|8644	115.8095	AKR1C3|8644	495.7674
AKR1D1|6718	14.9555	lowly_expressed	lowly_expressed
AKR1E2|83592	9.2034	AKR1E2|83592	12.8458
AKR7A2|8574	1107.8601	AKR7A2|8574	1449.9691
AKR7A3|22977	306.3968	AKR7A3|22977	692.8701
AKR7L|246181	17.6399	AKR7L|246181	51.3832
AKT1S1|84335	1235.5574	AKT1S1|84335	781.5864
AKT1|207	6962.3772	AKT1|207	3246.3733
AKT2|208	3615.7884	AKT2|208	2003.9441
