gene_id	TCGA-BH-A0B5-01A-11R-A12P-07	gene_id	TCGA-BH-A0B5-11A-23R-A12P-07
AGMAT|79814	18.3456	AGMAT|79814	9.0988
AGPAT1|10554	1440.5203	AGPAT1|10554	1722.474
AGPAT2|10555	1081.7211	AGPAT2|10555	17116.1179
AGPAT3|56894	2003.002	AGPAT3|56894	2812.825
AGPAT4|56895	216.1441	AGPAT4|56895	147.747
AGPAT5|55326	583.0554	AGPAT5|55326	246.9671
AGPAT6|137964	1320.8806	AGPAT6|137964	1727.0364
AGPAT9|84803	62.7085	AGPAT9|84803	490.0347
AGPHD1|123688	38.0254	AGPHD1|123688	71.0572
AGPS|8540	399.2662	AGPS|8540	1688.9081
AGR2|10551	18442.2949	lowly_expressed	lowly_expressed
AGR3|155465	2423.9493	lowly_expressed	lowly_expressed
AGRN|375790	5927.952	AGRN|375790	544.1941
AGTPBP1|23287	195.1301	AGTPBP1|23287	653.3795
AGTR1|185	1007.3382	AGTR1|185	1081.0225
AGTRAP|57085	699.1328	AGTRAP|57085	301.9931
AGT|183	51.3676	AGT|183	742.6343
AGXT2L2|85007	435.2702	AGXT2L2|85007	1080.0477
lowly_expressed	lowly_expressed	AGXT|189	25.9965
AHCTF1|25909	1968.6458	AHCTF1|25909	1453.2062
AHCYL1|10768	3336.8913	AHCYL1|10768	6432.8423
AHCYL2|23382	651.1007	AHCYL2|23382	499.5667
AHCY|191	2363.2422	AHCY|191	1290.7279
AHDC1|27245	746.1641	AHDC1|27245	327.9896
AHI1|54806	288.1921	AHI1|54806	362.6516
AHNAK2|113146	1006.3376	AHNAK2|113146	769.0641
AHNAK|79026	47449.2995	AHNAK|79026	158211.8718
AHRR|57491	56.3709	AHRR|57491	34.2288
AHR|196	1107.4049	AHR|196	1430.2426
AHSA1|10598	1180.4536	AHSA1|10598	1780.7626
AHSA2|130872	801.2008	AHSA2|130872	314.9913
AIDA|64853	958.0754	AIDA|64853	2750.4853
AIF1L|83543	1123.7492	AIF1L|83543	2837.5217
AIF1|199	367.9119	AIF1|199	382.5823
AIFM1|9131	727.1514	AIFM1|9131	1360.052
AIFM2|84883	342.2282	AIFM2|84883	6608.7522
AIFM3|150209	14.2628	AIFM3|150209	6.0659
AIG1|51390	277.8519	AIG1|51390	1661.6118
AIM1L|55057	27.018	lowly_expressed	lowly_expressed
AIM1|202	1491.3276	AIM1|202	1969.2374
AIM2|9447	9.6731	lowly_expressed	lowly_expressed
AIMP1|9255	896.3976	AIMP1|9255	1141.2305
AIMP2|7965	368.4423	AIMP2|7965	421.2305
AIP|9049	825.2168	AIP|9049	691.9411
AJAP1|55966	5.6704	AJAP1|55966	6.4991
AK1|203	437.2915	AK1|203	918.1109
AK2|204	2353.2355	AK2|204	3298.5269
AK3L1|205	116.0774	AK3L1|205	1181.5425
AK3|50808	910.6071	AK3|50808	4031.6291
AK5|26289	132.7552	AK5|26289	20.7972
AK7|122481	87.7252	lowly_expressed	lowly_expressed
AKAP10|11216	423.6157	AKAP10|11216	627.383
AKAP11|11215	1739.1594	AKAP11|11215	1933.2756
AKAP12|9590	1145.7638	AKAP12|9590	21280.7626
AKAP13|11214	3434.2895	AKAP13|11214	2664.2114
AKAP14|158798	70.0467	lowly_expressed	lowly_expressed
AKAP1|8165	1330.2201	AKAP1|8165	3553.2929
AKAP2|11217	311.8179	AKAP2|11217	3945.6716
lowly_expressed	lowly_expressed	AKAP3|10566	12.1317
AKAP5|9495	116.0774	AKAP5|9495	18.1976
AKAP6|9472	28.0187	AKAP6|9472	82.3224
AKAP7|9465	72.7151	AKAP7|9465	428.9428
AKAP8L|26993	1465.9773	AKAP8L|26993	555.4593
AKAP8|10270	887.2582	AKAP8|10270	521.6638
AKAP9|10142	5688.1254	AKAP9|10142	2296.3605
AKD1|221264	171.1141	AKD1|221264	103.9861
AKIRIN1|79647	970.6471	AKIRIN1|79647	1758.2322
AKIRIN2|55122	404.6031	AKIRIN2|55122	1291.1612
AKNA|80709	835.2235	AKNA|80709	1328.4229
AKR1A1|10327	1286.1908	AKR1A1|10327	1250.8666
AKR1B10|57016	5.6704	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	5.1993
AKR1B1|231	628.4189	AKR1B1|231	743.9341
AKR1C1|1645	47.0314	AKR1C1|1645	13152.9463
AKR1C2|1646	52.7018	AKR1C2|1646	16226.1698
AKR1C3|8644	190.1268	AKR1C3|8644	8567.1577
lowly_expressed	lowly_expressed	AKR1C4|1109	6.0659
AKR1E2|83592	8.0053	AKR1E2|83592	51.9931
AKR7A2|8574	1105.7372	AKR7A2|8574	1216.2045
AKR7A3|22977	188.7925	lowly_expressed	lowly_expressed
AKR7L|246181	36.6911	lowly_expressed	lowly_expressed
AKT1S1|84335	890.2602	AKT1S1|84335	984.4021
AKT1|207	4066.0440000000003	AKT1|207	4273.8302
AKT2|208	2913.9426	AKT2|208	5800.6932
AKT3|10000	554.036	AKT3|10000	717.5043
AKTIP|64400	365.9973	AKTIP|64400	991.1308
ALAD|210	923.6157	ALAD|210	4468.8042
ALAS1|211	1062.0414	ALAS1|211	1351.3865
lowly_expressed	lowly_expressed	ALAS2|212	6.9324
ALB|213	59.0394	lowly_expressed	lowly_expressed
ALCAM|214	5077.3849	ALCAM|214	139.94799999999998
ALDH16A1|126133	762.5083	ALDH16A1|126133	428.0763
ALDH18A1|5832	2283.1888	ALDH18A1|5832	936.3085
ALDH1A1|216	466.978	ALDH1A1|216	4720.104
ALDH1A2|8854	88.3923	ALDH1A2|8854	329.2894
ALDH1A3|220	261.7645	ALDH1A3|220	303.6655
ALDH1B1|219	670.1134	ALDH1B1|219	1110.4853
ALDH1L1|10840	20.3469	ALDH1L1|10840	7207.539000000001
ALDH1L2|160428	428.2855	ALDH1L2|160428	465.7712
ALDH2|217	2844.8966	ALDH2|217	38814.9913
lowly_expressed	lowly_expressed	ALDH3A1|218	5.6326
ALDH3A2|224	991.3276	ALDH3A2|224	5625.2166
ALDH3B1|221	183.7892	ALDH3B1|221	184.5754
ALDH3B2|222	1019.6798	lowly_expressed	lowly_expressed
ALDH4A1|8659	1046.0307	ALDH4A1|8659	4711.4385
ALDH5A1|7915	126.7512	ALDH5A1|7915	1243.0676
ALDH6A1|4329	398.4623	ALDH6A1|4329	1638.0503
ALDH7A1|501	1118.0787	ALDH7A1|501	1805.026
lowly_expressed	lowly_expressed	ALDH8A1|64577	6.9324
ALDH9A1|223	3432.2882	ALDH9A1|223	9033.7955
ALDOA|226	23455.3035	ALDOA|226	23537.2617
lowly_expressed	lowly_expressed	ALDOB|229	14.7314
ALDOC|230	72.048	ALDOC|230	6987.435
ALG10B|144245	420.2802	ALG10B|144245	216.6378
ALG10|84920	200.1334	ALG10|84920	82.7556
ALG11|440138	21.6811	ALG11|440138	9.0988
ALG12|79087	379.5864	ALG12|79087	388.2149
ALG13|79868	368.5791	ALG13|79868	360.05199999999996
ALG14|199857	152.7685	ALG14|199857	399.9133
ALG1L|200810	21.521	lowly_expressed	lowly_expressed
ALG1|56052	675.4803	ALG1|56052	321.7504
ALG2|85365	447.6318	ALG2|85365	613.0849
ALG3|10195	561.0407	ALG3|10195	514.2981
ALG5|29880	525.0167	ALG5|29880	753.8995
ALG6|29929	463.3089	ALG6|29929	188.0416
ALG8|79053	649.433	ALG8|79053	888.6482
ALG9|79796	478.986	ALG9|79796	1293.7608
ALKBH1|8846	337.2248	ALKBH1|8846	171.5771
ALKBH2|121642	373.2488	ALKBH2|121642	154.2461
ALKBH3|221120	289.1928	ALKBH3|221120	391.6811
ALKBH4|54784	191.1107	ALKBH4|54784	145.6629
ALKBH5|54890	1290.4636	ALKBH5|54890	2086.6161
ALKBH6|84964	120.0801	ALKBH6|84964	63.2582
ALKBH7|84266	412.94199999999995	ALKBH7|84266	279.0295
