gene_id	TCGA-E9-A1N6-01A-11R-A144-07	gene_id	TCGA-E9-A1N6-11A-32R-A144-07
ADRA2C|152	19.4774	ADRA2C|152	64.1562
lowly_expressed	lowly_expressed	ADRB1|153	34.8675
ADRB2|154	8.076	ADRB2|154	381.218
ADRBK1|156	1701.6627	ADRBK1|156	1743.8401
ADRBK2|157	373.8717	ADRBK2|157	1506.7411
ADRM1|11047	2271.734	ADRM1|11047	1060.9019
ADSL|158	963.4204	ADSL|158	774.0586
ADSSL1|122622	136.8171	ADSSL1|122622	164.5746
ADSS|159	3855.5819	ADSS|159	1140.3998
AEBP1|165	31222.8029	AEBP1|165	7617.8522
AEBP2|121536	417.5772	AEBP2|121536	984.1934
AEN|64782	425.1781	AEN|64782	729.4282
AES|166	7132.5416	AES|166	6070.6648
AFAP1L1|134265	246.0808	AFAP1L1|134265	651.325
AFAP1L2|84632	551.5439	AFAP1L2|84632	807.9963
AFAP1|60312	1423.7387	AFAP1|60312	1400.7392
AFARP1|246182	5.7007	lowly_expressed	lowly_expressed
AFF1|4299	1408.5511	AFF1|4299	2612.7383
AFF2|2334	15.677	AFF2|2334	116.225
AFF3|3899	2317.3397	AFF3|3899	849.3724
AFF4|27125	4107.3634	AFF4|27125	3986.9828
AFG3L1|172	218.5273	AFG3L1|172	303.5797
AFG3L2|10939	1922.7126	AFG3L2|10939	1570.9205
AFMID|125061	586.6983	AFMID|125061	462.5755
AFTPH|54812	1442.2803	AFTPH|54812	1657.8336
AG2|387763	166.7458	AG2|387763	649.9303
AGAP11|119385	10.9264	AGAP11|119385	184.821
AGAP1|116987	347.2684	AGAP1|116987	501.6272
AGAP2|116986	61.905	AGAP2|116986	125.3417
AGAP3|116988	1234.6793	AGAP3|116988	1431.4272
AGAP4|119016	136.342	AGAP4|119016	211.0646
AGAP5|729092	34.2043	AGAP5|729092	72.1246
AGAP6|414189	108.3135	AGAP6|414189	170.6183
lowly_expressed	lowly_expressed	AGAP7|653268	6.9735
AGAP8|728404	22.3278	AGAP8|728404	51.139
AGA|175	861.7577	AGA|175	479.3119
AGBL2|79841	9.9762	AGBL2|79841	14.4119
lowly_expressed	lowly_expressed	AGBL3|340351	5.1139
AGBL4|84871	5.2257	lowly_expressed	lowly_expressed
AGBL5|60509	404.7553	AGBL5|60509	681.5528
AGER|177	15.2019	AGER|177	39.5165
AGFG1|3267	1628.5036	AGFG1|3267	2100.8833
AGFG2|3268	131.1164	AGFG2|3268	570.8973
AGGF1|55109	1009.5012	AGGF1|55109	596.4668
AGK|55750	617.1021	AGK|55750	525.3371
AGL|178	1243.2304	AGL|178	1110.1813
AGMAT|79814	32.7791	AGMAT|79814	28.3589
AGPAT1|10554	1750.5701	AGPAT1|10554	1629.8187
AGPAT2|10555	1756.7696	AGPAT2|10555	2801.0228
AGPAT3|56894	2105.4632	AGPAT3|56894	1584.3794
AGPAT4|56895	337.7672	AGPAT4|56895	282.6592
AGPAT5|55326	401.9002	AGPAT5|55326	511.855
AGPAT6|137964	2679.81	AGPAT6|137964	1817.2943
AGPAT9|84803	19.0024	AGPAT9|84803	225.4765
AGPHD1|123688	33.2542	AGPHD1|123688	53.9284
AGPS|8540	420.4276	AGPS|8540	1031.1483
AGR2|10551	1253.6817	AGR2|10551	865.6439
AGR3|155465	23.753	AGR3|155465	215.2487
AGRN|375790	7542.5178	AGRN|375790	3648.0707
AGTPBP1|23287	322.0903	AGTPBP1|23287	422.5941
AGTR1|185	61.2827	AGTR1|185	249.1864
AGTRAP|57085	601.4252	AGTRAP|57085	453.7424
AGT|183	354.3943	AGT|183	50.2092
AGXT2L2|85007	239.81	AGXT2L2|85007	558.5123
AHCTF1|25909	4894.0618	AHCTF1|25909	1615.0628
AHCYL1|10768	3501.1876	AHCYL1|10768	4080.8926
AHCYL2|23382	297.3872	AHCYL2|23382	620.1767
AHCY|191	5166.7458	AHCY|191	2907.4849
AHDC1|27245	1146.3183	AHDC1|27245	1262.6685
AHI1|54806	393.8242	AHI1|54806	381.218
AHNAK2|113146	4564.3705	AHNAK2|113146	1341.7015
AHNAK|79026	23190.9739	AHNAK|79026	102557.4152
AHRR|57491	63.1829	AHRR|57491	32.0781
AHR|196	923.5154	AHR|196	4276.1506
AHSA1|10598	1862.2328	AHSA1|10598	1490.9344
AHSA2|130872	205.2257	AHSA2|130872	398.8842
AIDA|64853	1142.133	AIDA|64853	936.3273
AIF1L|83543	3599.5249	AIF1L|83543	2449.5583
AIF1|199	321.6152	AIF1|199	517.8987
AIFM1|9131	1381.9477	AIFM1|9131	587.6337
AIFM2|84883	374.8219	AIFM2|84883	1189.6792
AIFM3|150209	11.4014	AIFM3|150209	7.9033
AIG1|51390	442.7553	AIG1|51390	728.9633
AIM1L|55057	7.601	lowly_expressed	lowly_expressed
AIM1|202	2530.6413	AIM1|202	3084.6118
AIM2|9447	24.7031	AIM2|9447	10.2278
AIMP1|9255	1236.9501	AIMP1|9255	1076.2762
AIMP2|7965	495.2304	AIMP2|7965	278.0056
AIP|9049	507.3634	AIP|9049	824.7327
AJAP1|55966	7.1259	AJAP1|55966	21.8503
AK1|203	626.1283	AK1|203	417.4802
AK2|204	1857.0071	AK2|204	1990.702
AK3L1|205	276.4846	AK3L1|205	381.218
AK3|50808	1000	AK3|50808	1926.0809
AK5|26289	173.3967	AK5|26289	1268.2473
lowly_expressed	lowly_expressed	AK7|122481	22.3152
AKAP10|11216	354.3943	AKAP10|11216	572.7569
AKAP11|11215	1247.5059	AKAP11|11215	1840.5393
AKAP12|9590	638.0048	AKAP12|9590	4677.3594
AKAP13|11214	2616.152	AKAP13|11214	5225.4765
AKAP1|8165	601.4252	AKAP1|8165	2874.9419
AKAP2|11217	494.9881	AKAP2|11217	2206.5504
AKAP3|10566	9.5012	AKAP3|10566	28.8238
AKAP5|9495	271.2589	AKAP5|9495	57.6476
AKAP6|9472	27.0784	AKAP6|9472	228.2659
AKAP7|9465	108.7886	AKAP7|9465	219.8977
AKAP8L|26993	945.3682	AKAP8L|26993	911.669
AKAP8|10270	552.4941	AKAP8|10270	912.5988
AKAP9|10142	1336.342	AKAP9|10142	2213.3891
AKD1|221264	117.8147	AKD1|221264	105.0674
AKIRIN1|79647	1317.8147	AKIRIN1|79647	1822.4082
AKIRIN2|55122	593.3492	AKIRIN2|55122	753.1381
AKNA|80709	760.095	AKNA|80709	1258.9493
AKR1A1|10327	3235.6295	AKR1A1|10327	1414.6908
AKR1B10|57016	16.152	lowly_expressed	lowly_expressed
lowly_expressed	lowly_expressed	AKR1B15|441282	36.7271
AKR1B1|231	678.8599	AKR1B1|231	1277.5453
AKR1C1|1645	11.4014	AKR1C1|1645	2356.1134
lowly_expressed	lowly_expressed	AKR1C2|1646	1926.0809
AKR1C3|8644	51.7815	AKR1C3|8644	1778.2427
AKR1E2|83592	22.8029	AKR1E2|83592	26.9642
AKR7A2|8574	1236.1045	AKR7A2|8574	810.3208
AKR7A3|22977	929.6912	AKR7A3|22977	75.7787
AKR7L|246181	49.8812	AKR7L|246181	13.947000000000001
AKT1S1|84335	1152.019	AKT1S1|84335	663.8773
AKT1|207	12595.7245	AKT1|207	2984.1934
AKT2|208	2100.7126	AKT2|208	2487.6801
AKT3|10000	443.2304	AKT3|10000	1113.9005
AKTIP|64400	581.4157	AKTIP|64400	628.3728
ALAD|210	1842.2803	ALAD|210	2010.6927
ALAS1|211	1030.8789	ALAS1|211	1059.0423
ALB|213	7.601	ALB|213	226.4063
ALCAM|214	6902.6128	ALCAM|214	1684.7978
ALDH16A1|126133	965.7957	ALDH16A1|126133	501.6272
ALDH18A1|5832	3326.3658	ALDH18A1|5832	1385.4021
ALDH1A1|216	256.5321	ALDH1A1|216	4058.5774
ALDH1A2|8854	12.8266	ALDH1A2|8854	463.0404
ALDH1A3|220	229.4727	ALDH1A3|220	5853.3147
ALDH1B1|219	1480.285	ALDH1B1|219	643.8866
lowly_expressed	lowly_expressed	ALDH1L1|10840	759.1818
ALDH1L2|160428	750.5938	ALDH1L2|160428	252.9056
ALDH2|217	771.9715	ALDH2|217	8208.2752
lowly_expressed	lowly_expressed	ALDH3A1|218	24.6397
ALDH3A2|224	600.4751	ALDH3A2|224	2471.8735
ALDH3B1|221	188.1235	ALDH3B1|221	251.9758
ALDH3B2|222	2481.2352	ALDH3B2|222	269.642
ALDH4A1|8659	1298.8124	ALDH4A1|8659	1488.6099
ALDH5A1|7915	516.8646	ALDH5A1|7915	652.7197
ALDH6A1|4329	176.8836	ALDH6A1|4329	397.8615
ALDH7A1|501	2164.3705	ALDH7A1|501	1700.6044
ALDH8A1|64577	10.9264	ALDH8A1|64577	10.6927
ALDH9A1|223	2480.285	ALDH9A1|223	3231.9851
ALDOA|226	51937.2922	ALDOA|226	13414.6908
ALDOB|229	10.9264	ALDOB|229	6.5086
ALDOC|230	439.4299	ALDOC|230	1074.384
ALG10B|144245	232.304	ALG10B|144245	242.2129
ALG10|84920	73.1591	ALG10|84920	75.7787
ALG11|440138	8.5511	ALG11|440138	12.0874
ALG12|79087	663.658	ALG12|79087	324.9651
ALG13|79868	276.4846	ALG13|79868	464.9
ALG14|199857	138.2423	ALG14|199857	154.8117
ALG1L|200810	23.1781	ALG1L|200810	14.3282
ALG1|56052	574.1995	ALG1|56052	297.8987
ALG2|85365	807.6010000000001	ALG2|85365	749.8838
ALG3|10195	875.5344	ALG3|10195	442.5848
ALG5|29880	313.5392	ALG5|29880	489.0748
ALG6|29929	377.6722	ALG6|29929	264.5281
ALG8|79053	764.3705	ALG8|79053	606.2297
ALG9|79796	756.7696	ALG9|79796	549.5119
ALKBH1|8846	188.5986	ALKBH1|8846	265.4579
ALKBH2|121642	189.5487	ALKBH2|121642	327.2896
ALKBH3|221120	257.4822	ALKBH3|221120	356.1134
ALKBH4|54784	168.6128	ALKBH4|54784	186.8433
ALKBH5|54890	1712.114	ALKBH5|54890	1933.9842
ALKBH6|84964	91.6865	ALKBH6|84964	51.6039
